rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
813,ARE,200012,2.941842552,4.505593623,37.40683046,3.022057601,2.840666144,2.212513774,2.312627507,4.505593623,4.505593623,1.988668142,4.505593623,4.328916701,4.199147832,1.685399768,100
814,ARE,200101,2.967179875,4.554469206,37.45292323,3.036419461,2.816671138,2.247545022,2.362174068,4.554469206,4.554469206,2.01728836,4.554469206,4.317513788,4.220957723,1.705826911,130.053
815,ARE,200102,2.992517198,4.60334479,37.49901599,3.050781321,2.792676131,2.282576269,2.411720629,4.60334479,4.60334479,2.045908579,4.60334479,4.306110876,4.242767614,1.726254055,105.372
816,ARE,200103,3.017854521,4.652220373,37.54510876,3.065143182,2.768681125,2.317607517,2.46126719,4.652220373,4.652220373,2.074528797,4.652220373,4.294707963,4.264577504,1.746681199,107.567
817,ARE,200104,3.033876947,4.649267462,37.54606222,3.18920896,2.660325665,2.353050518,2.481792823,4.649267462,4.649267462,2.056349071,4.649267462,4.227750853,4.195315504,1.745616798,105.102
818,ARE,200105,3.049899372,4.646314551,37.54701567,3.313274739,2.551970205,2.38849352,2.502318455,4.646314551,4.646314551,2.038169345,4.646314551,4.160793743,4.126053503,1.744552396,106.539
819,ARE,200106,3.065921797,4.64336164,37.54796912,3.437340518,2.443614744,2.423936521,2.522844088,4.64336164,4.64336164,2.019989619,4.64336164,4.093836632,4.056791502,1.743487995,99.528
820,ARE,200107,3.052630805,4.630661434,37.53253418,3.450313579,2.439326748,2.380684183,2.457426137,4.630661434,4.630661434,2.046524811,4.630661434,4.154761751,4.08380136,1.738008506,78.935
821,ARE,200108,3.039339813,4.617961229,37.51709924,3.463286639,2.435038751,2.337431845,2.392008186,4.617961229,4.617961229,2.073060003,4.617961229,4.21568687,4.110811218,1.732529017,79.584
822,ARE,200109,3.026048821,4.605261023,37.50166429,3.4762597,2.430750755,2.294179508,2.326590234,4.605261023,4.605261023,2.099595196,4.605261023,4.276611988,4.137821077,1.727049529,60.754
