rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
1080,ARG,200012,1.347359479,3.716521269,39.38089518,0,3.716521269,3.186367194,3.716521269,2.528458176,0.003398339,0.817453516,1.280891568,2.445322357,2.823763643,1.463599345,100.00
1081,ARG,200101,1.355774616,3.698948901,39.39508486,0.005018009,3.698948901,3.151847635,3.698948901,2.532271553,0.010367642,0.795760032,1.273093508,2.378371039,2.815886346,1.457199072,130.05
1082,ARG,200102,1.364189754,3.681376534,39.40927455,0.010036018,3.681376534,3.117328076,3.681376534,2.53608493,0.017336945,0.774066549,1.265295448,2.311419722,2.808009049,1.450798798,105.37
1083,ARG,200103,1.372604891,3.663804167,39.42346423,0.015054028,3.663804167,3.082808517,3.663804167,2.539898307,0.024306248,0.752373065,1.257497388,2.244468405,2.800131752,1.444398525,107.57
1084,ARG,200104,1.372207533,3.655179735,39.43871806,0.010036018,3.655179735,3.106454301,3.655179735,2.528641181,0.016204166,0.706149034,1.24472073,2.178736954,2.724721313,1.441553399,105.10
1085,ARG,200105,1.371810175,3.646555303,39.45397189,0.005018009,3.646555303,3.130100085,3.646555303,2.517384055,0.008102083,0.659925004,1.231944071,2.113005503,2.649310873,1.438708273,106.54
1086,ARG,200106,1.371412817,3.637930871,39.46922571,0,3.637930871,3.153745869,3.637930871,2.506126929,0,0.613700973,1.219167413,2.047274052,2.573900434,1.435863147,99.53
1087,ARG,200107,1.428526277,3.691855551,39.454671,0.067973927,3.691855551,3.1502707,3.691855551,2.473407434,0.096220812,0.749280075,1.245884709,2.02352599,2.627571974,1.456593764,78.94
1088,ARG,200108,1.485639736,3.74578023,39.44011628,0.135947853,3.74578023,3.146795531,3.74578023,2.440687939,0.192441623,0.884859176,1.272602005,1.999777929,2.681243514,1.477324381,79.58
1089,ARG,200109,1.542753196,3.79970491,39.42556157,0.20392178,3.79970491,3.143320362,3.79970491,2.407968444,0.288662435,1.020438277,1.2993193,1.976029867,2.734915054,1.498054999,60.75
1090,ARG,200110,1.703774866,4.129188573,39.19641934,1.050602557,3.588515015,3.311294414,4.129188573,2.734102059,0.602818487,1.393554922,1.592419404,2.754402984,2.843818644,1.616984096,54.54
1091,ARG,200111,1.864796536,4.458672236,38.96727712,1.897283334,3.37732512,3.479268467,4.458672236,3.060235673,0.91697454,1.766671567,1.885519508,3.532776101,2.952722234,1.735913194,52.55
1092,ARG,200112,2.025818206,4.788155899,38.7381349,2.743964111,3.166135225,3.647242519,4.788155899,3.386369287,1.231130592,2.139788211,2.178619611,4.311149218,3.061625824,1.854842291,80.35
1093,ARG,200201,2.010079603,4.758595574,38.83184126,2.52023061,3.19420768,3.625683484,4.758595574,3.455280825,1.159317096,2.083051241,2.185642936,4.262795638,2.978827156,1.84779488,62.29
1094,ARG,200202,1.994340999,4.729035249,38.92554762,2.29649711,3.222280136,3.60412445,4.729035249,3.524192362,1.087503599,2.026314271,2.19266626,4.214442059,2.896028488,1.840747468,53.81
1095,ARG,200203,1.978602396,4.699474923,39.01925398,2.072763609,3.250352591,3.582565415,4.699474923,3.5931039,1.015690103,1.9695773,2.199689585,4.166088479,2.81322982,1.833700056,42.83
1096,ARG,200204,2.018926229,4.740171104,38.93119966,2.179114314,3.418187651,3.465215386,4.740171104,3.530370898,1.327184603,2.091500135,2.027232148,4.187975726,2.970926667,1.845333807,37.44
1097,ARG,200205,2.059250062,4.780867285,38.84314534,2.285465018,3.58602271,3.347865356,4.780867285,3.467637896,1.638679104,2.21342297,1.85477471,4.209862973,3.128623514,1.856967558,26.37
1098,ARG,200206,2.099573895,4.821563466,38.75509102,2.391815722,3.753857769,3.230515326,4.821563466,3.404904894,1.950173604,2.335345805,1.682317273,4.23175022,3.28632036,1.86860131,28.34
1099,ARG,200207,2.1585474,4.9251434,38.80691907,2.388729052,3.785229872,3.299574712,4.9251434,3.426497933,2.031414259,2.436244978,1.752740244,4.245759121,3.374108206,1.91140378,30.25
1100,ARG,200208,2.217520905,5.028723335,38.85874713,2.385642382,3.816601974,3.368634098,5.028723335,3.448090971,2.112654914,2.53714415,1.823163216,4.259768022,3.461896051,1.954206251,31.39
1101,ARG,200209,2.27649441,5.132303269,38.91057518,2.382555712,3.847974077,3.437693485,5.132303269,3.46968401,2.193895569,2.638043322,1.893586187,4.273776923,3.549683896,1.997008722,30.46
