rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
2789,BGD,200911,25.20506719,52.11938308,49.78888339,29.94666205,20.2427242,18.99035605,8.812825645,48.43308703,39.93026677,0.208121522,30.44016587,44.81789287,37.64667202,25.95046116,1000.00
2790,BGD,200912,24.9411793,51.75547166,49.67865061,29.07718308,19.87727118,18.75776539,8.883038904,47.60418918,39.43705285,0.202361101,30.1684817,44.69137773,36.85694582,25.71141994,968.80
2791,BGD,201001,25.13003406,51.78938674,50.04433928,29.77603822,19.83406581,18.78571589,9.482287517,48.07568209,39.06281045,0.827269225,30.54545947,44.47056533,36.74571116,25.91790446,1132.66
2792,BGD,201002,25.31888882,51.82330183,50.41002795,30.47489336,19.79086044,18.81366639,10.08153613,48.54717501,38.68856806,1.452177348,30.92243723,44.24975293,36.63447651,26.12438899,1183.91
2793,BGD,201003,25.50774358,51.85721692,50.77571662,31.1737485,19.74765507,18.84161689,10.68078474,49.01866793,38.31432567,2.077085472,31.299415,44.02894054,36.52324186,26.33087351,1157.11
2794,BGD,201004,25.55955981,51.902048,50.7319335,31.21839053,19.68515962,18.91424691,10.88385149,49.10524602,38.39507596,2.190807611,31.39256845,43.9639098,36.64158337,26.33087322,1170.71
2795,BGD,201005,25.61137603,51.94687907,50.68815038,31.26303257,19.62266418,18.98687692,11.08691823,49.19182411,38.47582624,2.304529751,31.48572191,43.89887906,36.75992487,26.33087293,1233.81
2796,BGD,201006,25.66319226,51.99171015,50.64436726,31.3076746,19.56016874,19.05950693,11.28998498,49.2784022,38.55657653,2.41825189,31.57887537,43.83384832,36.87826638,26.33087263,1243.25
2797,BGD,201007,25.59066349,52.11583441,50.51185933,31.44252753,19.44679571,19.13741366,11.00225607,49.3999096,38.78158837,2.170224395,31.35891202,43.9852702,36.71013456,26.32434802,1249.56
2798,BGD,201008,25.51813472,52.23995867,50.3793514,31.57738046,19.33342269,19.21532039,10.71452716,49.521417,39.0066002,1.9221969,31.13894868,44.13669207,36.54200273,26.3178234,1321.17
2799,BGD,201009,25.44560595,52.36408292,50.24684346,31.71223339,19.22004966,19.29322712,10.42679826,49.6429244,39.23161203,1.674169405,30.91898534,44.28811394,36.3738709,26.31129878,1329.17
2800,BGD,201010,25.33979056,52.14084086,50.06030548,30.74197433,18.594733,19.61522397,10.93030871,49.22914056,38.56231006,2.001260805,31.0266044,44.55337299,36.43851773,26.10269708,1381.89
2801,BGD,201011,25.23397518,51.9175988,49.87376749,29.77171526,17.96941633,19.93722081,11.43381916,48.81535672,37.89300809,2.328352205,31.13422346,44.81863205,36.50316455,25.89409537,1397.89
2802,BGD,201012,25.12815979,51.69435674,49.6872295,28.80145619,17.34409967,20.25921766,11.93732961,48.40157289,37.22370611,2.655443605,31.24184251,45.0838911,36.56781138,25.68549367,1402.03
2803,BGD,201101,25.02855196,51.63609027,49.7276859,28.70552124,17.27424136,20.25777342,11.74900212,48.24041611,37.1857464,2.546899796,31.04707005,45.1232907,36.39175675,25.67738563,1254.81
2804,BGD,201102,24.92894412,51.5778238,49.76814229,28.60958629,17.20438306,20.25632919,11.56067462,48.07925933,37.14778668,2.438355986,30.85229758,45.16269031,36.21570213,25.66927759,891.07
2805,BGD,201103,24.82933628,51.51955733,49.80859868,28.51365134,17.13452475,20.25488496,11.37234713,47.91810255,37.10982697,2.329812176,30.65752511,45.20208992,36.0396475,25.66116955,1001.08
2806,BGD,201104,24.82469793,51.51175859,49.7973567,28.49966062,17.09875046,20.25958452,11.39082516,47.9311423,37.0756395,2.336022365,30.64396916,45.07769403,36.01240747,25.65149592,955.41
