rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
3062,BIH,201005,0,0.318365533,35.77139465,0,0.318365533,0.043552638,0,0.131167458,0.318365533,0.318365533,0.277091745,0.318365533,0.318365533,0.114304042,999.379
3063,BIH,201006,0,0,35.70539341,0,0,0,0,0,0,0,0,0,0,0,"1,037.66"
3064,BIH,201007,0,0.351949275,35.74591328,0,0.351949275,0.01729393,0,0.201053199,0.351949275,0.351949275,0.351949275,0.351949275,0.351949275,0.126092702,"1,073.93"
3065,BIH,201008,0,0.70389855,35.78643316,0,0.70389855,0.03458786,0,0.402106399,0.70389855,0.70389855,0.70389855,0.70389855,0.70389855,0.252185403,"1,099.50"
3066,BIH,201009,0,1.055847826,35.82695303,0,1.055847826,0.05188179,0,0.603159598,1.055847826,1.055847826,1.055847826,1.055847826,1.055847826,0.378278105,"1,095.08"
3067,BIH,201010,0.092045056,1.294714009,36.23804965,0.243547375,1.294714009,0.03458786,0,0.992921857,1.294714009,0.965755909,1.282867319,1.294714009,0.899119085,0.471143047,"1,139.63"
3068,BIH,201011,0.184090111,1.533580192,36.64914627,0.487094749,1.533580192,0.01729393,0,1.382684116,1.533580192,0.875663992,1.509886812,1.533580192,0.742390345,0.564007989,"1,011.92"
3069,BIH,201012,0.276135167,1.772446375,37.06024289,0.730642124,1.772446375,0,0,1.772446375,1.772446375,0.785572075,1.736906306,1.772446375,0.585661604,0.656872932,"1,119.42"
3070,BIH,201101,0.291480585,1.795229613,37.06896075,0.766908087,1.795229613,0,0,1.795229613,1.795229613,0.817740295,1.743038609,1.795229613,0.625288438,0.665476933,"1,292.72"
3071,BIH,201102,0.306826002,1.818012852,37.07767861,0.803174049,1.818012852,0,0,1.818012852,1.818012852,0.849908515,1.749170912,1.818012852,0.664915271,0.674080935,"1,314.93"
3072,BIH,201103,0.32217142,1.840796091,37.08639647,0.839440011,1.840796091,0,0,1.840796091,1.840796091,0.882076735,1.755303215,1.840796091,0.704542105,0.682684936,"1,413.43"
3073,BIH,201104,0.279690146,1.899098894,37.02330965,0.886251649,1.674880237,0.050238515,0,1.899098894,1.899098894,0.818013854,1.670847375,1.899098894,0.607513465,0.703035701,"1,424.20"
3074,BIH,201105,0.237208872,1.957401697,36.96022284,0.933063288,1.508964383,0.10047703,0,1.957401697,1.957401697,0.753950973,1.586391535,1.957401697,0.510484825,0.723386466,"1,381.63"
3075,BIH,201106,0.194727598,2.0157045,36.89713603,0.979874926,1.343048529,0.150715545,0,2.0157045,2.0157045,0.689888091,1.501935695,2.0157045,0.413456184,0.743737231,"1,343.08"
3076,BIH,201107,0.129818398,1.944548312,36.86052272,1.01301087,1.261747466,0.148804182,0,1.944548312,1.944548312,0.570157766,1.348821108,1.944548312,0.275637456,0.716822778,"1,311.79"
3077,BIH,201108,0.064909199,1.873392123,36.82390942,1.046146815,1.180446403,0.146892818,0,1.873392123,1.873392123,0.450427441,1.195706522,1.873392123,0.137818728,0.689908324,"1,220.40"
3078,BIH,201109,0,1.802235935,36.78729611,1.079282759,1.09914534,0.144981454,0,1.802235935,1.802235935,0.330697116,1.042591935,1.802235935,0,0.66299387,"1,168.84"
3079,BIH,201110,0.118756561,1.972647069,36.94359881,1.490678285,0.73276356,0.157655465,0,1.707919593,1.85453139,0.455311907,0.949855576,1.972647069,0.119072222,0.729299533,"1,124.91"
3080,BIH,201111,0.237513122,2.143058203,37.0999015,1.902073811,0.36638178,0.170329475,0,1.61360325,1.906826844,0.579926698,0.857119217,2.143058203,0.238144444,0.795605197,985.276
3081,BIH,201112,0.356269682,2.313469337,37.25620419,2.313469337,0,0.183003485,0,1.519286908,1.959122299,0.704541489,0.764382858,2.313469337,0.357216665,0.86191086,950.363
3082,BIH,201201,0.277969217,2.217898755,37.21655386,2.217898755,0,0.14364553,0,1.49769216,1.851668742,0.522536384,0.6842309,2.217898755,0.238144444,0.825501273,"1,036.96"
3083,BIH,201202,0.199668751,2.122328172,37.17690353,2.122328172,0,0.104287575,0,1.476097412,1.744215186,0.340531278,0.604078943,2.122328172,0.119072222,0.789091685,"1,045.32"
3084,BIH,201203,0.121368285,2.026757589,37.13725319,2.026757589,0,0.06492962,0,1.454502663,1.636761629,0.158526173,0.523926986,2.026757589,0,0.752682098,"1,025.55"
3085,BIH,201204,0.08091219,1.804793063,37.13545878,1.804793063,0,0.043286413,0,1.118007499,1.458378974,0.105684115,0.349284657,1.804793063,0,0.67022615,996.979
3086,BIH,201205,0.040456095,1.582828537,37.13366436,1.582828537,0,0.021643207,0,0.781512335,1.27999632,0.052842058,0.174642329,1.582828537,0,0.587770202,866.97
3087,BIH,201206,0,1.36086401,37.13186994,1.36086401,0,0,0,0.445017171,1.101613665,0,0,1.36086401,0,0.505314254,829.005
3088,BIH,201207,0.031143906,1.584318442,37.13995193,1.584318442,0,0.026870067,0,0.715088288,1.279530464,0.03040458,0.105914915,1.584318442,0,0.588451227,836.261
3089,BIH,201208,0.062287812,1.807772874,37.14803391,1.807772874,0,0.053740134,0,0.985159406,1.457447264,0.060809161,0.21182983,1.807772874,0,0.671588199,881.598
3090,BIH,201209,0.093431717,2.031227305,37.1561159,2.031227305,0,0.080610201,0,1.255230524,1.635364063,0.091213741,0.317744745,2.031227305,0,0.754725172,"1,001.14"
3091,BIH,201210,0.238296978,2.024772929,37.49286032,2.012460903,0,0.151545553,0,1.316128537,1.304503032,0.201378507,0.29849698,1.585098744,0.04881239,0.759101816,982.193
3092,BIH,201211,0.383162239,2.018318553,37.82960473,1.993694501,0,0.222480905,0,1.377026551,0.973642001,0.311543274,0.279249215,1.138970183,0.097624779,0.763478461,"1,018.65"
3093,BIH,201212,0.5280275,2.011864176,38.16634915,1.974928099,0,0.293416257,0,1.437924564,0.642780969,0.42170804,0.26000145,0.692841622,0.146437169,0.767855106,"1,040.61"
3094,BIH,201301,0.352018333,1.902587262,38.05168691,1.877963211,0,0.305235692,0,1.262712584,0.600844383,0.281138694,0.1733343,0.787175212,0.097624779,0.724217147,"1,173.19"
3095,BIH,201302,0.176009167,1.793310348,37.93702466,1.780998322,0,0.317055127,0,1.087500604,0.558907797,0.140569347,0.08666715,0.881508803,0.04881239,0.680579188,"1,132.02"
3096,BIH,201303,0,1.684033433,37.82236242,1.684033433,0,0.328874562,0,0.912288624,0.51697121,0,0,0.975842393,0,0.636941229,"1,094.70"
3097,BIH,201304,0.054655571,1.627222931,37.88640439,1.627222931,0,0.256266111,0,0.885612888,0.344647474,0.05856422,0,0.846341415,0,0.616423495,"1,111.60"
3098,BIH,201305,0.109311142,1.570412428,37.95044636,1.570412428,0,0.18365766,0,0.858937153,0.172323737,0.117128441,0,0.716840436,0,0.595905761,990.043
3099,BIH,201306,0.163966714,1.513601925,38.01448833,1.513601925,0,0.111049209,0,0.832261418,0,0.175692661,0,0.587339457,0,0.575388027,993.533
3100,BIH,201307,0.503219679,1.907223305,38.08328263,1.879408326,0.226759207,0.257695422,0.230980577,1.430270105,0.417318082,0.443858428,0.432490008,0.571105182,0.40825244,0.72687482,"1,050.86"
3101,BIH,201308,0.842472644,2.300844685,38.15207692,2.245214728,0.453518414,0.404341635,0.461961155,2.028278793,0.834636163,0.712024196,0.864980016,0.554870906,0.816504879,0.878361612,"1,051.91"
3102,BIH,201309,1.181725609,2.694466065,38.22087121,2.611021129,0.68027762,0.550987848,0.692941732,2.626287481,1.251954245,0.980189963,1.297470024,0.538636631,1.224757319,1.029848404,"1,077.29"
3103,BIH,201310,1.268417199,2.893805055,38.33773534,2.838175097,0.453518414,0.973869964,1.462241035,2.796723986,1.409899195,1.269665789,1.49659262,1.456585432,1.072520323,1.109885235,"1,120.85"
3104,BIH,201311,1.355108788,3.093144045,38.45459947,3.065329066,0.226759207,1.39675208,2.231540339,2.967160491,1.567844146,1.559141615,1.695715217,2.374534234,0.920283326,1.189922065,"1,097.53"
3105,BIH,201312,1.441800378,3.292483035,38.57146359,3.292483035,0,1.819634197,3.000839642,3.137596996,1.725789096,1.848617441,1.894837814,3.292483035,0.76804633,1.269958895,"1,240.83"
3106,BIH,201401,1.409315859,3.277495032,38.55992879,3.277495032,0,1.818334823,2.927986929,3.106388237,1.686873042,1.788436361,1.833225996,3.277495032,0.699823406,1.263803208,"1,195.38"
3107,BIH,201402,1.37683134,3.262507029,38.54839398,3.262507029,0,1.81703545,2.855134216,3.075179478,1.647956989,1.728255281,1.771614178,3.262507029,0.631600482,1.257647521,"1,197.87"
3108,BIH,201403,1.344346821,3.247519026,38.53685917,3.247519026,0,1.815736076,2.782281503,3.043970718,1.609040935,1.668074201,1.71000236,3.247519026,0.563377558,1.251491834,"1,189.72"
3109,BIH,201404,1.367874312,3.260968886,38.50983848,3.260968886,0,1.805055371,2.799510751,3.125270014,1.682919352,1.679242067,1.763378711,3.260968886,0.593929925,1.255786582,"1,222.11"
3110,BIH,201405,1.391401802,3.274418746,38.48281779,3.274418746,0,1.794374665,2.816739999,3.20656931,1.75679777,1.690409934,1.816755061,3.274418746,0.624482293,1.260081331,"1,162.56"
3111,BIH,201406,1.414929293,3.287868605,38.4557971,3.287868605,0,1.78369396,2.833969247,3.287868605,1.830676187,1.7015778,1.870131411,3.287868605,0.65503466,1.26437608,"1,252.30"
3112,BIH,201407,1.410917322,3.261542811,38.49687862,3.261542811,0,1.792970347,2.832937551,3.220069009,1.824036153,1.703500719,1.843579391,3.261542811,0.635084638,1.255570547,"1,232.29"
3113,BIH,201408,1.406905352,3.235217016,38.53796014,3.235217016,0,1.802246734,2.831905856,3.152269413,1.817396119,1.705423638,1.817027371,3.235217016,0.615134615,1.246765014,"1,193.15"
3114,BIH,201409,1.402893381,3.208891221,38.57904166,3.208891221,0,1.81152312,2.830874161,3.084469817,1.810756084,1.707346557,1.790475351,3.208891221,0.595184593,1.237959481,"1,152.30"
3115,BIH,201410,1.269926466,2.81323555,38.45549721,2.81323555,0.494934342,1.462702606,2.561224176,2.657284278,1.580722181,1.387247578,1.345500409,2.410611445,0.615392509,1.08282134,"1,148.35"
3116,BIH,201411,1.136959551,2.417579878,38.33195277,2.417579878,0.989868684,1.113882092,2.291574192,2.230098739,1.350688277,1.067148598,0.900525467,1.612331669,0.635600426,0.927683198,"1,157.73"
3117,BIH,201412,1.003992636,2.021924207,38.20840832,2.021924207,1.484803026,0.765061578,2.021924207,1.802913199,1.120654374,0.747049618,0.455550524,0.814051892,0.655808342,0.772545057,"1,141.72"
3118,BIH,201501,0.717152509,1.709331425,38.13066877,1.709331425,1.351250638,0.661520001,1.709331425,1.352592974,0.888797657,0.498033079,0.30370035,0.904083215,0.437205561,0.65226552,"1,050.02"
3119,BIH,201502,0.430312381,1.396738643,38.05292922,1.396738643,1.217698249,0.557978424,1.396738643,0.902272749,0.656940941,0.249016539,0.151850175,0.994114538,0.218602781,0.531985984,"1,024.94"
3120,BIH,201503,0.143472254,1.08414586,37.97518968,1.08414586,1.08414586,0.454436848,1.08414586,0.451952524,0.425084224,0,0,1.08414586,0,0.411706447,983.063
3121,BIH,201504,0.235830374,1.177737832,37.96252391,1.177737832,1.023039343,0.498976676,1.177737832,0.620688915,0.498271981,0.097078262,0,1.075684455,0,0.447075298,"1,035.77"
3122,BIH,201505,0.328188494,1.271329805,37.94985815,1.271329805,0.961932826,0.543516504,1.271329805,0.789425305,0.571459737,0.194156524,0,1.067223049,0,0.482444149,"1,003.51"
3123,BIH,201506,0.420546614,1.364921777,37.93719239,1.364921777,0.900826308,0.588056332,1.364921777,0.958161695,0.644647494,0.291234785,0,1.058761643,0,0.517813,980.634
3124,BIH,201507,0.528168689,1.430899708,37.92232962,1.430899708,1.043889962,0.579185261,1.430899708,1.15972632,0.67875117,0.37019283,0.041626186,0.992416872,0.091207221,0.542610891,993.579
3125,BIH,201508,0.635790764,1.496877639,37.90746685,1.496877639,1.186953615,0.570314189,1.496877639,1.361290945,0.712854846,0.449150874,0.083252372,0.9260721,0.182414442,0.567408783,988.67
3126,BIH,201509,0.743412839,1.562855571,37.89260408,1.562855571,1.330017268,0.561443118,1.562855571,1.562855571,0.746958522,0.528108918,0.124878558,0.859727328,0.273621664,0.592206674,960.665
