rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
4017,BRA,200012,4.475067101,9.655811385,46.16652225,0,7.823202054,6.977720739,4.4903734,9.119613782,6.476350566,2.656962875,3.98266502,3.23679097,2.702882035,4.457752312,100.00
4018,BRA,200101,4.477858508,9.672557516,46.15873637,0,7.807915538,6.968309787,4.457921708,9.111678987,6.487812233,2.659773063,3.994639128,3.247533717,2.68235385,4.464727717,113.28
4019,BRA,200102,4.480649914,9.689303646,46.15095049,0,7.792629023,6.958898835,4.425470016,9.103744192,6.4992739,2.662583252,4.006613237,3.258276464,2.661825665,4.471703121,101.63
4020,BRA,200103,4.483441321,9.706049777,46.14316462,0,7.777342508,6.949487882,4.393018324,9.095809397,6.510735567,2.665393441,4.018587345,3.269019211,2.641297479,4.478678526,90.10
4021,BRA,200104,4.495343169,9.710224822,46.14281163,0.011087534,7.72602981,6.972996308,4.34684027,9.036125571,6.497008971,2.588402423,4.020578963,3.291372211,2.516538356,4.480570719,94.72
4022,BRA,200105,4.507245016,9.714399866,46.14245864,0.022175067,7.674717113,6.996504733,4.300662216,8.976441745,6.483282375,2.511411405,4.022570582,3.31372521,2.391779233,4.482462911,89.81
4023,BRA,200106,4.519146864,9.718574911,46.14210565,0.033262601,7.623404415,7.020013158,4.254484162,8.916757919,6.469555778,2.434420387,4.0245622,3.336078209,2.267020109,4.484355103,88.49
4024,BRA,200107,4.505023568,9.671884926,46.17116188,0.065980866,7.529905906,7.03866765,4.228834915,8.815347975,6.410287379,2.443678162,4.037127484,3.262948502,2.168619694,4.465594513,82.17
4025,BRA,200108,4.490900273,9.62519494,46.20021811,0.09869913,7.436407396,7.057322143,4.203185669,8.713938032,6.351018979,2.452935936,4.049692768,3.189818795,2.070219279,4.446833923,75.16
4026,BRA,200109,4.476776977,9.578504955,46.22927434,0.131417395,7.342908887,7.075976635,4.177536423,8.612528088,6.29175058,2.462193711,4.062258052,3.116689088,1.971818864,4.428073333,62.62
4027,BRA,200110,4.567667739,9.634076073,46.08714897,1.058640511,6.503483052,7.480045495,3.708713373,8.577764747,6.249502837,2.414577527,3.965398488,4.014180948,1.702425419,4.439913031,66.09
4028,BRA,200111,4.658558501,9.689647191,45.94502361,1.985863626,5.664057216,7.884114354,3.239890323,8.543001405,6.207255094,2.366961344,3.868538924,4.911672808,1.433031973,4.451752728,72.71
4029,BRA,200112,4.749449263,9.745218309,45.80289824,2.913086742,4.824631381,8.288183214,2.771067274,8.508238064,6.165007351,2.319345161,3.77167936,5.809164668,1.163638527,4.463592425,83.01
4030,BRA,200201,4.768305354,9.745807262,45.83063962,2.857933318,4.948459339,8.308901775,2.724953211,8.572617677,6.15779979,2.266007366,3.811519205,5.748885508,1.093719049,4.466566131,77.74
4031,BRA,200202,4.787161445,9.746396216,45.85838101,2.802779894,5.072287297,8.329620337,2.678839149,8.636997291,6.150592228,2.212669572,3.85135905,5.688606347,1.02379957,4.469539838,88.82
4032,BRA,200203,4.806017536,9.746985169,45.88612239,2.74762647,5.196115254,8.350338899,2.632725087,8.701376904,6.143384667,2.159331777,3.891198895,5.628327187,0.953880092,4.472513544,88.90
4033,BRA,200204,4.768569082,9.639575127,45.8774358,2.722238404,5.15303376,8.195372739,2.504138799,8.588663575,6.251372708,2.092945524,3.673741591,5.457782747,0.90031692,4.42240855,88.14
4034,BRA,200205,4.731120627,9.532165084,45.8687492,2.696850339,5.109952266,8.040406579,2.375552511,8.475950245,6.359360748,2.026559272,3.456284287,5.287238308,0.846753747,4.372303557,81.58
4035,BRA,200206,4.693672172,9.424755042,45.86006261,2.671462273,5.066870772,7.88544042,2.246966223,8.363236915,6.467348789,1.960173019,3.238826982,5.116693869,0.793190575,4.322198563,66.57
4036,BRA,200207,4.713843976,9.440174744,45.91724257,2.681135707,5.170034272,7.895444528,2.229746507,8.344538484,6.460601975,1.963602584,3.279455672,5.169967719,0.839346503,4.33468557,47.29
4037,BRA,200208,4.734015779,9.455594446,45.97442252,2.69080914,5.273197772,7.905448636,2.21252679,8.325840053,6.453855162,1.96703215,3.320084361,5.223241569,0.885502431,4.347172576,58.07
4038,BRA,200209,4.754187582,9.471014148,46.03160248,2.700482574,5.376361272,7.915452744,2.195307074,8.307141623,6.447108348,1.970461715,3.360713051,5.276515419,0.931658359,4.359659583,40.50
4039,BRA,200210,4.478463879,8.900830303,45.95742158,2.149491432,4.121807427,7.863789367,1.911763679,7.727718096,5.645253416,1.99625342,2.804965368,4.329027098,0.968844462,4.091438042,52.04
4040,BRA,200211,4.202740176,8.330646459,45.88324069,1.598500289,2.867253581,7.812125991,1.628220283,7.14829457,4.843398484,2.022045124,2.249217685,3.381538777,1.006030564,3.823216501,52.65
4041,BRA,200212,3.927016473,7.760462614,45.8090598,1.047509147,1.612699736,7.760462614,1.344676888,6.568871044,4.041543552,2.047836829,1.693470003,2.434050456,1.043216667,3.55499496,57.57
4042,BRA,200301,3.889343175,7.702026918,45.78228767,1.044342607,1.625094334,7.702026918,1.284872702,6.54403318,4.093098751,2.055474395,1.61901875,2.493531675,1.101772265,3.526195409,55.65
4043,BRA,200302,3.851669877,7.643591223,45.75551554,1.041176067,1.637488932,7.643591223,1.225068517,6.519195317,4.144653949,2.063111962,1.544567497,2.553012893,1.160327863,3.497395859,53.54
4044,BRA,200303,3.813996579,7.585155527,45.72874341,1.038009526,1.649883529,7.585155527,1.165264331,6.494357453,4.196209147,2.070749529,1.470116244,2.612494112,1.218883461,3.468596308,60.92
4045,BRA,200304,3.789426598,7.60159268,45.72245881,0.945112681,1.618008966,7.60159268,1.256051963,6.659765093,4.243577883,2.118861355,1.43821198,2.58780228,1.286335594,3.475633016,73.74
4046,BRA,200305,3.764856617,7.618029833,45.71617422,0.852215837,1.586134403,7.618029833,1.346839595,6.825172734,4.290946618,2.166973182,1.406307716,2.563110448,1.353787727,3.482669724,75.51
4047,BRA,200306,3.740286636,7.634466985,45.70988963,0.759318992,1.55425984,7.634466985,1.437627227,6.990580375,4.338315354,2.215085008,1.374403453,2.538418616,1.42123986,3.489706432,75.63
4048,BRA,200307,3.753246141,7.634953405,45.69902153,0.90488383,1.344540479,7.634953405,1.573429078,6.968309122,4.215519096,2.273483892,1.367870124,2.472580178,1.386808562,3.489098895,79.80
4049,BRA,200308,3.766205646,7.635439824,45.68815344,1.050448668,1.134821118,7.635439824,1.709230929,6.94603787,4.092722839,2.331882775,1.361336796,2.406741739,1.352377265,3.488491357,87.88
4050,BRA,200309,3.77916515,7.635926243,45.67728534,1.196013506,0.925101757,7.635926243,1.84503278,6.923766617,3.969926581,2.390281659,1.354803468,2.340903301,1.317945967,3.487883819,89.47
4051,BRA,200310,3.827938339,7.988581373,45.62308716,1.490627589,0.68466101,7.654184104,1.448157985,6.765765185,3.907501303,2.131950938,1.06932748,2.137386759,0.895889901,3.644255178,99.14
4052,BRA,200311,3.876711529,8.341236504,45.56888898,1.785241671,0.444220262,7.672441965,1.05128319,6.607763753,3.845076024,1.873620217,0.783851491,1.933870217,0.473833835,3.800626537,104.90
4053,BRA,200312,3.925484718,8.693891634,45.5146908,2.079855754,0.203779515,7.690699826,0.654408395,6.449762321,3.782650745,1.615289497,0.498375503,1.730353675,0.05177777,3.956997896,123.43
4054,BRA,200401,3.928209181,8.686555485,45.48402148,2.004728643,0.315025565,7.663193845,0.575099729,6.412967305,3.758563807,1.592929731,0.481794764,1.747502162,0.039903746,3.950999263,118.38
4055,BRA,200402,3.930933645,8.679219337,45.45335215,1.929601533,0.426271615,7.635687863,0.495791063,6.376172289,3.734476869,1.570569966,0.465214026,1.764650648,0.028029723,3.945000629,122.81
4056,BRA,200403,3.933658108,8.671883188,45.42268283,1.854474422,0.537517665,7.608181882,0.416482397,6.339377272,3.710389931,1.5482102,0.448633287,1.781799135,0.0161557,3.939001996,122.74
4057,BRA,200404,3.967352572,8.729663822,45.44553777,1.798156481,0.725471647,7.567550941,0.301394233,6.301911499,3.770352747,1.516766025,0.490806712,1.838373527,0.060102746,3.96726908,104.66
4058,BRA,200405,4.001047036,8.787444455,45.4683927,1.741838541,0.913425629,7.526919999,0.186306069,6.264445725,3.830315564,1.485321851,0.532980137,1.894947919,0.104049793,3.995536165,102.91
4059,BRA,200406,4.0347415,8.845225089,45.49124764,1.6855206,1.101379612,7.486289058,0.071217905,6.226979951,3.89027838,1.453877676,0.575153562,1.951522311,0.14799684,4.023803249,107.99
4060,BRA,200407,4.021996644,8.835831195,45.50045362,1.681737549,1.068962401,7.479874278,0.081905748,6.253431035,3.860103646,1.411058391,0.559091011,1.892284974,0.122875045,4.020341545,117.05
4061,BRA,200408,4.009251787,8.8264373,45.5096596,1.677954498,1.036545191,7.473459497,0.09259359,6.279882118,3.829928911,1.368239106,0.543028459,1.833047637,0.09775325,4.016879841,124.41
4062,BRA,200409,3.99650693,8.817043406,45.51886559,1.674171447,1.004127981,7.467044717,0.103281432,6.306333201,3.799754176,1.325419821,0.526965908,1.7738103,0.072631455,4.013418137,136.36
4063,BRA,200410,3.483388814,7.675621652,45.02800346,1.203544101,1.312304653,6.775622526,0.525905518,5.711386315,3.023240463,1.152531625,0.442834349,1.19106579,0.231644805,3.467384797,138.59
4064,BRA,200411,2.970270697,6.534199898,44.53714133,0.732916756,1.620481325,6.084200335,0.948529603,5.116439429,2.246726749,0.979643429,0.35870279,0.608321281,0.390658156,2.921351458,152.98
4065,BRA,200412,2.457152581,5.392778143,44.04627921,0.26228941,1.928657997,5.392778143,1.371153688,4.521492542,1.470213036,0.806755233,0.274571231,0.025576771,0.549671506,2.375318118,167.68
4066,BRA,200501,2.473265723,5.415984664,44.06579546,0.219931737,2.022600339,5.415984664,1.382030157,4.560190163,1.520459601,0.807519157,0.320044715,0.068301558,0.580226702,2.386605782,163.62
4067,BRA,200502,2.489378866,5.439191185,44.0853117,0.177574065,2.116542681,5.439191185,1.392906626,4.598887783,1.570706167,0.808283082,0.365518199,0.111026345,0.610781898,2.397893446,192.24
4068,BRA,200503,2.505492009,5.462397706,44.10482795,0.135216392,2.210485024,5.462397706,1.403783095,4.637585403,1.620952732,0.809047006,0.410991683,0.153751131,0.641337094,2.40918111,175.73
4069,BRA,200504,2.468668637,5.411539111,44.07261866,0.131537399,2.063264239,5.411539111,1.472025493,4.643922583,1.533348712,0.771285272,0.349006893,0.11469118,0.563691618,2.385039758,168.36
4070,BRA,200505,2.431845266,5.360680515,44.04040937,0.127858405,1.916043454,5.360680515,1.540267891,4.650259763,1.445744691,0.733523538,0.287022103,0.075631229,0.486046142,2.360898406,181.34
4071,BRA,200506,2.395021894,5.30982192,44.00820008,0.124179411,1.768822669,5.30982192,1.608510289,4.656596943,1.358140671,0.695761804,0.225037313,0.036571278,0.408400666,2.336757054,188.38
4072,BRA,200507,2.422784434,5.332390104,43.97845114,0.160825391,1.88427845,5.332390104,1.606303421,4.685495206,1.419342566,0.702948568,0.267824848,0.12271308,0.458698311,2.345089149,195.66
4073,BRA,200508,2.450546975,5.354958288,43.9487022,0.197471371,1.999734231,5.354958288,1.604096552,4.71439347,1.480544461,0.710135332,0.310612384,0.208854883,0.508995957,2.353421243,217.34
4074,BRA,200509,2.478309516,5.377526471,43.91895326,0.234117351,2.115190013,5.377526471,1.601889684,4.743291733,1.541746356,0.717322095,0.353399919,0.294996685,0.559293603,2.361753337,258.82
4075,BRA,200510,2.207682546,4.922675649,43.46769293,0.394486559,1.598008608,4.922675649,1.351835813,4.427894115,1.458478993,0.672306866,0.254496222,0.645384084,0.553212966,2.143878657,243.29
4076,BRA,200511,1.937055576,4.467824827,43.0164326,0.554855767,1.080827203,4.467824827,1.101781943,4.112496498,1.375211631,0.627291637,0.155592525,0.995771483,0.547132328,1.926003978,264.99
4077,BRA,200512,1.666428606,4.012974004,42.56517227,0.715224975,0.563645798,4.012974004,0.851728072,3.79709888,1.291944268,0.582276408,0.056688828,1.346158881,0.541051691,1.708129298,262.32
4078,BRA,200601,1.67369133,4.058335485,42.62994508,0.728869599,0.541531869,4.058335485,0.908497195,3.882195643,1.253357416,0.678029189,0.053387128,1.312817831,0.597292095,1.730124953,327.79
4079,BRA,200602,1.680954055,4.103696966,42.6947179,0.742514224,0.519417939,4.103696966,0.965266317,3.967292406,1.214770565,0.77378197,0.050085428,1.279476781,0.653532499,1.752120607,334.28
4080,BRA,200603,1.68821678,4.149058448,42.75949072,0.756158849,0.49730401,4.149058448,1.02203544,4.052389168,1.176183713,0.86953475,0.046783728,1.24613573,0.709772903,1.774116262,318.43
4081,BRA,200604,1.700506284,4.178666025,42.78374971,0.655202212,0.614620062,4.178666025,0.963773397,4.065014281,1.210638088,0.84381543,0.113923202,1.247132946,0.703982301,1.787804378,349.04
4082,BRA,200605,1.712795788,4.208273603,42.80800869,0.554245575,0.731936113,4.208273603,0.905511354,4.077639394,1.245092463,0.81809611,0.181062675,1.248130162,0.698191699,1.801492495,292.51
4083,BRA,200606,1.725085293,4.237881181,42.83226768,0.453288938,0.849252165,4.237881181,0.847249311,4.090264506,1.279546838,0.792376789,0.248202149,1.249127377,0.692401098,1.815180611,310.56
4084,BRA,200607,1.702469977,4.171453008,42.76920783,0.477379299,0.701414078,4.171453008,0.81937468,3.954267148,1.198455828,0.753142346,0.186408206,1.131282371,0.647111341,1.784181185,313.88
4085,BRA,200608,1.679854661,4.105024834,42.70614799,0.501469661,0.553575992,4.105024834,0.79150005,3.81826979,1.117364818,0.713907903,0.124614263,1.013437366,0.601821585,1.75318176,312.18
4086,BRA,200609,1.657239346,4.038596661,42.64308814,0.525560022,0.405737905,4.038596661,0.763625419,3.682272432,1.036273807,0.67467346,0.06282032,0.89559236,0.556531828,1.722182334,306.39
4087,BRA,200610,1.492711598,3.69848008,41.81315473,1.031399407,0.270491937,3.635441855,0.518736386,2.789900962,1.122240561,0.695517833,0.041880213,1.058445351,0.591011427,1.552096681,332.51
4088,BRA,200611,1.32818385,3.3583635,40.98322131,1.537238792,0.135245968,3.232287049,0.273847353,1.897529492,1.208207315,0.716362205,0.020940107,1.221298342,0.625491027,1.382011028,352.31
4089,BRA,200612,1.163656103,3.018246919,40.1532879,2.043078177,0,2.829132243,0.028958321,1.005158023,1.294174069,0.737206578,0,1.384151333,0.659970626,1.211925375,381.15
4090,BRA,200701,1.147673367,3.028138173,40.15490762,1.935784102,0.110890799,2.762444289,0.019305547,1.05702447,1.439731798,0.739985329,0.00978968,1.464687345,0.776002947,1.215946407,384.87
4091,BRA,200702,1.131690631,3.038029427,40.15652735,1.828490026,0.221781599,2.695756335,0.009652774,1.108890917,1.585289527,0.742764079,0.01957936,1.545223356,0.892035267,1.219967438,374.12
4092,BRA,200703,1.115707895,3.047920681,40.15814708,1.721195951,0.332672398,2.629068381,0,1.160757364,1.730847255,0.74554283,0.02936904,1.625759368,1.008067587,1.22398847,404.38
4093,BRA,200704,1.102147577,3.002350126,40.20702434,1.761907834,0.221781599,2.703349798,0.084670913,1.122149967,1.605204598,0.754675015,0.01957936,1.482117538,0.953824041,1.207111098,429.87
4094,BRA,200705,1.088587259,2.95677957,40.2559016,1.802619717,0.110890799,2.777631216,0.169341826,1.083542569,1.479561941,0.763807199,0.00978968,1.338475708,0.899580495,1.190233727,480.34
4095,BRA,200706,1.075026941,2.911209015,40.30477885,1.8433316,0,2.851912633,0.25401274,1.044935172,1.353919285,0.772939384,0,1.194833878,0.845336949,1.173356356,500.83
4096,BRA,200707,1.09502831,2.940651308,40.30049057,1.856476713,0,2.852753133,0.244276935,1.059787377,1.362164795,0.750303631,0,1.220916093,0.815312431,1.185094378,522.00
4097,BRA,200708,1.115029678,2.9700936,40.29620228,1.869621827,0,2.853593632,0.23454113,1.074639582,1.370410305,0.727667879,0,1.246998308,0.785287914,1.1968324,503.43
4098,BRA,200709,1.135031047,2.999535893,40.291914,1.882766941,0,2.854434131,0.224805326,1.089491786,1.378655815,0.705032127,0,1.273080524,0.755263397,1.208570422,604.49
4099,BRA,200710,1.233758733,3.204452217,40.70553273,2.286235216,0.581013498,2.528297597,0.149870217,1.398377583,1.345237478,0.527307713,0.396091259,1.813679604,0.565724972,1.306084491,699.09
4100,BRA,200711,1.332486418,3.409368542,41.11915145,2.689703491,1.162026997,2.202161064,0.074935109,1.707263379,1.31181914,0.3495833,0.792182517,2.354278684,0.376186547,1.403598559,665.06
4101,BRA,200712,1.431214103,3.614284866,41.53277018,3.093171766,1.743040495,1.876024531,0,2.016149176,1.278400803,0.171858887,1.188273776,2.894877764,0.186648122,1.501112627,684.37
4102,BRA,200801,1.482180468,3.647225435,41.58247602,3.258223918,1.71925271,1.922470125,0,2.061262486,1.209859355,0.114572591,1.219122121,2.827363233,0.124432082,1.516639389,627.66
4103,BRA,200802,1.533146832,3.680166003,41.63218186,3.42327607,1.695464924,1.96891572,0,2.106375797,1.141317908,0.057286296,1.249970465,2.759848702,0.062216041,1.53216615,703.28
4104,BRA,200803,1.584113197,3.713106571,41.6818877,3.588328221,1.671677139,2.015361315,0,2.151489108,1.07277646,0,1.28081881,2.692334171,0,1.547692911,649.86
