rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
4913,BWA,200811,11.66698441,29.23606599,44.29492685,17.65649926,2.699910379,9.977533248,3.182391991,20.20188108,26.51348569,7.367218717,21.54832366,16.90622864,14.68661143,12.95258158,967.221
4914,BWA,200812,11.57650126,28.62879087,44.09011516,18.01187461,2.661361575,9.689843422,3.356038829,19.47647429,25.74358683,7.226712178,21.38395736,15.88553955,13.86220779,12.62246686,833.128
4915,BWA,200901,11.66763932,28.70687731,43.99823111,18.30300131,2.908834321,9.702096555,3.396677817,19.59972039,25.88253856,7.252146821,21.45886343,16.12139648,13.95514073,12.63037473,813.938
4916,BWA,200902,11.75877738,28.78496375,43.90634707,18.59412802,3.156307068,9.714349688,3.437316806,19.72296648,26.0214903,7.277581464,21.53376951,16.35725341,14.04807368,12.63828259,743.329
4917,BWA,200903,11.84991544,28.8630502,43.81446303,18.88525473,3.403779814,9.726602821,3.477955794,19.84621257,26.16044203,7.303016108,21.60867558,16.59311033,14.14100662,12.64619046,753.641
4918,BWA,200904,11.87032715,28.88075381,43.76601616,18.82354326,3.554212023,9.662928353,3.471296347,19.89011974,26.14786642,7.353838373,21.5609597,16.50296211,14.21368003,12.63993823,791.502
4919,BWA,200905,11.89073886,28.89845743,43.71756929,18.76183179,3.704644232,9.599253886,3.4646369,19.93402691,26.13529081,7.404660638,21.51324381,16.41281388,14.28635343,12.633686,847.917
4920,BWA,200906,11.91115057,28.91616105,43.66912243,18.70012031,3.855076441,9.535579419,3.457977453,19.97793408,26.12271521,7.455482903,21.46552793,16.32266565,14.35902684,12.62743377,897.514
4921,BWA,200907,11.89963089,28.92053356,43.65374207,18.64896257,3.809679019,9.529805804,3.545803839,20.01245734,26.08036306,7.410605592,21.46503907,16.32025856,14.25631133,12.62489378,940.484
4922,BWA,200908,11.8881112,28.92490607,43.63836172,18.59780482,3.764281597,9.52403219,3.633630224,20.0469806,26.03801091,7.365728281,21.46455022,16.31785146,14.15359583,12.62235379,"1,013.185"
4923,BWA,200909,11.87659151,28.92927858,43.62298137,18.54664707,3.718884175,9.518258575,3.72145661,20.08150386,25.99565876,7.32085097,21.46406136,16.31544437,14.05088033,12.61981381,"1,053.889"
4924,BWA,200910,11.65136858,28.3039079,43.79859635,18.86133409,3.727428881,9.098090738,3.707050334,19.65886823,25.39575529,7.068140504,21.07638626,15.87038082,13.5737051,12.39451788,"1,007.546"
4925,BWA,200911,11.42614564,27.67853722,43.97421134,19.17602112,3.735973586,8.6779229,3.692644058,19.2362326,24.79585181,6.815430038,20.68871115,15.42531726,13.09652988,12.16922196,"1,025.769"
4926,BWA,200912,11.2009227,27.05316654,44.14982632,19.49070814,3.744518291,8.257755063,3.678237783,18.81359696,24.19594834,6.562719571,20.30103605,14.98025371,12.61935465,11.94392604,981.045
4927,BWA,201001,11.30132607,27.70833816,44.16380281,18.99259831,3.385716797,8.693289159,3.525564002,20.17256704,25.68858099,7.710094212,20.64537928,16.3302982,14.15959685,12.23723897,"1,004.810"
4928,BWA,201002,11.40172944,28.36350979,44.1777793,18.49448847,3.026915302,9.128823256,3.37289022,21.53153711,27.18121363,8.857468854,20.98972251,17.6803427,15.69983906,12.5305519,"1,043.828"
4929,BWA,201003,11.50213281,29.01868141,44.19175579,17.99637864,2.668113808,9.564357352,3.220216439,22.89050719,28.67384627,10.00484349,21.33406574,19.03038719,17.24008126,12.82386482,"1,024.959"
4930,BWA,201004,11.36414647,28.87394556,44.17940876,17.9327438,2.411409318,9.56133477,3.014709352,22.65087854,28.63536916,9.963405234,21.17396072,19.06634978,17.0536514,12.75637418,"1,022.281"
4931,BWA,201005,11.22616012,28.72920972,44.16706173,17.86910896,2.154704828,9.558312188,2.809202265,22.4112499,28.59689204,9.921966973,21.01385569,19.10231237,16.86722155,12.68888353,953.662
4932,BWA,201006,11.08817377,28.58447387,44.1547147,17.80547411,1.898000338,9.555289607,2.603695178,22.17162125,28.55841493,9.880528712,20.85375067,19.13827497,16.6807917,12.62139288,944.616
