rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
5351,CHN,200012,5.531877735,14.15141216,44.08473865,2.707989885,0,11.55005364,0.417262328,7.180934211,5.236418256,2.747275596,1.999102404,0.200243516,1.98340109,6.238136335,100.000
5352,CHN,200101,5.450780963,12.35434432,44.09800277,3.614712323,0,12.35434432,0.625893492,7.619974601,6.039755514,3.15917091,0.662538977,0.300365274,2.356111829,5.448019102,114.500
5353,CHN,200102,5.442678964,12.34440369,44.10239828,3.559042252,0,12.34440369,0.614335897,7.600696496,5.945761252,3.168016363,0.664622707,0.228317246,2.321326924,5.444177206,104.054
5354,CHN,200103,5.434576965,12.33446305,44.10679379,3.503372182,0,12.33446305,0.602778302,7.581418391,5.85176699,3.176861817,0.666706437,0.156269218,2.286542019,5.44033531,87.168
5355,CHN,200104,5.426474965,12.32452242,44.1111893,3.447702112,0,12.32452242,0.591220707,7.562140286,5.757772728,3.18570727,0.668790168,0.08422119,2.251757114,5.436493415,96.016
5356,CHN,200105,5.388770273,12.30908979,44.10053547,3.29851827,0,12.30908979,0.547019463,7.604801378,5.912260398,3.169717475,0.647653338,0.165041117,2.329240277,5.428377798,98.636
5357,CHN,200106,5.35106558,12.29365717,44.08988164,3.149334428,0,12.29365717,0.502818219,7.647462471,6.066748068,3.15372768,0.626516509,0.245861045,2.40672344,5.420262182,101.889
5358,CHN,200107,5.313360887,12.27822454,44.07922781,3.000150586,0,12.27822454,0.458616976,7.690123564,6.221235738,3.137737885,0.605379679,0.326680972,2.484206603,5.412146566,88.087
5359,CHN,200108,5.355225259,12.2706663,44.05326018,3.18656098,0,12.2706663,0.51515923,7.575566821,6.063994086,3.252463502,0.59668461,0.250776569,2.435179926,5.405632476,69.023
5360,CHN,200109,5.397089631,12.26310806,44.02729255,3.372971373,0,12.26310806,0.571701485,7.461010079,5.906752434,3.367189118,0.58798954,0.174872167,2.386153249,5.399118385,66.673
5361,CHN,200110,5.438954002,12.25554981,44.00132492,3.559381766,0,12.25554981,0.62824374,7.346453336,5.749510782,3.481914735,0.579294471,0.098967765,2.337126572,5.392604294,68.374
5362,CHN,200111,5.483111037,12.4194974,44.09670382,3.926300765,0,12.41895549,0.41882916,8.067009833,6.294072959,3.532787931,0.755652927,0.686525826,2.709362152,5.476901729,75.039
5363,CHN,200112,5.527268072,12.58344499,44.19208272,4.293219764,0,12.58236117,0.20941458,8.787566331,6.838635136,3.583661128,0.932011384,1.274083887,3.081597731,5.561199163,75.288
5364,CHN,200201,5.571425107,12.74739258,44.28746162,4.660138764,0,12.74576685,0,9.508122828,7.383197313,3.634534324,1.10836984,1.861641948,3.45383331,5.645496598,68.226
5365,CHN,200202,5.562819535,12.75608316,44.32721384,4.556568511,0,12.7156081,0,9.561516218,7.376498066,3.585991332,1.125016844,1.789197585,3.436675673,5.654423169,68.775
