rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
5809,CIV,201611,24.45413351,46.98952249,51.48092942,18.51392348,11.54129067,30.65898423,26.67779381,41.85517936,42.02096922,23.20471347,29.17996252,22.35993043,11.08897972,24.19067362,1000.00
5810,CIV,201612,24.27382546,46.94510734,51.44635688,20.35408517,9.920971007,31.01471229,26.30669879,42.28354251,41.34957057,23.14736896,29.11645459,23.34598884,10.20849399,24.15157817,1008.11
5811,CIV,201701,24.09351741,46.9006922,51.41178433,22.19424687,8.300651346,31.37044034,25.93560378,42.71190567,40.67817192,23.09002446,29.05294666,24.33204726,9.328008269,24.11248272,990.46
5812,CIV,201702,24.16085019,47.06115541,51.54340761,22.16271059,8.454243436,31.46684765,26.11414252,42.85310483,40.71095558,23.19799976,29.16150324,24.52120761,9.410353138,24.25734557,1043.50
5813,CIV,201703,24.22818297,47.22161862,51.67503089,22.13117431,8.607835526,31.56325496,26.29268126,42.994304,40.74373923,23.30597507,29.27005983,24.71036795,9.492698007,24.40220842,1085.27
5814,CIV,201704,24.29551574,47.38208183,51.80665417,22.09963803,8.761427616,31.65966227,26.47122001,43.13550316,40.77652289,23.41395038,29.37861641,24.8995283,9.575042875,24.54707127,1133.47
5815,CIV,201705,24.17659556,47.1629542,51.77996493,21.8859904,8.605157979,31.54730793,26.20528907,43.0818943,40.55589179,23.1548221,29.23289014,24.59923558,9.3898605,24.42107811,1177.80
5816,CIV,201706,24.05767537,46.94382657,51.7532757,21.67234277,8.448888341,31.43495359,25.93935814,43.02828543,40.3352607,22.89569383,29.08716387,24.29894286,9.204678125,24.29508496,1156.09
5817,CIV,201707,23.93875518,46.72469895,51.72658646,21.45869514,8.292618703,31.32259925,25.6734272,42.97467657,40.11462961,22.63656555,28.9414376,23.99865013,9.01949575,24.1690918,1106.84
5818,CIV,201708,23.95070503,46.74365545,51.82008696,21.4160286,8.354750549,31.40174638,25.72753719,43.01193441,40.1684909,22.6940999,28.95923002,24.02987114,9.13524115,24.22263835,954.78
5819,CIV,201709,23.96265488,46.76261195,51.91358746,21.37336207,8.416882395,31.48089352,25.78164718,43.04919225,40.22235219,22.75163424,28.97702244,24.06109216,9.25098655,24.2761849,884.66
5820,CIV,201710,23.97460473,46.78156845,52.00708797,21.33069554,8.479014241,31.56004065,25.83575717,43.08645009,40.27621349,22.80916858,28.99481486,24.09231317,9.366731951,24.32973146,880.07
5821,CIV,201711,23.18504713,45.41811925,51.89331396,21.15005434,7.712715534,31.13708508,25.42773922,41.77680295,39.24920825,21.97288876,28.10922575,23.47213716,8.784587282,23.57206972,928.76
5822,CIV,201712,22.39548953,44.05467004,51.77953996,20.96941314,6.946416827,30.71412951,25.01972127,40.46715581,38.22220302,21.13660893,27.22363664,22.85196115,8.202442614,22.81440798,943.51
5823,CIV,201801,21.60593194,42.69122083,51.66576596,20.78877194,6.18011812,30.29117395,24.61170332,39.15750867,37.19519778,20.3003291,26.33804753,22.23178514,7.620297945,22.05674624,999.59
5824,CIV,201802,21.6108629,42.68089347,51.64642262,20.79869145,6.176067983,30.32404393,24.51034403,39.26960849,37.19945953,20.29597729,26.39753562,22.22189584,7.652916227,22.04315861,1202.25
5825,CIV,201803,21.61579386,42.6705661,51.62707929,20.80861097,6.172017846,30.35691392,24.40898474,39.38170831,37.20372128,20.29162548,26.45702372,22.21200655,7.685534509,22.02957099,1171.31
5826,CIV,201804,21.62072482,42.66023873,51.60773596,20.81853048,6.167967708,30.38978391,24.30762545,39.49380813,37.20798303,20.28727367,26.51651181,22.20211726,7.718152791,22.01598336,1109.60
5827,CIV,201805,21.64840241,42.71472958,51.65732029,20.67667452,6.503271839,30.39408047,24.28234473,39.46919253,37.20729185,20.26845498,26.57457665,22.27239286,7.77518621,22.06533871,950.93
5828,CIV,201806,21.67608,42.76922043,51.70690462,20.53481857,6.83857597,30.39837702,24.25706401,39.44457693,37.20660067,20.24963628,26.6326415,22.34266846,7.832219628,22.11469405,979.33
5829,CIV,201807,21.70375759,42.82371128,51.75648896,20.39296261,7.173880102,30.40267358,24.2317833,39.41996133,37.20590949,20.23081759,26.69070634,22.41294406,7.889253047,22.1640494,991.56
5830,CIV,201808,21.69579415,42.83096726,51.7960879,20.22803936,7.204064172,30.38473603,24.2645675,39.43604244,37.25465943,20.21885353,26.67532323,22.28654097,7.920212515,22.1847712,907.19
5831,CIV,201809,21.68783071,42.83822324,51.83568685,20.0631161,7.234248243,30.36679847,24.2973517,39.45212355,37.30340937,20.20688946,26.65994013,22.16013788,7.951171983,22.205493,827.78
5832,CIV,201810,21.67986727,42.84547923,51.8752858,19.89819285,7.264432313,30.34886091,24.33013591,39.46820466,37.35215931,20.1949254,26.64455702,22.03373479,7.982131451,22.2262148,718.23
5833,CIV,201811,21.31899485,42.37431674,51.44931807,19.85221591,6.610565176,30.26979985,23.97672354,38.60716647,36.78186535,20.44802443,25.72000402,21.84717354,7.691846659,21.805311,565.14
5834,CIV,201812,20.95812242,41.90315424,51.02335033,19.80623897,5.956698039,30.19073879,23.62331117,37.74612828,36.21157139,20.70112346,24.79545101,21.66061229,7.401561866,21.38440719,603.18
5835,CIV,201901,20.59724999,41.43199175,50.5973826,19.76026203,5.302830902,30.11167772,23.26989879,36.88509009,35.64127743,20.95422249,23.870898,21.47405103,7.111277073,20.96350339,654.54
5836,CIV,201902,20.60755002,41.4264621,50.59099376,19.59829265,5.456068185,30.12596117,23.17486371,36.81525753,35.64226332,20.96878434,23.900654,21.57579854,7.171460534,20.95805956,633.31
5837,CIV,201903,20.61785006,41.42093245,50.58460491,19.43632327,5.609305468,30.14024461,23.07982862,36.74542498,35.64324921,20.9833462,23.93041001,21.67754604,7.231643995,20.95261573,656.52
5838,CIV,201904,20.62815009,41.41540279,50.57821607,19.27435389,5.762542752,30.15452806,22.98479353,36.67559242,35.64423509,20.99790805,23.96016602,21.77929354,7.291827456,20.94717191,639.29
5839,CIV,201905,20.61106326,41.35993243,50.56718702,19.38775253,5.693125214,30.10439929,23.00236227,36.70262803,35.61757622,20.89444851,23.88121867,21.61423583,7.2475222,20.91456662,683.34
5840,CIV,201906,20.59397643,41.30446206,50.55615798,19.50115117,5.623707677,30.05427053,23.01993102,36.72966364,35.59091734,20.79098897,23.80227132,21.44917812,7.203216944,20.88196133,730.81
5841,CIV,201907,20.5768896,41.2489917,50.54512894,19.6145498,5.55429014,30.00414176,23.03749976,36.75669926,35.56425847,20.68752942,23.72332398,21.2841204,7.158911688,20.84935604,730.87
5842,CIV,201908,20.55877644,41.25031156,50.54904167,19.54764042,5.537640159,30.0464146,23.04917673,36.74172204,35.50946321,20.70691809,23.73066988,21.30518127,7.144253009,20.85163728,710.84
5843,CIV,201909,20.54066328,41.25163142,50.55295439,19.48073103,5.520990178,30.08868745,23.06085371,36.72674483,35.45466795,20.72630676,23.73801578,21.32624213,7.129594331,20.85391852,636.12
5844,CIV,201910,20.52255011,41.25295128,50.55686712,19.41382165,5.504340196,30.13096029,23.07253068,36.71176761,35.39987269,20.74569544,23.74536168,21.34730299,7.114935652,20.85619976,637.95
5845,CIV,201911,20.49850794,41.2722742,50.50876448,20.47795086,5.106957834,30.27866358,23.460421,37.30014541,35.00766397,20.54944554,23.99330028,21.49998154,6.926903299,20.84609718,627.27
5846,CIV,201912,20.47446577,41.29159712,50.46066184,21.54208008,4.709575472,30.42636686,23.84831132,37.8885232,34.61545525,20.35319564,24.24123888,21.65266009,6.738870945,20.8359946,630.41
5847,CIV,202001,20.45042361,41.31092004,50.41255919,22.60620929,4.312193109,30.57407015,24.23620164,38.47690099,34.22324653,20.15694574,24.48917748,21.80533863,6.550838591,20.82589202,670.87
5848,CIV,202002,20.3853462,41.2246871,50.34084206,22.56127557,4.012199855,30.55780014,24.19962418,38.32940131,34.1448649,20.14111061,24.39037217,21.6502315,6.417085243,20.75297831,693.41
5849,CIV,202003,20.32026879,41.13845416,50.26912493,22.51634185,3.712206602,30.54153013,24.16304672,38.18190163,34.06648326,20.12527547,24.29156685,21.49512437,6.283331895,20.6800646,632.23
5850,CIV,202004,20.25519139,41.05222122,50.19740779,22.47140813,3.412213348,30.52526013,24.12646926,38.03440195,33.98810162,20.10944034,24.19276154,21.34001724,6.149578547,20.6071509,623.12
5851,CIV,202005,20.1383036,40.81764185,50.13747509,22.71140391,3.275332506,30.51217107,24.00095959,37.7329909,33.65672594,19.99838977,24.16663083,21.26686474,5.959374925,20.46521619,624.71
5852,CIV,202006,20.02141582,40.58306248,50.07754238,22.95139969,3.138451664,30.49908202,23.87544992,37.43157984,33.32535025,19.88733921,24.14050012,21.19371224,5.769171303,20.32328149,626.68
5853,CIV,202007,19.90452803,40.3484831,50.01760968,23.19139547,3.001570822,30.48599296,23.74994026,37.13016879,32.99397457,19.77628865,24.11436941,21.12055975,5.578967681,20.18134679,690.00
5854,CIV,202008,19.8434068,40.29323435,50.03378666,22.94145835,2.9737533,30.42329411,23.753992,37.1480595,32.96238461,19.73459339,24.08475338,20.96218695,5.550715375,20.16021304,625.35
5855,CIV,202009,19.78228558,40.23798559,50.04996364,22.69152122,2.945935778,30.36059526,23.75804375,37.16595021,32.93079465,19.69289813,24.05513735,20.80381415,5.52246307,20.13907928,559.85
5856,CIV,202010,19.72116436,40.18273683,50.06614063,22.44158409,2.918118256,30.29789641,23.7620955,37.18384092,32.89920468,19.65120288,24.02552132,20.64544135,5.494210764,20.11794553,613.50
5857,CIV,202011,19.34150144,39.60434738,49.81056563,22.68268779,2.479554413,30.18780857,23.7352666,37.07053548,32.48612695,19.76177571,23.87677758,20.93505786,5.5061397,19.73010588,769.61
5858,CIV,202012,18.96183852,39.02595794,49.55499063,22.92379148,2.040990571,30.07772072,23.70843771,36.95723004,32.07304921,19.87234854,23.72803385,21.22467438,5.518068635,19.34226624,750.58
