rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
6686,COL,200012,4.689453297,11.5987511,46.1130935,1.185410068,8.206585114,5.406945832,5.758549949,5.289913887,4.918856981,2.513563573,1.486123372,1.058849133,5.70496025,5.362137481,100.00
6687,COL,200101,6.35849621,12.7644588,46.69619599,0.745004298,12.30987767,5.535651815,8.637824923,7.422790265,6.145636446,3.187112289,2.229185058,1.5882737,6.88775192,5.960516698,115.88
6688,COL,200102,6.393215143,12.79478262,46.67357783,0.826734837,12.32841641,5.566023435,8.684317321,7.438821893,6.161937303,3.218836109,2.260337084,1.623903022,6.909610831,5.971769108,119.02
6689,COL,200103,6.427934077,12.82510645,46.65095966,0.908465377,12.34695516,5.596395055,8.730809719,7.454853521,6.178238159,3.250559929,2.29148911,1.659532344,6.931469743,5.983021519,104.22
6690,COL,200104,6.46265301,12.85543027,46.62834149,0.990195916,12.3654939,5.626766675,8.777302117,7.470885149,6.194539016,3.282283749,2.322641136,1.695161667,6.953328654,5.994273929,106.70
6691,COL,200105,6.432449796,12.82864405,46.63437564,0.832536644,12.39186884,5.61295726,8.736119495,7.472154696,6.176720027,3.252472547,2.302478025,1.68457114,6.931980986,5.982554822,133.27
6692,COL,200106,6.402246582,12.80185782,46.64040979,0.674877373,12.41824377,5.599147845,8.694936873,7.473424244,6.158901038,3.222661345,2.282314914,1.673980614,6.910633318,5.970835714,138.29
6693,COL,200107,6.372043367,12.77507159,46.64644394,0.517218101,12.44461871,5.58533843,8.653754251,7.474693791,6.14108205,3.192850143,2.262151803,1.663390087,6.889285649,5.959116606,134.31
6694,COL,200108,6.359003059,12.74315659,46.64753879,0.59548161,12.37926866,5.571571235,8.646926815,7.444981375,6.129279363,3.198029521,2.259061596,1.617441102,6.888705907,5.944368213,137.28
6695,COL,200109,6.345962751,12.71124159,46.64863363,0.673745118,12.31391861,5.55780404,8.640099378,7.415268959,6.117476676,3.203208899,2.255971388,1.571492116,6.888126165,5.929619819,124.03
6696,COL,200110,6.332922443,12.67932659,46.64972847,0.752008627,12.24856855,5.544036844,8.633271941,7.385556543,6.105673989,3.208388277,2.252881181,1.52554313,6.887546422,5.914871425,115.92
6697,COL,200111,6.3732001,12.78298968,46.74065885,1.158352309,11.57034856,5.807826098,8.308365383,7.505446295,6.180549835,3.065968574,2.175526226,2.203827773,6.619616597,5.975042117,132.50
6698,COL,200112,6.413477757,12.88665276,46.83158922,1.56469599,10.89212857,6.071615351,7.983458824,7.625336047,6.25542568,2.923548872,2.098171272,2.882112415,6.351686772,6.035212809,145.14
6699,COL,200201,6.453755414,12.99031585,46.92251959,1.971039672,10.21390859,6.335404604,7.658552266,7.7452258,6.330301526,2.78112917,2.020816317,3.560397058,6.083756947,6.095383501,159.13
6700,COL,200202,6.470683629,12.98661326,46.90151425,1.9678996,10.30602503,6.35326106,7.680726455,7.738194386,6.370161803,2.79181398,2.051965403,3.622384601,6.092601982,6.090919825,139.34
6701,COL,200203,6.487611844,12.98291067,46.88050891,1.964759529,10.39814148,6.371117517,7.702900643,7.731162973,6.41002208,2.80249879,2.083114488,3.684372144,6.101447017,6.086456149,145.64
6702,COL,200204,6.504540059,12.97920808,46.85950357,1.961619457,10.49025793,6.388973973,7.725074832,7.72413156,6.449882358,2.8131836,2.114263574,3.746359687,6.110292052,6.081992473,151.14
6703,COL,200205,6.454932779,12.87752889,46.8109346,1.993795136,10.45997021,6.217356014,7.556641701,7.655519789,6.539766512,2.821134188,1.911495455,3.650120401,6.145067546,6.028190394,156.18
6704,COL,200206,6.405325498,12.77584969,46.76236563,2.025970816,10.4296825,6.045738055,7.388208571,7.586908019,6.629650666,2.829084777,1.708727337,3.553881114,6.17984304,5.974388315,159.91
6705,COL,200207,6.355718217,12.6741705,46.71379666,2.058146495,10.39939478,5.874120096,7.219775441,7.518296248,6.719534821,2.837035365,1.505959219,3.457641828,6.214618535,5.920586237,143.43
6706,COL,200208,6.392823144,12.71785987,46.68953046,2.135420793,10.28272517,5.918628192,7.285113147,7.507531892,6.600195018,2.824923814,1.48413645,3.382944356,6.056967448,5.937887856,143.24
6707,COL,200209,6.429928072,12.76154924,46.66526427,2.21269509,10.16605556,5.963136288,7.350450854,7.496767537,6.480855215,2.812812264,1.462313681,3.308246884,5.899316362,5.955189475,150.96
6708,COL,200210,6.467032999,12.80523861,46.64099807,2.289969387,10.04938595,6.007644384,7.41578856,7.486003181,6.361515412,2.800700713,1.440490913,3.233549412,5.741665276,5.972491095,174.49
6709,COL,200211,6.300696128,12.59783165,46.45548449,1.948025585,9.945932227,5.875820102,7.623142992,7.983065663,6.137134538,2.751618502,1.838704932,3.099406692,5.783197177,5.853153262,177.97
6710,COL,200212,6.134359257,12.39042468,46.26997091,1.606081782,9.842478502,5.743995821,7.830497423,8.480128145,5.912753663,2.702536292,2.236918951,2.965263972,5.824729078,5.73381543,181.21
6711,COL,200301,5.968022386,12.18301771,46.08445732,1.26413798,9.739024778,5.612171539,8.037851854,8.977190627,5.688372788,2.653454081,2.63513297,2.831121252,5.86626098,5.614477598,175.65
6712,COL,200302,5.957886931,12.1714291,46.07085911,1.366948366,9.654146355,5.598915822,8.000015116,8.953901379,5.632227848,2.644590615,2.59707102,2.80055061,5.840693217,5.607485104,173.01
6713,COL,200303,5.947751475,12.15984049,46.0572609,1.469758753,9.569267933,5.585660104,7.962178379,8.930612131,5.576082907,2.63572715,2.559009069,2.769979969,5.815125455,5.600492609,176.29
6714,COL,200304,5.93761602,12.14825187,46.04366269,1.572569139,9.48438951,5.572404387,7.924341641,8.907322884,5.519937967,2.626863684,2.520947118,2.739409328,5.789557693,5.593500115,191.64
6715,COL,200305,5.895073434,12.07315899,45.96855844,1.531348469,9.597738229,5.382990507,7.741495915,8.920035546,5.655193684,2.569218372,2.30232026,2.718897243,5.83840675,5.54996994,222.45
6716,COL,200306,5.852530848,11.9980661,45.89345419,1.4901278,9.711086948,5.193576627,7.55865019,8.932748208,5.790449402,2.511573059,2.083693401,2.698385157,5.887255807,5.506439765,229.03
6717,COL,200307,5.809988261,11.92297321,45.81834993,1.44890713,9.824435667,5.004162747,7.375804464,8.945460869,5.925705119,2.453927746,1.865066542,2.677873072,5.936104864,5.46290959,234.10
6718,COL,200308,5.839714667,12.00784314,45.95331811,1.40665152,9.659138501,5.218931183,7.610472896,8.969614488,5.789927349,2.517912736,2.096498419,2.613616752,5.94858682,5.518231451,232.57
6719,COL,200309,5.869441072,12.09271307,46.08828629,1.364395911,9.493841335,5.433699618,7.845141328,8.993768106,5.654149579,2.581897725,2.327930295,2.549360433,5.961068776,5.573553313,235.57
6720,COL,200310,5.899167477,12.17758299,46.22325446,1.322140301,9.328544169,5.648468054,8.079809759,9.017921725,5.518371808,2.645882714,2.559362171,2.485104113,5.973550732,5.628875174,252.06
6721,COL,200311,5.544655187,11.53192033,45.87786171,1.72410157,8.980542396,5.434510556,7.647136888,8.798186935,4.96380109,2.697997219,2.659728317,2.724645084,5.562507581,5.295058605,270.75
6722,COL,200312,5.190142896,10.88625767,45.53246896,2.12606284,8.632540623,5.220553058,7.214464016,8.578452146,4.409230372,2.750111724,2.760094462,2.964186055,5.15146443,4.961242036,301.47
6723,COL,200401,4.835630606,10.240595,45.1870762,2.528024109,8.28453885,5.006595559,6.781791145,8.358717357,3.854659653,2.802226229,2.860460608,3.203727027,4.740421279,4.627425467,362.04
6724,COL,200402,4.841342494,10.21977864,45.19763856,2.510130462,8.399329531,5.030348565,6.781194205,8.331068361,3.896282924,2.778978286,2.880688686,3.297424538,4.789497437,4.619094215,387.46
6725,COL,200403,4.847054381,10.19896228,45.20820092,2.492236814,8.514120211,5.054101571,6.780597265,8.303419366,3.937906194,2.755730343,2.900916764,3.39112205,4.838573595,4.610762964,427.00
6726,COL,200404,4.852766269,10.17814593,45.21876327,2.474343166,8.628910891,5.077854577,6.780000325,8.275770371,3.979529465,2.7324824,2.921144842,3.484819561,4.887649752,4.602431712,472.79
6727,COL,200405,4.868510666,10.19702162,45.1836432,2.344277717,8.686451638,5.057007588,6.806939832,8.280180769,4.085366978,2.698634285,2.952953986,3.468193178,4.908614008,4.607372609,413.60
6728,COL,200406,4.884255064,10.21589732,45.14852313,2.214212268,8.743992384,5.0361606,6.833879339,8.284591168,4.191204491,2.664786169,2.984763129,3.451566795,4.929578264,4.612313506,410.82
6729,COL,200407,4.899999461,10.23477302,45.11340305,2.08414682,8.801533131,5.015313611,6.860818846,8.289001566,4.297042004,2.630938053,3.016572272,3.434940411,4.95054252,4.617254403,423.98
6730,COL,200408,4.91581486,10.27730072,45.19185633,2.046417231,8.78066764,5.107426104,6.952684686,8.327202653,4.240578274,2.767192225,3.040146094,3.451720774,4.980988525,4.644569704,448.63
6731,COL,200409,4.931630258,10.31982842,45.2703096,2.008687643,8.759802149,5.199538597,7.044550527,8.365403739,4.184114544,2.903446397,3.063719917,3.468501137,5.01143453,4.671885004,524.88
6732,COL,200410,4.947445657,10.36235612,45.34876287,1.970958054,8.738936659,5.291651091,7.136416367,8.403604826,4.127650814,3.039700569,3.08729374,3.4852815,5.041880535,4.699200305,549.96
