rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
7754,CZE,200012,2.622008654,6.969042157,36.49343515,6.631781298,0.560173535,4.267794831,1.532093867,6.290118422,5.623226,1.724422736,5.697018197,6.801061826,4.935614019,2.625876196,100.00
7755,CZE,200101,1.567606184,3.478880607,35.30963156,3.478880607,0.840260302,1.178392647,2.298140801,3.317502457,2.971898432,0.814074431,3.123207821,3.478880607,1.625750745,1.228379925,106.61
7756,CZE,200102,1.545209356,3.451159467,35.30006884,3.451159467,0.896816962,1.171897306,2.239570497,3.310016502,2.996073639,0.912466752,3.103617646,3.451159467,1.698633454,1.218266969,95.92
7757,CZE,200103,1.522812528,3.423438327,35.29050612,3.423438327,0.953373622,1.165401965,2.181000194,3.302530547,3.020248845,1.010859072,3.084027471,3.423438327,1.771516164,1.208154014,87.33
7758,CZE,200104,1.500415699,3.395717187,35.2809434,3.395717187,1.009930282,1.158906624,2.122429891,3.295044593,3.044424052,1.109251393,3.064437296,3.395717187,1.844398874,1.198041059,86.64
7759,CZE,200105,1.522041268,3.429502195,35.28619348,3.429502195,0.92141398,1.207608697,2.218911434,3.278996694,3.07540916,1.132566086,3.064117846,3.429502195,1.843528149,1.210144327,90.25
7760,CZE,200106,1.543666837,3.463287204,35.29144355,3.463287204,0.832897678,1.256310771,2.315392977,3.262948795,3.106394268,1.155880778,3.063798396,3.463287204,1.842657424,1.222247596,86.70
7761,CZE,200107,1.565292405,3.497072212,35.29669362,3.497072212,0.744381376,1.305012845,2.41187452,3.246900896,3.137379375,1.17919547,3.063478946,3.497072212,1.841786698,1.234350864,81.38
7762,CZE,200108,1.53128464,3.452092075,35.32389377,3.452092075,0.756500103,1.240299197,2.366284516,3.285311198,3.084877846,1.147567207,3.026916246,3.452092075,1.835963835,1.219388868,79.58
7763,CZE,200109,1.497276875,3.407111938,35.35109391,3.407111938,0.768618831,1.17558555,2.320694512,3.323721499,3.032376317,1.115938943,2.990353546,3.407111938,1.830140972,1.204426871,72.63
