rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
9089,EGY,200012,3.883608761,12.5821889,41.85202988,0.061698454,2.329645177,7.391840639,6.258451043,4.364598821,4.849937674,4.357584004,1.372425531,6.02486162,5.580065076,5.285343424,100.00
9090,EGY,200101,4.255421959,11.66469843,40.79251121,0.092547681,3.494467766,5.374689003,8.655142838,4.022723724,4.482002656,4.892398035,2.058638297,4.313025694,5.140117116,4.758323416,103.27
9091,EGY,200102,4.239114054,11.6412154,40.75945021,0.088784402,3.532300395,5.319272362,8.575524132,4.02626801,4.476209934,4.887710882,2.027284371,4.30656512,5.147156867,4.744910921,91.20
9092,EGY,200103,4.222806149,11.61773236,40.72638921,0.085021124,3.570133025,5.263855722,8.495905426,4.029812296,4.470417211,4.88302373,1.995930446,4.300104547,5.154196619,4.731498425,83.44
9093,EGY,200104,4.206498245,11.59424932,40.69332821,0.081257845,3.607965654,5.208439081,8.416286721,4.033356582,4.464624489,4.878336577,1.964576521,4.293643973,5.16123637,4.71808593,87.63
9094,EGY,200105,4.199613064,11.60918841,40.70529204,0.054171897,3.659089593,5.206040907,8.434585384,4.067522033,4.557386906,4.878019404,2.002444213,4.376195456,5.230941459,4.725557619,93.56
9095,EGY,200106,4.192727884,11.62412749,40.71725586,0.027085948,3.710213532,5.203642733,8.452884047,4.101687483,4.650149324,4.87770223,2.040311905,4.458746939,5.300646547,4.733029308,85.83
9096,EGY,200107,4.185842704,11.63906658,40.72921969,0,3.761337471,5.201244559,8.471182709,4.135852934,4.742911741,4.877385056,2.078179597,4.541298423,5.370351636,4.740500998,76.46
9097,EGY,200108,4.199498164,11.63691889,40.74825359,0.050771392,3.654455844,5.213868113,8.462801823,4.110848083,4.601823966,4.893531152,2.060541778,4.374440259,5.289296543,4.741840402,77.66
9098,EGY,200109,4.213153625,11.6347712,40.7672875,0.101542783,3.547574218,5.226491667,8.454420936,4.085843232,4.460736191,4.909677248,2.042903959,4.207582095,5.208241449,4.743179806,69.72
9099,EGY,200110,4.226809086,11.6326235,40.78632141,0.152314175,3.440692591,5.239115221,8.446040049,4.060838381,4.319648415,4.925823344,2.02526614,4.040723931,5.127186356,4.744519209,67.83
9100,EGY,200111,4.401266578,11.67865379,40.82321297,0.6678745,3.823642523,5.59602938,8.442173858,4.290342928,4.576986955,5.096801022,2.577492382,5.104495471,5.081212719,4.767635672,62.61
9101,EGY,200112,4.57572407,11.72468408,40.86010453,1.183434826,4.206592456,5.952943538,8.438307668,4.519847476,4.834325494,5.267778699,3.129718623,6.168267011,5.035239082,4.790752135,58.70
