rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
9373,EST,200205,2.478471357,5.679526033,37.6383108,1.22395603,1.839541535,5.679526033,0,0.376407676,0.036772566,0.003691008,1.416951049,0.213048943,0,2.137677189,214.623
9374,EST,200206,2.477116432,5.674896155,37.64340497,1.268740297,1.841976024,5.674896155,0,0.449920197,0.018386283,0.007382016,1.392187777,0.140084387,0,2.13622367,213.199
9375,EST,200207,2.475761507,5.670266278,37.64849915,1.313524565,1.844410513,5.670266278,0,0.523432718,0,0.011073024,1.367424504,0.06711983,0,2.134770151,196.431
9376,EST,200208,2.544514229,5.791895933,37.60052541,1.441776389,1.894860264,5.766892994,0.070377712,0.713214981,0.066389052,0.068810959,1.52429111,0.136202535,0.105209868,2.177666601,206.180
9377,EST,200209,2.613266951,5.913525589,37.55255166,1.570028212,1.945310014,5.863519709,0.140755424,0.902997245,0.132778103,0.126548894,1.681157716,0.205285239,0.210419737,2.220563051,211.781
9378,EST,200210,2.682019673,6.035155244,37.50457792,1.698280036,1.995759764,5.960146424,0.211133136,1.092779509,0.199167155,0.184286828,1.838024322,0.274367944,0.315629605,2.263459501,229.358
9379,EST,200211,2.746884403,6.281914484,37.3184639,2.123229283,1.936062569,6.073786685,0.277794868,1.230423493,0.447632104,0.361080769,1.553115428,0.24368111,0.298200304,2.343395482,255.410
9380,EST,200212,2.811749133,6.528673725,37.13234988,2.548178531,1.876365374,6.187426945,0.3444566,1.368067478,0.696097053,0.537874709,1.268206534,0.212994275,0.280771003,2.423331463,279.879
9381,EST,200301,2.876613863,6.775432966,36.94623586,2.973127778,1.816668179,6.301067205,0.411118331,1.505711462,0.944562003,0.71466865,0.983297641,0.182307441,0.263341703,2.503267444,278.333
9382,EST,200302,2.863780057,6.737477406,36.93981298,2.955880121,1.814838922,6.283493837,0.392350451,1.494314733,0.886340032,0.706870927,0.942189264,0.121538294,0.263019242,2.488816429,273.994
9383,EST,200303,2.850946252,6.699521846,36.93339011,2.938632463,1.813009664,6.265920468,0.373582571,1.482918005,0.828118062,0.699073205,0.901080888,0.060769147,0.262696782,2.474365414,282.002
9384,EST,200304,2.838112446,6.661566286,36.92696723,2.921384806,1.811180406,6.2483471,0.354814691,1.471521276,0.769896091,0.691275483,0.859972512,0,0.262374321,2.459914399,307.814
9385,EST,200305,2.818720193,6.625383891,36.90795729,2.788234315,1.880704228,6.19370256,0.300866142,1.476932261,0.727807881,0.678034552,0.850288425,0,0.271324732,2.445307614,355.977
9386,EST,200306,2.79932794,6.589201497,36.88894736,2.655083825,1.95022805,6.13905802,0.246917593,1.482343246,0.68571967,0.664793621,0.840604339,0,0.280275144,2.430700828,366.823
9387,EST,200307,2.779935687,6.553019102,36.86993742,2.521933335,2.019751872,6.08441348,0.192969044,1.487754231,0.64363146,0.651552691,0.830920252,0,0.289225555,2.416094042,370.865
9388,EST,200308,2.772213257,6.546701485,36.86161181,2.526601572,1.943091509,6.090329165,0.163122616,1.43275751,0.656527951,0.642285033,0.8305141,0,0.28342816,2.413220739,375.536
9389,EST,200309,2.764490826,6.540383867,36.85328619,2.531269809,1.866431147,6.09624485,0.133276188,1.377760789,0.669424443,0.633017375,0.830107947,0,0.277630764,2.410347437,386.566
9390,EST,200310,2.756768395,6.53406625,36.84496058,2.535938047,1.789770784,6.102160535,0.103429761,1.322764068,0.682320934,0.623749717,0.829701795,0,0.271833369,2.407474134,387.304
9391,EST,200311,2.645948433,6.651340969,36.77923078,2.043382191,1.193180523,6.363403826,0.0953629,1.60525614,0.820096285,0.580401805,0.55313453,0.454113394,0.232430774,2.446157876,381.907
9392,EST,200312,2.535128471,6.768615688,36.71350097,1.550826336,0.596590261,6.624647117,0.087296039,1.887748213,0.957871635,0.537053893,0.276567265,0.908226788,0.193028179,2.484841618,436.408
9393,EST,200401,2.42430851,6.885890408,36.64777117,1.05827048,0,6.885890408,0.079229179,2.170240285,1.095646985,0.493705981,0,1.362340182,0.153625585,2.523525359,471.599
9394,EST,200402,2.453886576,6.92720573,36.63709749,1.138323475,0.006954449,6.927128575,0.119073851,2.195171996,1.116739611,0.511827922,0.004782199,1.386801233,0.15869127,2.537918297,483.380
9395,EST,200403,2.483464642,6.968521053,36.62642381,1.218376469,0.013908897,6.968366742,0.158918523,2.220103708,1.137832238,0.529949863,0.009564398,1.411262285,0.163756956,2.552311234,508.128
9396,EST,200404,2.513042708,7.009836375,36.61575013,1.298429463,0.020863346,7.009604909,0.198763195,2.245035419,1.158924865,0.548071805,0.014346597,1.435723336,0.168822641,2.566704172,495.333
9397,EST,200405,2.492601625,7.008810225,36.62069481,1.319806808,0.013908897,7.008655914,0.218024359,2.194421781,1.265980812,0.550210981,0.009564398,1.521699884,0.143778007,2.5666749,494.763
9398,EST,200406,2.472160541,7.007784074,36.62563948,1.341184152,0.006954449,7.007706919,0.237285523,2.143808143,1.37303676,0.552350157,0.004782199,1.607676433,0.118733372,2.566645629,520.344
9399,EST,200407,2.451719458,7.006757923,36.63058416,1.362561497,0,7.006757923,0.256546688,2.093194505,1.480092708,0.554489332,0,1.693652981,0.093688738,2.566616358,512.285
9400,EST,200408,2.457974414,7.017518888,36.63301787,1.404234124,0,7.017518888,0.301945944,2.127383867,1.476665182,0.581846756,0,1.66402941,0.093847999,2.570729472,520.086
9401,EST,200409,2.464229369,7.028279853,36.63545159,1.445906751,0,7.028279853,0.3473452,2.16157323,1.473237656,0.609204179,0,1.63440584,0.09400726,2.574842587,544.151
9402,EST,200410,2.470484325,7.039040818,36.6378853,1.487579378,0,7.039040818,0.392744457,2.195762592,1.469810129,0.636561603,0,1.604782269,0.09416652,2.578955701,601.220
9403,EST,200411,2.409415458,6.680284172,36.80823997,0.991719585,1.290948139,6.680284172,0.622077289,2.001569982,0.97987342,0.626368353,0.333344939,1.254953782,0.938653354,2.457672711,681.281
9404,EST,200412,2.34834659,6.321527526,36.97859465,0.495859793,2.581896277,6.321527526,0.851410122,1.807377372,0.48993671,0.616175103,0.666689879,0.905125294,1.783140188,2.336389722,749.119
9405,EST,200501,2.287277723,5.96277088,37.14894932,0,3.872844416,5.96277088,1.080742954,1.613184762,0,0.605981852,1.000034818,0.555296806,2.627627022,2.215106732,748.578
9406,EST,200502,2.307916063,5.988756969,37.1572532,0.05450372,3.910056826,5.988756969,1.109623773,1.616311416,0,0.603684206,1.027044745,0.623243336,2.635528585,2.225261906,881.380
9407,EST,200503,2.328554403,6.014743059,37.16555707,0.109007439,3.947269237,6.014743059,1.138504591,1.61943807,0,0.60138656,1.054054671,0.691189865,2.643430148,2.23541708,961.865
9408,EST,200504,2.349192743,6.040729148,37.17386095,0.163511159,3.984481647,6.040729148,1.16738541,1.622564724,0,0.599088914,1.081064597,0.759136395,2.651331711,2.245572254,950.086
9409,EST,200505,2.351026698,6.041500336,37.19530353,0.111019337,4.045837918,6.041500336,1.132532762,1.580013141,0,0.576936994,1.083317197,0.739779066,2.658217192,2.247154718,906.820
9410,EST,200506,2.352860652,6.042271523,37.2167461,0.058527515,4.107194189,6.042271523,1.097680115,1.537461558,0,0.554785073,1.085569797,0.720421737,2.665102674,2.248737182,885.963
9411,EST,200507,2.354694606,6.043042711,37.23818868,0.006035692,4.16855046,6.043042711,1.062827467,1.494909975,0,0.532633152,1.087822397,0.701064408,2.671988155,2.250319646,887.686
9412,EST,200508,2.360753891,6.060386383,37.2551671,0.039639628,4.149901508,6.060386383,1.096962671,1.479010979,0,0.530487186,1.079071381,0.75111664,2.671213649,2.257812963,897.575
9413,EST,200509,2.366813175,6.077730055,37.27214552,0.073243563,4.131252555,6.077730055,1.131097874,1.463111983,0,0.528341219,1.070320364,0.801168873,2.670439143,2.26530628,"1,001.003"
9414,EST,200510,2.37287246,6.095073727,37.28912394,0.106847499,4.112603602,6.095073727,1.165233078,1.447212988,0,0.526195253,1.061569347,0.851221105,2.669664636,2.272799596,967.536
9415,EST,200511,2.492759614,6.480326203,37.34792563,0.407010151,4.124949518,6.330114431,1.639634249,2.202790427,0.672472509,0.773070787,1.440339696,1.521319202,3.156744153,2.420720481,976.801
9416,EST,200512,2.612646767,6.865578678,37.40672732,0.707172804,4.137295435,6.565155135,2.114035421,2.958367867,1.344945018,1.019946321,1.819110046,2.1914173,3.64382367,2.568641365,928.619
9417,EST,200601,2.732533921,7.250831154,37.46552901,1.007335456,4.149641351,6.80019584,2.588436593,3.713945307,2.017417527,1.266821855,2.197880396,2.861515397,4.130903186,2.71656225,972.819
9418,EST,200602,2.731006788,7.245905332,37.45461328,1.035105194,4.117825353,6.799296056,2.589689686,3.705722726,2.004052956,1.285764625,2.179172058,2.838202459,4.13239171,2.713926896,945.598
9419,EST,200603,2.729479655,7.240979509,37.44369755,1.062874932,4.086009354,6.798396271,2.590942778,3.697500144,1.990688384,1.304707396,2.16046372,2.81488952,4.133880234,2.711291543,962.446
9420,EST,200604,2.727952523,7.236053687,37.43278182,1.09064467,4.054193356,6.797496487,2.592195871,3.689277562,1.977323812,1.323650166,2.141755383,2.791576582,4.135368757,2.708656189,989.143
9421,EST,200605,2.74212448,7.244744742,37.41343596,1.212931094,4.032526112,6.808208124,2.646542968,3.747995713,1.993227144,1.34682102,2.146202811,2.809639062,4.131532626,2.710504572,896.387
9422,EST,200606,2.756296437,7.253435796,37.39409011,1.335217519,4.010858868,6.81891976,2.700890065,3.806713864,2.009130476,1.369991874,2.150650239,2.827701542,4.127696495,2.712352955,839.007
9423,EST,200607,2.770468395,7.262126851,37.37474425,1.457503943,3.989191624,6.829631397,2.755237161,3.865432015,2.025033809,1.393162727,2.155097667,2.845764022,4.123860364,2.714201338,858.655
9424,EST,200608,2.756892173,7.251793496,37.36454864,1.403906074,3.965963977,6.807208462,2.714536051,3.893504801,2.014232425,1.398288674,2.158553217,2.787709912,4.111563469,2.709602016,882.263
9425,EST,200609,2.743315951,7.241460142,37.35435304,1.350308205,3.94273633,6.784785527,2.673834941,3.921577588,2.003431041,1.403414622,2.162008767,2.729655801,4.099266574,2.705002694,910.585
9426,EST,200610,2.72973973,7.231126787,37.34415744,1.296710336,3.919508684,6.762362592,2.63313383,3.949650374,1.992629658,1.408540569,2.165464318,2.671601691,4.086969679,2.700403372,992.152
9427,EST,200611,3.203242857,8.066637825,37.20611119,2.419476157,3.654518672,7.462321522,3.290575802,4.744364715,2.997410016,1.945144022,2.907458529,3.515499467,4.572202539,2.998975455,"1,001.536"
9428,EST,200612,3.676745983,8.902148862,37.06806495,3.542241977,3.389528661,8.162280451,3.948017774,5.539079055,4.002190374,2.481747475,3.649452741,4.359397243,5.057435398,3.297547539,"1,160.493"
9429,EST,200701,4.15024911,9.7376599,36.93001871,4.665007798,3.12453865,8.862239381,4.605459745,6.333793396,5.006970732,3.018350929,4.391446953,5.203295019,5.542668258,3.596119623,"1,331.524"
9430,EST,200702,4.143553651,9.713611586,36.91896466,4.689645447,3.071570085,8.868877593,4.564781383,6.273152777,4.990464671,3.011952481,4.379533664,5.214047658,5.541112697,3.586170145,"1,154.100"
9431,EST,200703,4.136858191,9.689563271,36.90791061,4.714283097,3.01860152,8.875515804,4.52410302,6.212512158,4.97395861,3.005554033,4.367620376,5.224800298,5.539557137,3.576220668,"1,186.460"
9432,EST,200704,4.130162732,9.665514957,36.89685657,4.738920746,2.965632955,8.882154016,4.483424658,6.15187154,4.957452549,2.999155584,4.355707087,5.235552937,5.538001577,3.56627119,"1,192.570"
9433,EST,200705,4.128824065,9.674862394,36.90996195,4.671806383,3.007940837,8.873010978,4.483532141,6.138715466,4.975976681,2.996660768,4.360400431,5.255731714,5.554197016,3.570990479,"1,224.078"
9434,EST,200706,4.127485398,9.68420983,36.92306734,4.604692019,3.050248719,8.86386794,4.483639625,6.125559393,4.994500812,2.994165951,4.365093775,5.275910491,5.570392456,3.575709767,"1,326.481"
9435,EST,200707,4.126146731,9.693557267,36.93617273,4.537577656,3.092556601,8.854724903,4.483747109,6.11240332,5.013024943,2.991671135,4.369787119,5.296089268,5.586587895,3.580429056,"1,349.084"
9436,EST,200708,4.141920355,9.71259868,36.93552647,4.633642746,3.074471967,8.879641495,4.523560017,6.131626153,5.04109492,2.991314266,4.387823349,5.370787661,5.581936544,3.58739921,"1,237.436"
9437,EST,200709,4.157693979,9.731640093,36.93488021,4.729707837,3.056387332,8.904558087,4.563372924,6.150848985,5.069164897,2.990957397,4.405859579,5.445486055,5.577285192,3.594369365,"1,250.491"
9438,EST,200710,4.173467602,9.750681507,36.93423395,4.825772927,3.038302697,8.929474679,4.603185831,6.170071818,5.097234875,2.990600528,4.423895809,5.520184448,5.57263384,3.60133952,"1,139.813"
9439,EST,200711,4.197999105,9.63086392,36.98952116,4.468772412,3.454228083,8.820376671,4.85694049,6.556163184,5.190188636,2.757416396,4.623726499,5.151317124,5.948829069,3.562277959,"1,000.000"
9440,EST,200712,4.222530608,9.511046333,37.04480836,4.111771897,3.870153468,8.711278664,5.11069515,6.94225455,5.283142398,2.524232265,4.823557189,4.782449799,6.325024298,3.523216399,"1,033.829"
9441,EST,200801,4.247062111,9.391228746,37.10009556,3.754771381,4.286078854,8.602180656,5.364449809,7.328345916,5.376096159,2.291048134,5.023387879,4.413582475,6.701219527,3.484154839,877.031
9442,EST,200802,4.25402485,9.398297218,37.08417612,3.841931217,4.2575552,8.611162358,5.42132528,7.38692563,5.419801871,2.302455066,5.033058867,4.458399207,6.690651526,3.485278842,928.310
9443,EST,200803,4.260987589,9.40536569,37.06825667,3.929091053,4.229031547,8.62014406,5.478200751,7.445505344,5.463507583,2.313861999,5.042729856,4.503215939,6.680083524,3.486402845,948.972
9444,EST,200804,4.267950328,9.412434162,37.05233723,4.016250888,4.200507894,8.629125762,5.535076222,7.504085058,5.507213295,2.325268932,5.052400844,4.548032671,6.669515523,3.487526847,858.287
9445,EST,200805,4.258463843,9.403203951,37.04722894,4.060361198,4.111762472,8.650898871,5.53560602,7.487795187,5.529635815,2.338883103,5.051521402,4.570574943,6.658682516,3.483627438,854.723
9446,EST,200806,4.248977358,9.39397374,37.04212065,4.104471507,4.02301705,8.67267198,5.536135818,7.471505316,5.552058334,2.352497274,5.050641959,4.593117214,6.647849509,3.479728029,850.948
9447,EST,200807,4.239490872,9.384743529,37.03701236,4.148581816,3.934271628,8.694445089,5.536665615,7.455215445,5.574480854,2.366111444,5.049762517,4.615659486,6.637016502,3.47582862,696.320
9448,EST,200808,4.251978303,9.403138962,37.04190391,4.025558068,4.059176627,8.669764304,5.513550425,7.424456672,5.580985383,2.359992204,5.072332823,4.575307987,6.66523017,3.483103499,722.301
9449,EST,200809,4.264465734,9.421534394,37.04679547,3.90253432,4.184081626,8.64508352,5.490435234,7.393697898,5.587489912,2.353872963,5.094903128,4.534956488,6.693443838,3.490378377,571.750
9450,EST,200810,4.276953165,9.439929827,37.05168703,3.779510572,4.308986625,8.620402735,5.467320043,7.362939124,5.593994442,2.347753722,5.117473433,4.494604989,6.721657506,3.497653255,353.138
9451,EST,200811,4.803810788,10.29889157,37.36510252,5.509630295,4.464169325,8.843049854,6.238296744,7.899389164,6.325564026,2.782741212,5.362294361,4.794834512,6.585387958,3.853575633,317.810
9452,EST,200812,5.330668411,11.15785332,37.67851802,7.239750018,4.619352025,9.065696972,7.009273445,8.435839203,7.05713361,3.217728702,5.607115289,5.095064035,6.449118411,4.209498011,371.313
9453,EST,200901,5.857526034,12.01681506,37.99193351,8.969869741,4.774534725,9.28834409,7.780250146,8.972289243,7.788703194,3.652716193,5.851936216,5.395293558,6.312848864,4.565420389,358.604
9454,EST,200902,5.817644998,11.92436005,38.00598524,8.725909954,4.901384404,9.222882299,7.633386883,8.957507538,7.687280419,3.543193171,5.84762952,5.304913938,6.292834148,4.531944539,321.378
9455,EST,200903,5.777763961,11.83190504,38.02003698,8.481950168,5.028234082,9.157420509,7.48652362,8.942725832,7.585857644,3.43367015,5.843322824,5.214534317,6.272819433,4.498468688,346.771
9456,EST,200904,5.737882925,11.73945003,38.03408871,8.237990382,5.155083761,9.091958719,7.339660358,8.927944127,7.484434869,3.324147129,5.839016128,5.124154697,6.252804717,4.464992838,361.593
9457,EST,200905,5.766431969,11.72953728,38.00862481,8.071291113,5.489839036,9.006995561,7.332916071,8.999758247,7.413139304,3.276100935,5.859344285,4.991532774,6.326033356,4.458240867,438.985
9458,EST,200906,5.794981013,11.71962454,37.98316092,7.904591845,5.824594311,8.922032404,7.326171784,9.071572367,7.341843738,3.22805474,5.879672442,4.858910851,6.399261995,4.451488896,390.666
9459,EST,200907,5.823530057,11.70971179,37.95769702,7.737892576,6.159349587,8.837069246,7.319427497,9.143386487,7.270548173,3.180008545,5.900000599,4.726288928,6.472490634,4.444736925,380.979
9460,EST,200908,5.874446416,11.76760409,37.939193,7.836371848,6.298852023,8.847618743,7.404220568,9.220594181,7.294234905,3.24458955,5.921490475,4.706614503,6.540383378,4.464512603,490.948
9461,EST,200909,5.925362775,11.82549639,37.92068898,7.934851119,6.438354458,8.85816824,7.489013639,9.297801875,7.317921636,3.309170555,5.942980351,4.686940077,6.608276122,4.484288281,549.332
