rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
10519,GHA,200811,14.75608226,32.52853405,46.08623909,6.813455717,8.711370672,15.17747168,12.62315569,30.9320117,30.07964037,14.3979166,23.14084186,9.316258242,17.37755861,14.98757084,990.323
10520,GHA,200812,14.32592669,31.44538877,46.25275098,5.713137936,9.732760372,15.13320198,12.15499127,30.2114581,29.50151666,13.36649119,23.23991425,10.07749909,16.9145523,14.54075023,944.805
10521,GHA,200901,13.89577111,30.36224348,46.41926287,4.612820155,10.75415007,15.08893227,11.68682686,29.4909045,28.92339295,12.33506577,23.33898664,10.83873994,16.451546,14.09392961,897.221
10522,GHA,200902,13.95467284,30.48769522,46.39354803,4.682687897,10.77300723,15.1478068,11.82612564,29.46212929,29.02658811,12.48755021,23.3829514,10.84210746,16.48209986,14.14425901,863.555
10523,GHA,200903,14.01357457,30.61314697,46.3678332,4.75255564,10.7918644,15.20668133,11.96542443,29.43335409,29.12978327,12.64003466,23.42691617,10.84547497,16.51265372,14.1945884,798.443
10524,GHA,200904,14.0724763,30.73859872,46.34211836,4.822423382,10.81072156,15.26555586,12.10472322,29.40457889,29.23297843,12.7925191,23.47088094,10.84884248,16.54320758,14.2449178,757.958
10525,GHA,200905,14.08359809,30.7348407,46.3376491,4.835855351,10.94674636,15.22805685,12.05565587,29.36064341,29.23039572,12.79569296,23.43007286,10.88095873,16.5829351,14.24180297,583.476
10526,GHA,200906,14.09471988,30.73108269,46.33317984,4.849287321,11.08277116,15.19055784,12.00658852,29.31670792,29.22781301,12.79886682,23.38926477,10.91307498,16.62266262,14.23868814,581.029
10527,GHA,200907,14.10584166,30.72732467,46.32871058,4.86271929,11.21879596,15.15305883,11.95752117,29.27277244,29.22523031,12.80204068,23.34845669,10.94519122,16.66239015,14.23557332,580.641
10528,GHA,200908,14.01045984,30.63626129,46.40994135,4.316373574,11.30736077,15.01812016,11.86955024,29.21958478,29.22781456,12.745597,23.24996589,10.80227117,16.62755974,14.21812295,664.603
10529,GHA,200909,13.91507802,30.5451979,46.49117212,3.770027857,11.39592557,14.88318149,11.78157931,29.16639711,29.23039881,12.68915333,23.15147508,10.65935111,16.59272934,14.20067259,694.766
10530,GHA,200910,13.81969621,30.45413452,46.57240289,3.223682141,11.48449037,14.74824283,11.69360838,29.11320945,29.23298306,12.63270965,23.05298428,10.51643106,16.55789893,14.18322222,682.830
10531,GHA,200911,13.48473527,30.14800448,46.1269506,2.891608999,10.44230138,14.81615569,10.95347227,28.93943872,28.71428612,12.47383477,22.32695894,9.997942553,15.93271723,13.90908246,705.383
10532,GHA,200912,13.14977434,29.84187445,45.68149831,2.559535856,9.400112399,14.88406855,10.21333616,28.76566799,28.19558917,12.31495988,21.60093361,9.47945405,15.30753553,13.6349427,693.431
10533,GHA,201001,12.81481341,29.53574442,45.23604602,2.227462714,8.357923415,14.95198141,9.473200047,28.59189727,27.67689223,12.156085,20.87490827,8.960965547,14.68235384,13.36080294,701.412
10534,GHA,201002,13.70381114,30.73239507,45.87488424,4.417440566,9.26941024,14.8788618,9.896615409,29.51506805,28.85864386,13.43319625,21.36132279,9.727562068,15.11523577,14.11373999,746.205
10535,GHA,201003,14.59280887,31.92904571,46.51372247,6.607418419,10.18089707,14.8057422,10.32003077,30.43823883,30.04039548,14.7103075,21.84773731,10.49415859,15.5481177,14.86667703,843.271
