rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
12310,HRV,200205,2.494241615,5.479616474,37.93055552,2.170252663,5.299590179,1.186387551,0.769167332,2.106058021,1.119791974,0.373387305,1.117435963,2.402030112,1.36947394,2.078521114,316.39
12311,HRV,200206,2.480058053,5.427005066,37.86199118,2.116210307,5.336991919,1.018143011,0.598968132,2.090183594,1.242253997,0.327177135,0.947146749,2.363129959,1.414973096,2.054844325,322.86
12312,HRV,200207,2.465874491,5.374393658,37.79342683,2.06216795,5.374393658,0.84989847,0.428768933,2.074309166,1.36471602,0.280966965,0.776857534,2.324229807,1.460472253,2.031167535,274.02
12313,HRV,200208,2.524678823,5.458968457,37.85487683,2.155861039,5.458968457,0.910543652,0.556635683,2.128227279,1.401467602,0.273682687,0.837729726,2.360293723,1.478958379,2.066589728,287.20
12314,HRV,200209,2.583483155,5.543543256,37.91632683,2.249554127,5.543543256,0.971188834,0.684502434,2.182145392,1.438219184,0.266398409,0.898601918,2.396357639,1.497444504,2.102011922,277.88
12315,HRV,200210,2.642287486,5.628118055,37.97777684,2.343247216,5.628118055,1.031834017,0.812369184,2.236063504,1.474970766,0.259114132,0.95947411,2.432421556,1.51593063,2.137434115,273.46
12316,HRV,200211,2.436674567,5.393793768,37.73343049,2.380772156,5.243071576,1.126819841,0.541579456,2.553427888,1.34508153,0.364238517,1.221983947,2.040218271,1.731631126,2.036408548,324.37
12317,HRV,200212,2.231061648,5.15946948,37.48908415,2.418297096,4.858025097,1.221805665,0.270789728,2.870792271,1.215192294,0.469362901,1.484493785,1.648014986,1.947331621,1.935382981,321.24
12318,HRV,200301,2.025448729,4.925145193,37.2447378,2.455822036,4.472978618,1.316791489,0,3.188156654,1.085303058,0.574487286,1.747003622,1.255811701,2.163032117,1.834357414,321.06
12319,HRV,200302,2.019183182,4.901446863,37.22341823,2.513811558,4.375031199,1.321188941,0,3.17755703,1.078671054,0.59538977,1.729777669,1.199835979,2.155628553,1.82449617,291.36
12320,HRV,200303,2.012917634,4.877748533,37.20209866,2.571801079,4.27708378,1.325586392,0,3.166957406,1.072039049,0.616292254,1.712551715,1.143860257,2.14822499,1.814634927,269.25
12321,HRV,200304,2.006652086,4.854050203,37.1807791,2.629790601,4.179136361,1.329983844,0,3.156357782,1.065407045,0.637194737,1.695325762,1.087884535,2.140821427,1.804773683,327.60
12322,HRV,200305,2.018348822,4.835196228,37.12206132,2.720624927,4.130799832,1.253821491,0,3.121095543,1.071983287,0.660622568,1.471694147,0.873625984,2.090029949,1.79494665,317.05
12323,HRV,200306,2.030045558,4.816342254,37.06334355,2.811459254,4.082463303,1.177659138,0,3.085833304,1.07855953,0.684050399,1.248062532,0.659367434,2.039238472,1.785119617,326.31
12324,HRV,200307,2.041742294,4.797488279,37.00462577,2.90229358,4.034126774,1.101496785,0,3.050571065,1.085135772,0.70747823,1.024430918,0.445108884,1.988446995,1.775292584,341.85
12325,HRV,200308,1.969412883,4.746523681,36.99167946,2.731192065,3.940130083,1.11249042,0,3.118647694,1.048136835,0.786752523,1.136160991,0.45857042,2.047586376,1.755832021,351.66
12326,HRV,200309,1.897083472,4.695559082,36.97873314,2.56009055,3.846133392,1.123484055,0,3.186724324,1.011137897,0.866026816,1.247891065,0.472031956,2.106725757,1.736371459,340.49
12327,HRV,200310,1.824754061,4.644594484,36.96578683,2.388989035,3.752136701,1.134477691,0,3.254800953,0.97413896,0.945301108,1.359621138,0.485493492,2.165865138,1.716910896,349.66
12328,HRV,200311,1.70319293,4.488145686,36.85636095,2.313225411,2.501424467,1.411904604,0.070146875,2.654499029,0.743219933,0.630200739,0.973861638,0.43440713,1.603699902,1.654509565,364.10
12329,HRV,200312,1.581631798,4.331696889,36.74693506,2.237461788,1.250712234,1.689331517,0.14029375,2.054197104,0.512300907,0.315100369,0.588102137,0.383320769,1.041534666,1.592108234,381.47
12330,HRV,200401,1.460070666,4.175248092,36.63750918,2.161698164,0,1.966758431,0.210440625,1.45389518,0.28138188,0,0.202342637,0.332234407,0.47936943,1.529706903,382.06
12331,HRV,200402,1.443044064,4.134963495,36.59188087,2.197691729,0,1.955952929,0.158977626,1.414311447,0.27085098,0,0.172228054,0.353881739,0.45737363,1.513097679,382.47
12332,HRV,200403,1.426017461,4.094678898,36.54625257,2.233685295,0,1.945147427,0.107514626,1.374727715,0.26032008,0,0.142113472,0.375529071,0.43537783,1.496488454,390.73
12333,HRV,200404,1.408990859,4.0543943,36.50062427,2.269678861,0,1.934341926,0.056051627,1.335143982,0.24978918,0,0.111998889,0.397176402,0.41338203,1.47987923,398.36
12334,HRV,200405,1.437346377,4.147131705,36.55909582,2.212343199,0.09127751,1.937070074,0.119458572,1.441627489,0.426468236,0,0.214136749,0.59931181,0.49344856,1.516262304,377.08
12335,HRV,200406,1.465701896,4.239869109,36.61756736,2.155007538,0.182555021,1.939798222,0.182865516,1.548110996,0.603147292,0,0.316274609,0.801447218,0.57351509,1.552645377,369.05
12336,HRV,200407,1.494057414,4.332606513,36.67603891,2.097671876,0.273832531,1.94252637,0.246272461,1.654594503,0.779826348,0,0.41841247,1.003582625,0.65358162,1.589028451,360.54
12337,HRV,200408,1.498358711,4.35128385,36.68094775,2.061617309,0.266998056,1.936876513,0.260226276,1.716350149,0.809554975,0,0.441205105,0.947577323,0.658255278,1.596093989,374.63
12338,HRV,200409,1.502660008,4.369961187,36.68585658,2.025562742,0.260163582,1.931226656,0.274180091,1.778105795,0.839283603,0,0.46399774,0.89157202,0.662928937,1.603159528,397.24
12339,HRV,200410,1.506961306,4.388638524,36.69076542,1.989508175,0.253329107,1.925576799,0.288133907,1.839861441,0.869012231,0,0.486790375,0.835566717,0.667602595,1.610225066,404.66
12340,HRV,200411,1.826610638,4.660220488,36.8643268,2.731674301,0.623319382,2.050325771,0.620210997,1.972506878,0.947993898,0.582290406,0.87594454,0.882804585,0.911784531,1.718901633,382.81
12341,HRV,200412,2.14625997,4.931802452,37.03788818,3.473840428,0.993309656,2.175074743,0.952288088,2.105152314,1.026975566,1.164580812,1.265098705,0.930042452,1.155966466,1.8275782,374.97
12342,HRV,200501,2.465909302,5.203384416,37.21144956,4.216006554,1.363299931,2.299823715,1.284365178,2.23779775,1.105957234,1.746871218,1.65425287,0.97728032,1.400148402,1.936254767,362.74
12343,HRV,200502,2.491341959,5.24607214,37.21255282,4.269844589,1.39802417,2.32510057,1.330539146,2.259011038,1.180899196,1.757505171,1.697246414,1.083550282,1.413558749,1.952198308,444.80
12344,HRV,200503,2.516774617,5.288759863,37.21365609,4.323682624,1.432748408,2.350377426,1.376713113,2.280224327,1.255841157,1.768139125,1.740239958,1.189820244,1.426969096,1.968141849,348.79
12345,HRV,200504,2.542207274,5.331447587,37.21475936,4.377520659,1.467472647,2.375654281,1.422887081,2.301437615,1.330783118,1.778773078,1.783233502,1.296090206,1.440379442,1.98408539,328.99
12346,HRV,200505,2.543497488,5.308038965,37.25138237,4.344780983,1.470779279,2.385417062,1.388396835,2.206191401,1.172089525,1.720468352,1.74560876,1.193918189,1.385672868,1.977300746,335.65
12347,HRV,200506,2.544787701,5.284630344,37.28800539,4.312041308,1.47408591,2.395179842,1.353906589,2.110945186,1.013395931,1.662163627,1.707984017,1.091746171,1.330966294,1.970516101,361.70
12348,HRV,200507,2.546077915,5.261221722,37.3246284,4.279301633,1.477392542,2.404942622,1.319416343,2.015698971,0.854702337,1.603858901,1.670359274,0.989574154,1.27625972,1.963731457,363.70
12349,HRV,200508,2.543486915,5.269013825,37.327998,4.283567572,1.46180664,2.41024189,1.326851601,2.003612291,0.831302847,1.579797892,1.652217835,1.028585269,1.229793656,1.9668179,368.50
12350,HRV,200509,2.540895915,5.276805928,37.33136759,4.287833511,1.446220739,2.415541158,1.33428686,1.991525612,0.807903357,1.555736882,1.634076396,1.067596383,1.183327591,1.969904343,389.70
12351,HRV,200510,2.538304915,5.284598031,37.33473719,4.292099451,1.430634837,2.420840426,1.341722119,1.979438932,0.784503867,1.531675873,1.615934957,1.106607498,1.136861527,1.972990786,382.61
12352,HRV,200511,2.837258329,5.778036945,37.28863777,5.116371225,1.198720502,2.741039819,1.546721322,2.33378523,1.271470955,1.589476871,1.811921773,1.637221654,1.397725203,2.154096321,380.58
12353,HRV,200512,3.136211742,6.271475859,37.24253835,5.940642999,0.966806166,3.061239211,1.751720525,2.688131528,1.758438042,1.64727787,2.007908589,2.16783581,1.658588879,2.335201857,377.42
12354,HRV,200601,3.435165156,6.764914773,37.19643893,6.764914773,0.734891831,3.381438604,1.956719729,3.042477826,2.24540513,1.705078869,2.203895405,2.698449967,1.919452555,2.516307392,407.65
12355,HRV,200602,3.41645374,6.737458697,37.18923888,6.737458697,0.693588954,3.370892936,1.916419143,3.052631464,2.214737093,1.727469838,2.203740775,2.661033168,1.932100248,2.505613563,422.48
12356,HRV,200603,3.397742324,6.710002621,37.18203883,6.710002621,0.652286078,3.360347268,1.876118558,3.062785101,2.184069055,1.749860807,2.203586145,2.623616369,1.944747941,2.494919733,545.85
12357,HRV,200604,3.379030908,6.682546544,37.17483878,6.682546544,0.610983201,3.349801601,1.835817972,3.072938739,2.153401018,1.772251777,2.203431515,2.58619957,1.957395633,2.484225904,595.70
12358,HRV,200605,3.392669581,6.699628603,37.16974805,6.699628603,0.546891207,3.370939092,1.917071243,3.134320391,2.155376978,1.793332203,2.193731874,2.566892125,1.931400947,2.490233332,606.16
12359,HRV,200606,3.406308254,6.716710661,37.16465732,6.716710661,0.482799213,3.392076583,1.998324514,3.195702043,2.157352938,1.814412629,2.184032233,2.54758468,1.90540626,2.496240761,749.18
12360,HRV,200607,3.419946926,6.733792719,37.15956659,6.733792719,0.418707219,3.413214074,2.079577785,3.257083695,2.159328898,1.835493055,2.174332592,2.528277235,1.879411573,2.502248189,799.80
12361,HRV,200608,3.396867194,6.705619248,37.17010772,6.705619248,0.52289597,3.360511608,1.998676267,3.258722661,2.12177361,1.822559948,2.154760654,2.472607632,1.928562486,2.492479958,825.19
