rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
12827,HUN,200012,6.134522347,12.58120029,34.9807162,10.77542352,1.521324615,5.253414073,1.848552077,5.768493603,7.701949096,3.338692732,7.58597222,11.03916112,6.397306768,4.399469927,100.000
12828,HUN,200101,4.605288311,7.723263895,34.9964023,7.723263895,2.281986922,3.351704613,2.772828115,2.163049609,4.232732663,0.403823793,4.240780325,6.734277258,2.727628319,2.702864504,105.509
12829,HUN,200102,4.600652644,7.754466204,35.00545476,7.754466204,2.256326556,3.38113779,2.812328085,2.258068319,4.346820735,0.483424237,4.271014205,6.745424383,2.825115853,2.714491808,86.529
12830,HUN,200103,4.596016977,7.785668514,35.01450722,7.785668514,2.230666191,3.410570967,2.851828054,2.353087028,4.460908808,0.56302468,4.301248086,6.756571509,2.922603387,2.726119113,76.540
12831,HUN,200104,4.59138131,7.816870824,35.02355968,7.816870824,2.205005825,3.440004144,2.891328023,2.448105737,4.57499688,0.642625124,4.331481966,6.767718634,3.020090921,2.737746418,80.785
12832,HUN,200105,4.585061985,7.793928952,35.03751686,7.793928952,2.108097824,3.484575165,2.919804195,2.386837397,4.457523696,0.649493564,4.296211651,6.689109498,2.946469947,2.730792767,83.340
12833,HUN,200106,4.578742661,7.770987079,35.05147404,7.770987079,2.011189822,3.529146187,2.948280368,2.325569057,4.340050512,0.656362005,4.260941335,6.610500362,2.872848972,2.723839115,80.516
12834,HUN,200107,4.572423336,7.748045207,35.06543123,7.748045207,1.91428182,3.573717209,2.97675654,2.264300717,4.222577327,0.663230445,4.22567102,6.531891226,2.799227998,2.716885464,78.909
12835,HUN,200108,4.557797903,7.700125301,35.03152279,7.700125301,1.872347137,3.561241704,2.950653059,2.228316891,4.171171239,0.657712378,4.190974649,6.476001149,2.762257538,2.697503647,76.222
12836,HUN,200109,4.54317247,7.652205395,34.99761435,7.652205395,1.830412453,3.548766199,2.924549577,2.192333065,4.11976515,0.652194311,4.156278279,6.420111072,2.725287078,2.678121831,74.901
12837,HUN,200110,4.528547037,7.604285488,34.96370591,7.604285488,1.78847777,3.536290694,2.898446096,2.156349239,4.068359061,0.646676243,4.121581908,6.364220996,2.688316618,2.658740015,83.859
12838,HUN,200111,4.407469032,7.496707549,34.88865426,7.496707549,1.832355424,3.4809415,2.926739842,2.474907023,3.798888475,0.682550188,3.864700402,5.878954092,2.73186475,2.615661856,88.819
12839,HUN,200112,4.286391027,7.38912961,34.81360261,7.38912961,1.876233079,3.425592306,2.955033588,2.793464808,3.529417889,0.718424133,3.607818896,5.393687187,2.775412882,2.572583697,90.580
12840,HUN,200201,4.165313021,7.281551671,34.73855096,7.281551671,1.920110734,3.370243112,2.983327334,3.112022592,3.259947302,0.754298077,3.35093739,4.908420283,2.818961014,2.529505538,100.843
12841,HUN,200202,4.125640998,7.296484134,34.72460541,7.296484134,1.905307053,3.443379251,3.011162727,3.004833913,3.225484478,0.936239951,3.451297191,5.053959202,2.833735089,2.53367116,97.188
12842,HUN,200203,4.085968975,7.311416598,34.71065986,7.311416598,1.890503372,3.51651539,3.03899812,2.897645233,3.191021653,1.118181824,3.551656992,5.199498121,2.848509163,2.537836782,100.743
12843,HUN,200204,4.046296951,7.326349062,34.69671431,7.326349062,1.875699692,3.589651529,3.066833513,2.790456554,3.156558829,1.300123697,3.652016794,5.345037039,2.863283238,2.542002404,111.523
12844,HUN,200205,4.008699772,7.266454305,34.64718013,7.266454305,1.9462825,3.409869425,2.924744831,2.813528075,3.31750562,1.275745833,3.476893428,5.241225184,2.893305021,2.517680849,107.491
12845,HUN,200206,3.971102593,7.206559547,34.59764595,7.206559547,2.016865308,3.230087321,2.782656148,2.836599596,3.478452411,1.251367968,3.301770062,5.13741333,2.923326804,2.493359294,98.826
12846,HUN,200207,3.933505414,7.14666479,34.54811176,7.14666479,2.087448116,3.050305217,2.640567466,2.859671118,3.639399202,1.226990104,3.126646696,5.033601475,2.953348587,2.469037739,96.248
12847,HUN,200208,3.938697189,7.156950579,34.56572269,7.156950579,2.16108041,3.038165762,2.685451182,2.828032335,3.690235322,1.257470247,3.124776329,5.096673443,2.983452966,2.473855313,105.853
12848,HUN,200209,3.943888965,7.167236368,34.58333361,7.167236368,2.234712703,3.026026307,2.730334897,2.796393553,3.741071442,1.28795039,3.122905961,5.159745412,3.013557345,2.478672887,99.342
12849,HUN,200210,3.949080741,7.177522157,34.60094454,7.177522157,2.308344997,3.013886852,2.775218613,2.76475477,3.791907563,1.318430533,3.121035593,5.22281738,3.043661724,2.483490461,103.029
12850,HUN,200211,3.48630758,6.569619155,34.65779606,6.555609552,1.538896665,2.763345468,2.687909144,2.52595075,3.177859053,1.147151964,2.860222727,4.630688007,2.533503459,2.276194005,114.017
12851,HUN,200212,3.023534418,5.961716153,34.71464758,5.933696947,0.769448332,2.512804085,2.600599674,2.28714673,2.563810544,0.975873394,2.599409861,4.038558634,2.023345194,2.068897548,118.048
12852,HUN,200301,2.560761257,5.353813151,34.7714991,5.311784342,0,2.262262702,2.513290205,2.04834271,1.949762035,0.804594824,2.338596994,3.446429261,1.513186929,1.861601092,113.598
12853,HUN,200302,2.551036505,5.300317394,34.7113243,5.272298188,0,2.270720985,2.493395818,1.958231233,1.774343281,0.824146838,2.258331208,3.35590544,1.386165485,1.839874742,111.524
12854,HUN,200303,2.541311753,5.246821636,34.65114951,5.232812033,0,2.279179269,2.473501431,1.868119756,1.598924528,0.843698852,2.178065421,3.265381619,1.259144041,1.818148392,114.669
12855,HUN,200304,2.531587001,5.193325878,34.59097472,5.193325878,0,2.287637553,2.453607044,1.778008279,1.423505775,0.863250866,2.097799635,3.174857798,1.132122597,1.796422041,129.699
12856,HUN,200305,2.481074684,5.153017943,34.60006927,5.153017943,0,2.162612131,2.372513146,1.826119932,1.522160577,0.843505715,2.057750276,3.248878585,1.22266452,1.782940446,137.194
12857,HUN,200306,2.430562366,5.112710008,34.60916383,5.112710008,0,2.03758671,2.291419247,1.874231584,1.620815379,0.823760564,2.017700917,3.322899371,1.313206444,1.769458851,115.731
12858,HUN,200307,2.380050049,5.072402073,34.61825838,5.072402073,0,1.912561288,2.210325349,1.922343236,1.719470181,0.804015414,1.977651559,3.396920158,1.403748367,1.755977256,120.918
12859,HUN,200308,2.44916172,5.153962737,34.63234934,5.153962737,0,2.025883411,2.2942792,1.92668789,1.66682988,0.860198551,2.026987269,3.316067233,1.39919319,1.784961365,133.784
12860,HUN,200309,2.518273391,5.235523401,34.6464403,5.235523401,0,2.139205534,2.378233052,1.931032545,1.614189579,0.916381688,2.076322979,3.235214309,1.394638012,1.813945475,141.225
12861,HUN,200310,2.587385062,5.317084066,34.66053125,5.317084066,0,2.252527657,2.462186903,1.9353772,1.561549279,0.972564825,2.125658688,3.154361385,1.390082835,1.842929584,147.773
12862,HUN,200311,2.25797492,5.076008795,34.60283329,5.076008795,0.036628306,1.581547143,1.641457935,1.322097211,1.041032852,0.64837655,1.482662024,2.333169588,0.92672189,1.756721052,143.463
12863,HUN,200312,1.928564779,4.834933525,34.54513532,4.834933525,0.073256613,0.910566628,0.820728968,0.708817222,0.520516426,0.324188275,0.839665359,1.511977792,0.463360945,1.67051252,155.859
12864,HUN,200401,1.599154637,4.593858254,34.48743735,4.593858254,0.109884919,0.239586113,0,0.095537234,0,0,0.196668694,0.690785996,0,1.584303988,164.232
12865,HUN,200402,1.620981702,4.634316561,34.46958714,4.634316561,0.114241752,0.296261378,0.004629391,0.140713448,0.104861847,0,0.271173784,0.796685657,0.040210938,1.597415342,173.918
12866,HUN,200403,1.642808766,4.674774868,34.45173693,4.674774868,0.118598585,0.352936643,0.009258783,0.185889662,0.209723693,0,0.345678874,0.902585318,0.080421876,1.610526696,193.185
