rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
13094,IDN,200012,12.4006192,26.87305666,40.6179842,3.980391803,17.85688837,6.212352328,11.44376749,16.65774473,17.395687,14.97387815,10.52474103,2.401977353,18.75558701,10.92336005,100.00
13095,IDN,200101,12.23634448,27.16187489,42.01438844,4.952024369,14.76988226,7.326792926,9.114612089,19.37643442,18.30000056,13.61427624,9.346192557,3.602966029,18.6961871,11.41189562,110.30
13096,IDN,200102,12.2305598,27.16341437,42.011385,5.003351115,14.6799827,7.303460248,9.108849845,19.44524052,18.31358439,13.55689918,9.328547656,3.538807277,18.65152316,11.4117265,109.02
13097,IDN,200103,12.22477511,27.16495385,42.00838157,5.054677862,14.59008314,7.28012757,9.1030876,19.51404663,18.32716822,13.49952212,9.310902755,3.474648526,18.60685923,11.41155737,88.68
13098,IDN,200104,12.21899043,27.16649332,42.00537813,5.106004608,14.50018358,7.256794892,9.097325356,19.58285273,18.34075204,13.44214507,9.293257855,3.410489774,18.56219529,11.41138825,74.25
13099,IDN,200105,12.23387577,27.18282341,42.00177212,5.169664437,14.53575875,7.278984249,9.11282533,19.56570293,18.34528258,13.44178091,9.282655421,3.472062749,18.57343478,11.41726637,91.30
13100,IDN,200106,12.24876111,27.1991535,41.99816611,5.233324267,14.57133392,7.301173606,9.128325304,19.54855312,18.34981311,13.44141676,9.272052987,3.533635723,18.58467427,11.42314449,96.32
13101,IDN,200107,12.26364645,27.21548359,41.99456011,5.296984096,14.60690908,7.323362962,9.143825279,19.53140332,18.35434364,13.44105261,9.261450553,3.595208698,18.59591376,11.42902261,116.99
13102,IDN,200108,12.20973009,27.14726741,41.99835808,5.232731622,14.44369627,7.341562219,9.134762923,19.50385142,18.35345912,13.4754733,9.24517299,3.52649349,18.5515973,11.40140139,122.43
13103,IDN,200109,12.15581373,27.07905122,42.00215606,5.168479148,14.28048346,7.359761475,9.125700567,19.47629952,18.3525746,13.509894,9.228895427,3.457778281,18.50728083,11.37378017,98.46
