rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
13361,IND,200012,32.74020551,60.07646945,48.14881553,34.78766795,37.8152494,14.82015627,28.51273928,50.1424718,46.51862394,14.12223416,26.58636332,27.97429583,44.57318486,29.32187277,100.00
13362,IND,200101,36.26168646,65.84316001,51.58028388,38.56780129,38.14425835,17.77174685,29.63315547,56.71068812,54.054328,14.32085103,31.00803264,31.69702763,48.48956701,33.96208885,108.79
13363,IND,200102,36.27107595,65.85360108,51.5816385,38.58041681,38.05433518,17.81743617,29.66541071,56.68250651,53.97285448,14.34398662,31.00594079,31.63394417,48.43134026,33.96836673,104.83
13364,IND,200103,36.28046544,65.86404215,51.58299312,38.59303233,37.96441201,17.86312549,29.69766594,56.65432489,53.89138096,14.36712221,31.00384893,31.5708607,48.37311352,33.97464462,86.35
13365,IND,200104,36.28985493,65.87448322,51.58434775,38.60564785,37.87448884,17.90881481,29.72992118,56.62614328,53.80990743,14.3902578,31.00175708,31.50777724,48.31488677,33.9809225,84.40
13366,IND,200105,36.26218977,65.85548048,51.56438108,38.48898291,37.97196458,17.86681394,29.68905125,56.62763737,53.92652256,14.41484888,31.00097999,31.6247524,48.3984463,33.9579785,87.73
13367,IND,200106,36.2345246,65.83647775,51.5444144,38.37231796,38.06944032,17.82481306,29.64818133,56.62913146,54.04313769,14.43943995,31.0002029,31.74172757,48.48200582,33.93503451,83.14
13368,IND,200107,36.20685943,65.81747501,51.52444773,38.25565302,38.16691605,17.78281218,29.60731141,56.63062555,54.15975282,14.46403103,30.99942581,31.85870274,48.56556534,33.91209051,80.34
13369,IND,200108,36.21791322,65.80755151,51.53236577,38.33273853,38.01425236,17.81986153,29.6413945,56.58255162,54.0361124,14.46924264,30.96841292,31.7215453,48.46464434,33.91218658,79.14
13370,IND,200109,36.228967,65.79762801,51.54028382,38.40982404,37.86158868,17.85691088,29.67547759,56.5344777,53.91247197,14.47445426,30.93740002,31.58438786,48.36372334,33.91228265,68.11
13371,IND,200110,36.24002078,65.7877045,51.54820186,38.48690955,37.70892499,17.89396023,29.70956068,56.48640377,53.78883154,14.47966587,30.90638713,31.44723043,48.26280233,33.91237872,72.66
13372,IND,200111,35.6692947,65.01174711,51.28648606,37.97766427,36.76731333,17.78660912,29.1639457,56.12187957,53.58814373,14.4620974,30.41449057,31.33647369,47.72525042,33.34630222,80.09
13373,IND,200112,35.09856863,64.23578972,51.02477026,37.468419,35.82570167,17.67925801,28.61833072,55.75735536,53.38745593,14.44452892,29.92259402,31.22571694,47.18769851,32.78022573,80.20
13374,IND,200201,34.52784255,63.45983233,50.76305446,36.95917372,34.88409002,17.57190689,28.07271574,55.39283116,53.18676812,14.42696045,29.43069746,31.1149602,46.6501466,32.21414924,81.61
13375,IND,200202,34.5539251,63.50349179,50.8027829,36.98214164,34.8656967,17.61193801,28.12734017,55.37855763,53.17276085,14.4643145,29.45865245,31.08278485,46.62625036,32.26157576,86.72
13376,IND,200203,34.58000765,63.54715126,50.84251134,37.00510955,34.84730338,17.65196913,28.18196459,55.3642841,53.15875358,14.50166855,29.48660744,31.0506095,46.60235413,32.30900228,86.15
13377,IND,200204,34.6060902,63.59081072,50.88223979,37.02807746,34.82891006,17.69200024,28.23658901,55.35001057,53.14474631,14.53902261,29.51456243,31.01843414,46.57845789,32.35642879,82.38
13378,IND,200205,34.60251176,63.56720796,50.82856578,37.07090559,34.73479164,17.59041785,28.22156368,55.30863038,53.21366765,14.52814661,29.33341901,30.88638983,46.51753621,32.31032545,77.19
13379,IND,200206,34.59893332,63.5436052,50.77489178,37.11373372,34.64067321,17.48883545,28.20653835,55.2672502,53.28258898,14.51727062,29.15227559,30.75434552,46.45661454,32.26422211,79.50
13380,IND,200207,34.59535487,63.52000244,50.72121777,37.15656185,34.54655478,17.38725305,28.19151302,55.22587001,53.35151031,14.50639463,28.97113217,30.62230121,46.39569286,32.21811877,73.78
13381,IND,200208,34.61143759,63.53355335,50.71846965,37.21620584,34.67489296,17.36815644,28.15884008,55.27954559,53.38877561,14.46610651,28.98170821,30.68576906,46.42382424,32.22324523,78.33
13382,IND,200209,34.62752031,63.54710426,50.71572152,37.27584983,34.80323113,17.34905984,28.12616714,55.33322117,53.42604091,14.42581839,28.99228425,30.74923691,46.45195562,32.22837169,74.51
13383,IND,200210,34.64360303,63.56065517,50.7129734,37.33549383,34.93156931,17.32996323,28.0934942,55.38689675,53.46330621,14.38553027,29.00286029,30.81270476,46.480087,32.23349815,74.37
13384,IND,200211,33.71930541,62.41788632,50.86489212,37.16661714,33.20857355,17.07899229,27.20917059,54.92330002,52.50130073,13.79561507,28.43302074,31.14183077,45.18271435,31.74531838,82.11
13385,IND,200212,32.79500779,61.27511746,51.01681084,36.99774044,31.48557779,16.82802135,26.32484697,54.45970328,51.53929525,13.20569987,27.86318119,31.47095678,43.88534169,31.25713861,86.54
13386,IND,200301,31.87071017,60.1323486,51.16872956,36.82886375,29.76258204,16.5770504,25.44052335,53.99610655,50.57728977,12.61578467,27.29334165,31.80008279,42.58796904,30.76895883,82.96
13387,IND,200302,31.87281077,60.10975558,51.15994908,36.8827355,29.62459327,16.62357817,25.44616716,53.9385258,50.44549605,12.65911204,27.24841366,31.69890074,42.52584487,30.75212431,84.15
13388,IND,200303,31.87491137,60.08716256,51.1511686,36.93660725,29.4866045,16.67010594,25.45181096,53.88094506,50.31370232,12.70243941,27.20348568,31.59771869,42.46372071,30.7352898,77.87
13389,IND,200304,31.87701197,60.06456954,51.14238812,36.990479,29.34861574,16.71663372,25.45745477,53.82336431,50.1819086,12.74576678,27.1585577,31.49653663,42.40159655,30.71845528,74.47
13390,IND,200305,31.8423327,59.98388093,51.03973868,36.9763413,29.23745893,16.66716116,25.39832108,53.69684036,50.11346808,12.66299362,27.06390104,31.4161858,42.31836342,30.61578173,80.54
13391,IND,200306,31.80765343,59.90319233,50.93708923,36.9622036,29.12630212,16.61768861,25.33918739,53.57031641,50.04502757,12.58022047,26.96924438,31.33583496,42.23513029,30.51310818,92.04
