rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
13990,JAM,200811,1.308709055,2.495848231,38.98846114,2.495848231,0.967943641,0.542572769,0.214715159,2.350412598,1.747236285,1.143074397,0.949438664,1.074691971,1.701898438,0.972150389,"1,067.997"
13991,JAM,200812,1.387083186,2.774906678,38.81960254,2.774906678,0.652256983,0.520457916,0.10735758,2.484035412,2.099163683,1.469235683,1.259630148,2.040268532,1.483835179,1.076265315,"1,031.640"
13992,JAM,200901,1.465457317,3.053965125,38.65074394,3.053965125,0.336570326,0.498343063,0,2.617658225,2.45109108,1.795396969,1.569821633,3.005845092,1.265771919,1.18038024,960.836
13993,JAM,200902,1.485264533,3.048783153,38.60634248,3.03552004,0.531974862,0.460307055,0,2.616721387,2.536048881,1.83249471,1.592597826,3.016703131,1.384474817,1.177028267,847.824
13994,JAM,200903,1.505071749,3.043601181,38.56194101,3.017074955,0.727379398,0.422271047,0,2.615784549,2.621006682,1.869592451,1.615374019,3.02756117,1.503177715,1.173676294,710.777
13995,JAM,200904,1.524878965,3.038419209,38.51753955,2.998629869,0.922783934,0.384235039,0,2.614847711,2.705964483,1.906690193,1.638150212,3.038419209,1.621880614,1.170324321,748.135
13996,JAM,200905,1.573662561,3.072055401,38.47111477,2.788589651,1.088209673,0.346021475,0,2.572814526,2.735318504,1.884557433,1.678514292,2.835108726,1.699602111,1.181822728,841.502
13997,JAM,200906,1.622446158,3.105691593,38.42468999,2.578549432,1.253635412,0.307807912,0,2.530781342,2.764672524,1.862424673,1.718878371,2.631798243,1.777323609,1.193321136,786.610
13998,JAM,200907,1.671229754,3.139327784,38.37826522,2.368509213,1.419061151,0.269594348,0,2.488748157,2.794026545,1.840291912,1.759242451,2.42848776,1.855045107,1.204819543,777.223
13999,JAM,200908,1.686275661,3.191669274,38.44691968,2.451354618,1.350945572,0.339717205,0,2.584937341,2.804850265,1.954347639,1.815649514,2.48308768,1.885220615,1.227170392,785.064
14000,JAM,200909,1.701321569,3.244010764,38.51557415,2.534200023,1.282829993,0.409840062,0,2.681126525,2.815673985,2.068403366,1.872056577,2.537687601,1.915396123,1.249521241,802.843
14001,JAM,200910,1.716367477,3.296352254,38.58422862,2.617045428,1.214714415,0.47996292,0,2.777315709,2.826497705,2.182459093,1.928463639,2.592287521,1.945571631,1.27187209,810.586
14002,JAM,200911,1.839941913,3.428983748,38.89131969,2.848728322,0.961750457,0.768964992,0.460515573,2.749489678,2.97571767,2.147897348,2.066371825,2.538853603,1.851223693,1.33439163,912.666
14003,JAM,200912,1.96351635,3.561615242,39.19841076,3.080411215,0.708786498,1.057967063,0.921031146,2.721663647,3.124937635,2.113335603,2.20428001,2.485419685,1.756875754,1.396911171,948.375
14004,JAM,201001,2.087090787,3.694246736,39.50550183,3.312094109,0.45582254,1.346969135,1.381546719,2.693837615,3.2741576,2.078773859,2.342188195,2.431985767,1.662527815,1.459430712,784.928
14005,JAM,201002,1.735581447,3.058137949,39.76044655,2.803369531,0.303881694,1.223226587,0.921031146,2.093709346,2.204686753,1.385849239,2.156765588,1.621323845,1.108351877,1.212685853,938.011
14006,JAM,201003,1.384072107,2.422029162,40.01539127,2.294644953,0.151940847,1.099484039,0.460515573,1.493581077,1.135215906,0.69292462,1.971342982,0.810661922,0.554175938,0.965940995,"1,064.968"
14007,JAM,201004,1.032562767,1.785920376,40.27033599,1.785920376,0,0.975741491,0,0.893452808,0.065745059,0,1.785920376,0,0,0.719196136,"1,151.070"
14008,JAM,201005,1.016576816,1.747404323,40.26783193,1.747404323,0,0.989105753,0,0.902633732,0.043830039,0,1.747404323,0,0,0.703643765,"1,064.509"
14009,JAM,201006,1.000590865,1.708888271,40.26532786,1.708888271,0,1.002470015,0,0.911814656,0.02191502,0,1.708888271,0,0,0.688091394,"1,094.783"
14010,JAM,201007,0.984604915,1.670372218,40.26282379,1.670372218,0,1.015834277,0,0.920995581,0,0,1.670372218,0,0,0.672539023,"1,131.666"
14011,JAM,201008,1.034934128,1.696769115,40.24868642,1.696769115,0,0.981688096,0,0.94674462,0.013065693,0.030161914,1.696769115,0,0,0.682919817,"1,165.794"
14012,JAM,201009,1.08526334,1.723166012,40.23454904,1.723166012,0,0.947541915,0,0.97249366,0.026131386,0.060323828,1.723166012,0,0,0.69330061,"1,099.460"
14013,JAM,201010,1.135592553,1.749562908,40.22041167,1.749562908,0,0.913395734,0,0.998242699,0.039197079,0.090485742,1.749562908,0,0,0.703681404,"1,109.494"
14014,JAM,201011,1.078738118,1.964725414,40.04184278,1.813229541,0.079677989,0.883966387,0.19560459,1.043024795,0.782978142,0.33328861,1.626464153,0.465752431,0.319040972,0.785943834,"1,179.116"
14015,JAM,201012,1.021883683,2.179887919,39.86327388,1.876896174,0.159355979,0.854537039,0.391209181,1.087806891,1.526759206,0.576091478,1.503365397,0.931504861,0.638081944,0.868206265,"1,172.577"
14016,JAM,201101,0.965029248,2.395050425,39.68470498,1.940562807,0.239033968,0.825107691,0.586813771,1.132588987,2.270540269,0.818894346,1.380266642,1.397257292,0.957122916,0.950468695,"1,186.112"
14017,JAM,201102,1.205422532,2.642108445,39.75644881,2.064774161,0.272354626,0.961352269,1.118873255,1.474580797,2.401967751,1.035186575,1.829792692,1.242541615,1.270374819,1.050762989,"1,204.378"
14018,JAM,201103,1.445815816,2.889166465,39.82819264,2.188985515,0.305675283,1.097596846,1.65093274,1.816572607,2.533395232,1.251478803,2.279318742,1.087825939,1.583626721,1.151057283,"1,220.317"
14019,JAM,201104,1.6862091,3.136224486,39.89993648,2.31319687,0.33899594,1.233841423,2.182992225,2.158564417,2.664822714,1.467771032,2.728844791,0.933110263,1.896878624,1.251351577,"1,420.629"
14020,JAM,201105,1.48061208,2.924122714,39.8554422,2.210570692,0.225997293,1.171920238,1.736357246,1.912140608,2.497310204,1.335590729,2.422603467,1.07543134,1.651940898,1.165610784,"1,372.765"
14021,JAM,201106,1.275015061,2.712020942,39.81094792,2.107944514,0.112998647,1.109999053,1.289722267,1.665716799,2.329797695,1.203410425,2.116362144,1.217752416,1.407003171,1.079869991,"1,391.220"
14022,JAM,201107,1.069418041,2.499919171,39.76645364,2.005318336,0,1.048077868,0.843087288,1.41929299,2.162285185,1.071230122,1.81012082,1.360073493,1.162065444,0.994129198,"1,414.413"
14023,JAM,201108,0.949124342,2.402710603,39.7188262,1.860805928,0,0.985620558,0.596766903,1.238675353,2.063212298,0.929788074,1.55143243,1.442696894,0.936000382,0.954421044,"1,542.430"
14024,JAM,201109,0.828830643,2.305502036,39.67119875,1.716293519,0,0.923163249,0.350446519,1.058057717,1.964139412,0.788346025,1.292744039,1.525320295,0.709935319,0.914712891,"1,487.781"
14025,JAM,201110,0.708536944,2.208293468,39.62357131,1.571781111,0,0.86070594,0.104126135,0.87744008,1.865066525,0.646903977,1.034055649,1.607943696,0.483870257,0.875004737,"1,568.140"
14026,JAM,201111,0.683780145,2.193999305,39.37481665,1.769657733,0,0.694344709,0.069417423,1.298149739,1.965181343,1.101427808,1.35193652,1.793766123,0.613431177,0.863954318,"1,548.471"
14027,JAM,201112,0.659023345,2.179705141,39.12606198,1.967534355,0,0.527983479,0.034708712,1.718859399,2.06529616,1.555951639,1.669817391,1.97958855,0.742992098,0.852903899,"1,531.232"
14028,JAM,201201,0.634266546,2.165410978,38.87730731,2.165410978,0,0.361622249,0,2.139569059,2.165410978,2.01047547,1.987698261,2.165410978,0.872553018,0.84185348,"1,466.811"
14029,JAM,201202,0.446525765,1.955046178,38.8548324,1.955046178,0,0.324377295,0,1.851668254,1.955046178,1.851755839,1.721219114,1.955046178,0.678904357,0.759724474,"1,436.527"
14030,JAM,201203,0.258784983,1.744681378,38.83235749,1.744681378,0,0.287132341,0,1.56376745,1.744681378,1.693036209,1.454739966,1.744681378,0.485255697,0.677595468,"1,456.312"
14031,JAM,201204,0.071044201,1.534316578,38.80988258,1.534316578,0,0.249887388,0,1.275866645,1.534316578,1.534316578,1.188260818,1.534316578,0.291607037,0.595466462,"1,458.580"
14032,JAM,201205,0.307100039,1.771983869,38.83461482,1.771983869,0,0.310131297,0,1.502377262,1.771983869,1.730549243,1.541280029,1.771983869,0.618958966,0.688260671,"1,354.831"
14033,JAM,201206,0.543155877,2.00965116,38.85934707,2.00965116,0,0.370375206,0,1.728887879,2.00965116,1.926781908,1.89429924,2.00965116,0.946310895,0.78105488,"1,318.234"
14034,JAM,201207,0.779211715,2.247318451,38.88407932,2.247318451,0,0.430619115,0,1.955398496,2.247318451,2.123014574,2.247318451,2.247318451,1.273662824,0.873849089,"1,211.840"
