rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
14162,JOR,200012,5.070871575,11.14138615,40.35464973,0.098293052,8.358344001,2.354368518,5.485858712,6.014932501,9.368146867,0.91808179,4.225595883,5.967954089,4.946754379,4.645749753,100.00
14163,JOR,200101,3.201544085,6.899192415,38.5904399,0.147439577,6.899192415,0.070975954,5.53787545,2.29188435,5.293460896,0,2.055912765,4.168029618,2.719495449,2.662428702,103.40
14164,JOR,200102,3.162200447,6.857780313,38.53425755,0.270239028,6.857780313,0.089600558,5.613192134,2.225666148,5.262795536,0.004912858,1.999652175,4.112865038,2.606920536,2.642641261,104.62
14165,JOR,200103,3.122856808,6.816368211,38.47807521,0.393038479,6.816368211,0.108225162,5.688508819,2.159447946,5.232130176,0.009825715,1.943391585,4.057700458,2.494345623,2.62285382,105.32
14166,JOR,200104,3.08351317,6.77495611,38.42189287,0.51583793,6.77495611,0.126849766,5.763825504,2.093229745,5.201464817,0.014738573,1.887130994,4.002535878,2.381770709,2.603066378,103.91
14167,JOR,200105,3.057774787,6.761106226,38.4244728,0.415233728,6.761106226,0.115102684,5.753243728,2.100257756,5.206100201,0.021455674,1.868692398,4.034092023,2.3733577,2.597918708,108.57
14168,JOR,200106,3.032036404,6.747256342,38.42705273,0.314629525,6.747256342,0.103355601,5.742661951,2.107285767,5.210735584,0.028172776,1.850253802,4.065648169,2.36494469,2.592771038,110.08
14169,JOR,200107,3.006298022,6.733406458,38.42963267,0.214025323,6.733406458,0.091608519,5.732080175,2.114313778,5.215370968,0.034889877,1.831815206,4.097204314,2.35653168,2.587623368,115.89
14170,JOR,200108,2.980844362,6.702194503,38.44020161,0.178296288,6.702194503,0.061072346,5.667302375,2.14319847,5.252426868,0.046176722,1.830155065,4.049364525,2.363976077,2.576330482,120.99
14171,JOR,200109,2.955390703,6.670982547,38.45077055,0.142567254,6.670982547,0.030536173,5.602524575,2.172083163,5.289482767,0.057463567,1.828494924,4.001524736,2.371420474,2.565037595,120.79
14172,JOR,200110,2.929937043,6.639770592,38.46133949,0.10683822,6.639770592,0,5.537746775,2.200967855,5.326538667,0.068750412,1.826834783,3.953684946,2.378864872,2.553744709,131.14
14173,JOR,200111,2.871450353,6.47796279,38.48231614,0.368883574,6.47796279,0.084057017,5.34094984,2.269698018,4.978147345,0.246297307,1.7476589,3.601503415,2.102410587,2.492802236,136.33
14174,JOR,200112,2.812963662,6.316154988,38.50329278,0.630928927,6.316154988,0.168114033,5.144152906,2.33842818,4.629756024,0.423844203,1.668483016,3.249321883,1.825956302,2.431859764,134.03
14175,JOR,200201,2.754476971,6.154347186,38.52426943,0.892974281,6.154347186,0.25217105,4.947355972,2.407158342,4.281364702,0.601391098,1.589307133,2.897140351,1.549502017,2.370917291,138.39
14176,JOR,200202,2.737377495,6.121365837,38.50301225,0.929696269,6.121365837,0.256582642,4.907557605,2.399353073,4.204611016,0.602332315,1.597639003,2.813455099,1.490844987,2.35692426,138.24
14177,JOR,200203,2.720278019,6.088384489,38.48175508,0.966418258,6.088384489,0.260994235,4.867759238,2.391547803,4.127857329,0.603273532,1.605970874,2.729769847,1.432187957,2.342931229,140.57
14178,JOR,200204,2.703178542,6.05540314,38.4604979,1.003140247,6.05540314,0.265405827,4.827960871,2.383742534,4.051103642,0.604214749,1.614302745,2.646084595,1.373530927,2.328938198,132.82
14179,JOR,200205,2.682386283,6.01514355,38.44447456,0.916115355,6.01514355,0.176937218,4.732690134,2.337826645,4.17204814,0.567821209,1.388413977,2.566579819,1.382342036,2.312503234,142.51
14180,JOR,200206,2.661594023,5.97488396,38.42845122,0.829090462,5.97488396,0.088468609,4.637419396,2.291910755,4.292992638,0.53142767,1.162525208,2.487075043,1.391153144,2.29606827,153.31
14181,JOR,200207,2.640801764,5.934624369,38.41242788,0.74206557,5.934624369,0,4.542148659,2.245994866,4.413937136,0.495034131,0.93663644,2.407570267,1.399964252,2.279633306,147.92
14182,JOR,200208,2.686677721,5.983839377,38.42745618,0.806386806,5.983839377,0,4.561249392,2.270773827,4.427921821,0.468558222,0.952249082,2.413288348,1.439103584,2.299452047,143.72
14183,JOR,200209,2.732553678,6.033054385,38.44248448,0.870708043,6.033054385,0,4.580350124,2.295552788,4.441906505,0.442082312,0.967861724,2.419006429,1.478242916,2.319270788,140.38
14184,JOR,200210,2.778429635,6.082269393,38.45751279,0.935029279,6.082269393,0,4.599450857,2.320331749,4.45589119,0.415606402,0.983474366,2.42472451,1.517382247,2.33908953,136.07
14185,JOR,200211,2.721463522,5.764131822,38.37712465,1.339823168,5.764131822,0.411317361,4.639600984,2.116982019,4.10106597,0.502710268,1.159103954,2.142386058,1.379444602,2.212619544,138.54
14186,JOR,200212,2.664497408,5.44599425,38.29673652,1.744617056,5.44599425,0.822634721,4.67975111,1.913632288,3.74624075,0.589814133,1.334733542,1.860047606,1.241506957,2.086149559,139.82
14187,JOR,200301,2.607531294,5.127856679,38.21634839,2.149410944,5.127856679,1.233952082,4.719901236,1.710282558,3.39141553,0.676917998,1.51036313,1.577709153,1.103569312,1.959679573,144.26
14188,JOR,200302,2.594683933,5.12276092,38.22063728,2.077961739,5.12276092,1.222546373,4.707935735,1.708422737,3.419534556,0.677623683,1.495989368,1.64318054,1.111761857,1.957951433,137.29
14189,JOR,200303,2.581836572,5.117665161,38.22492616,2.006512534,5.117665161,1.211140664,4.695970234,1.706562916,3.447653582,0.678329368,1.481615606,1.708651927,1.119954402,1.956223292,144.62
14190,JOR,200304,2.56898921,5.112569402,38.22921505,1.935063329,5.112569402,1.199734955,4.684004732,1.704703096,3.475772608,0.679035053,1.467241844,1.774123314,1.128146947,1.954495152,155.10
14191,JOR,200305,2.474351373,4.964967247,38.08693617,1.854209539,4.964967247,1.128691773,4.493066266,1.615616177,3.440901771,0.581576608,1.403340463,1.566197605,0.973702468,1.89142392,161.92
14192,JOR,200306,2.379713536,4.817365092,37.94465728,1.77335575,4.817365092,1.057648591,4.302127799,1.526529259,3.406030935,0.484118163,1.339439082,1.358271897,0.819257989,1.828352688,170.21
14193,JOR,200307,2.285075699,4.669762937,37.8023784,1.69250196,4.669762937,0.986605409,4.111189332,1.437442341,3.371160098,0.386659719,1.275537701,1.150346188,0.66481351,1.765281456,180.54
14194,JOR,200308,2.307181496,4.706605477,37.86618368,1.720155293,4.706605477,1.029482544,4.171749707,1.504939645,3.36905502,0.4827647,1.303979337,1.257625719,0.742698413,1.78225889,185.46
14195,JOR,200309,2.329287293,4.743448017,37.92998896,1.747808627,4.743448017,1.072359678,4.232310081,1.572436948,3.366949942,0.578869682,1.332420974,1.364905249,0.820583317,1.799236324,197.58
14196,JOR,200310,2.35139309,4.780290557,37.99379423,1.775461961,4.780290557,1.115236813,4.292870455,1.639934252,3.364844864,0.674974663,1.36086261,1.47218478,0.89846822,1.816213758,192.99
14197,JOR,200311,2.171675176,4.303761609,37.8955471,1.21669823,4.303761609,0.91237084,3.978814875,1.599521168,2.640897166,0.535115576,1.338971174,1.037625698,1.033729372,1.63187036,210.23
14198,JOR,200312,1.991957262,3.827232662,37.79729997,0.657934499,3.827232662,0.709504868,3.664759295,1.559108085,1.916949467,0.39525649,1.317079737,0.603066616,1.168990525,1.447526962,220.20
14199,JOR,200401,1.812239347,3.350703715,37.69905283,0.099170768,3.350703715,0.506638895,3.350703715,1.518695001,1.193001769,0.255397403,1.295188301,0.168507534,1.304251677,1.263183564,238.40
14200,JOR,200402,1.816937957,3.36467122,37.59624124,0.222054376,3.36467122,0.488282398,3.36467122,1.401131096,1.16306608,0.339529783,1.27372178,0.185863182,1.335901478,1.264961188,233.86
