rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
14488,KAZ,200511,0.663836965,0.748998897,37.4933713,0.672483335,0.748998897,0.096141982,0.748998897,0.748998897,0.253903576,0,0.409263769,0.473404536,0.393208273,0.281516171,258.26
14489,KAZ,200512,0.861115954,1.135684406,37.58275053,0.982653282,1.135684406,0.056154519,1.135684406,1.135684406,0.507807152,0,0.456214149,0.946809072,0.424103158,0.42751267,525.42
14490,KAZ,200601,1.058394943,1.522369915,37.67212977,1.292823229,1.522369915,0.016167056,1.522369915,1.522369915,0.761710728,0,0.503164529,1.420213607,0.454998043,0.57350917,436.60
14491,KAZ,200602,1.027685643,1.478625979,37.66675411,1.279123965,1.478625979,0.025651105,1.478625979,1.478625979,0.755778314,0,0.483381687,1.410521774,0.471328251,0.556955115,714.46
14492,KAZ,200603,0.996976343,1.434882043,37.66137846,1.265424702,1.434882043,0.035135153,1.434882043,1.434882043,0.749845901,0,0.463598846,1.40082994,0.487658459,0.54040106,792.42
14493,KAZ,200604,0.966267043,1.391138106,37.6560028,1.251725438,1.391138106,0.044619201,1.391138106,1.391138106,0.743913487,0,0.443816005,1.391138106,0.503988666,0.523847004,861.05
14494,KAZ,200605,0.958048695,1.382560491,37.6689218,1.18521124,1.382560491,0.029746134,1.382560491,1.382560491,0.793523844,0,0.444478862,1.376503269,0.552995337,0.520793414,704.30
14495,KAZ,200606,0.949830346,1.373982876,37.68184079,1.118697042,1.373982876,0.014873067,1.373982876,1.373982876,0.843134201,0,0.445141718,1.361868432,0.602002007,0.517739824,583.85
14496,KAZ,200607,0.941611998,1.365405261,37.69475979,1.052182843,1.365405261,0,1.365405261,1.365405261,0.892744559,0,0.445804575,1.347233595,0.651008678,0.514686233,597.90
14497,KAZ,200608,0.951642431,1.401858368,37.71188496,1.030518602,1.401858368,0.013850288,1.401858368,1.401858368,0.944385099,0.034492218,0.454030876,1.389743924,0.674451345,0.5286797,632.22
14498,KAZ,200609,0.961672864,1.438311475,37.72901013,1.00885436,1.438311475,0.027700576,1.438311475,1.438311475,0.996025639,0.068984435,0.462257176,1.432254253,0.697894013,0.542673167,684.07
14499,KAZ,200610,0.971703297,1.474764582,37.7461353,0.987190118,1.474764582,0.041550865,1.474764582,1.474764582,1.047666178,0.103476653,0.470483477,1.474764582,0.721336681,0.556666634,693.72
14500,KAZ,200611,0.938588927,1.441867051,37.60846114,0.711019494,1.441867051,0.16971343,1.290651303,1.258806332,0.996883077,0.317136295,0.623387163,1.212840301,0.720330643,0.542354592,823.71
14501,KAZ,200612,0.905474556,1.40896952,37.47078699,0.43484887,1.40896952,0.297875995,1.106538023,1.042848082,0.946099975,0.530795937,0.776290848,0.950916021,0.719324606,0.52804255,1027.55
14502,KAZ,200701,0.872360186,1.376071989,37.33311284,0.158678247,1.376071989,0.426038561,0.922424744,0.826889832,0.895316873,0.744455579,0.929194534,0.688991741,0.718318569,0.513730508,935.70
14503,KAZ,200702,0.864653872,1.389539195,37.30590717,0.105785498,1.389539195,0.420543855,0.909863955,0.815283915,1.04949899,0.809097145,0.93401587,0.847911732,0.792449542,0.518372874,964.15
14504,KAZ,200703,0.856947558,1.4030064,37.27870151,0.052892749,1.4030064,0.41504915,0.897303165,0.803677998,1.203681107,0.873738711,0.938837207,1.006831723,0.866580515,0.52301524,1000.82
14505,KAZ,200704,0.849241243,1.416473606,37.25149584,0,1.416473606,0.409554444,0.884742375,0.792072082,1.357863224,0.938380277,0.943658544,1.165751714,0.940711487,0.527657607,992.74
