rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
14713,KEN,200205,31.99569243,64.09318208,36.37912075,23.86795012,27.60136381,12.09941936,16.06257133,60.61881824,61.90617633,51.80015256,60.38462462,46.78287631,51.15905996,23.31657549,92.68
14714,KEN,200206,32.01508715,64.0732309,36.28040204,24.07220884,27.57837056,11.99480043,16.00704861,60.56858483,62.07224313,51.81806829,60.1960103,46.77864856,51.18062258,23.24606517,94.81
14715,KEN,200207,32.03448186,64.05327973,36.18168334,24.27646757,27.55537731,11.8901815,15.95152589,60.51835143,62.23830993,51.83598401,60.00739598,46.7744208,51.2021852,23.17555484,96.10
14716,KEN,200208,32.02840009,64.06360055,36.24575285,24.04728155,27.78488993,11.84748154,15.86983628,60.61610921,62.24405507,51.81819448,60.05227356,46.75955541,51.25080755,23.22034755,95.92
14717,KEN,200209,32.02231832,64.07392138,36.30982236,23.81809554,28.01440255,11.80478158,15.78814666,60.71386699,62.24980022,51.80040496,60.09715114,46.74469003,51.2994299,23.26514026,98.19
14718,KEN,200210,32.01623655,64.0842422,36.37389187,23.58890952,28.24391517,11.76208162,15.70645704,60.81162476,62.25554536,51.78261543,60.14202873,46.72982464,51.34805224,23.30993296,104.02
14719,KEN,200211,31.76453039,63.67310597,36.33539618,24.19752788,27.5820029,11.91411709,15.23490385,60.46793801,61.63846291,51.2032355,59.73698978,47.2714746,50.23373072,23.13619185,115.12
14720,KEN,200212,31.51282423,63.26196973,36.29690049,24.80614624,26.92009063,12.06615257,14.76335066,60.12425126,61.02138046,50.62385557,59.33195083,47.81312455,49.1194092,22.96245074,139.95
14721,KEN,200301,31.26111807,62.8508335,36.25840479,25.4147646,26.25817836,12.21818805,14.29179747,59.78056451,60.404298,50.04447564,58.92691189,48.35477451,48.00508768,22.78870963,148.74
14722,KEN,200302,31.2193633,62.77268362,36.25005338,25.50718781,26.06921475,12.20434794,14.23797331,59.70724237,60.3776073,50.02980689,58.8249342,48.32822363,47.97294216,22.75514437,170.12
14723,KEN,200303,31.17760853,62.69453373,36.24170196,25.59961101,25.88025114,12.19050784,14.18414915,59.63392024,60.35091659,50.01513813,58.72295651,48.30167275,47.94079664,22.72157911,185.78
14724,KEN,200304,31.13585376,62.61638384,36.23335054,25.69203422,25.69128753,12.17666773,14.130325,59.56059811,60.32422589,50.00046938,58.62097882,48.27512187,47.90865113,22.68801385,226.75
14725,KEN,200305,31.00147267,62.47040433,36.27024766,25.22067161,25.71756753,11.95067454,14.13778307,59.40563024,60.36653918,50.0925519,58.35147598,48.22798782,47.93590356,22.65806264,230.91
14726,KEN,200306,30.86709157,62.32442481,36.30714479,24.749309,25.74384754,11.72468134,14.14524115,59.25066237,60.40885246,50.18463441,58.08197314,48.18085376,47.963156,22.62811143,227.85
14727,KEN,200307,30.73271048,62.17844529,36.34404191,24.27794639,25.77012754,11.49868815,14.15269922,59.09569451,60.45116575,50.27671693,57.8124703,48.13371971,47.99040844,22.59816022,246.87
14728,KEN,200308,30.82635355,62.32868327,36.37718916,24.36430579,25.79964726,11.67921651,14.12227716,59.37112912,60.42766153,50.22663803,58.10158861,48.07532454,48.07678428,22.67352261,264.32
14729,KEN,200309,30.91999663,62.47892125,36.41033641,24.45066519,25.82916699,11.85974487,14.09185511,59.64656374,60.40415731,50.17655913,58.39070692,48.01692937,48.16316012,22.74888501,320.76
14730,KEN,200310,31.0136397,62.62915923,36.44348366,24.53702459,25.85868671,12.04027323,14.06143305,59.92199836,60.38065308,50.12648023,58.67982523,47.9585342,48.24953595,22.82424741,352.16
14731,KEN,200311,30.73343326,61.79348068,37.27033982,23.69876214,25.89356228,12.09609641,14.08016184,59.53926508,59.71720408,49.25218533,58.7108919,49.18311104,47.13076349,23.01682052,462.38
14732,KEN,200312,30.45322683,60.95780214,38.09719598,22.86049968,25.92843784,12.15191958,14.09889063,59.15653181,59.05375507,48.37789043,58.74195857,50.40768789,46.01199102,23.20939363,467.76
14733,KEN,200401,30.17302039,60.1221236,38.92405214,22.02223722,25.96331341,12.20774275,14.11761943,58.77379854,58.39030606,47.50359553,58.77302524,51.63226474,44.89321855,23.40196674,504.78
14734,KEN,200402,30.15914961,60.13893411,38.94707823,21.99674626,26.00904508,12.20204536,14.08487805,58.86103151,58.37533438,47.54085937,58.77195796,51.74365877,44.90628814,23.42236546,534.83
14735,KEN,200403,30.14527884,60.15574462,38.97010433,21.9712553,26.05477676,12.19634797,14.05213667,58.94826447,58.36036271,47.57812322,58.77089068,51.85505281,44.91935772,23.44276418,440.50
14736,KEN,200404,30.13140806,60.17255513,38.99313042,21.94576434,26.10050843,12.19065059,14.01939529,59.03549744,58.34539103,47.61538707,58.7698234,51.96644685,44.9324273,23.4631629,435.15
14737,KEN,200405,30.16547445,60.19439744,38.96376012,22.08898076,26.18934589,12.19937832,14.01543407,59.05462772,58.3485758,47.6069736,58.80693271,52.0358549,44.96154069,23.4539878,403.90
14738,KEN,200406,30.19954084,60.21623975,38.93438982,22.23219717,26.27818336,12.20810605,14.01147284,59.07375799,58.35176057,47.59856013,58.84404202,52.10526296,44.99065407,23.44481269,378.54
14739,KEN,200407,30.23360723,60.23808206,38.90501952,22.37541358,26.36702083,12.21683378,14.00751162,59.09288826,58.35494535,47.59014667,58.88115134,52.17467101,45.01976746,23.43563759,395.75
14740,KEN,200408,30.20712056,60.21644726,38.92020969,22.4140849,26.18972632,12.2371192,14.07861056,59.04071142,58.38502593,47.55120039,58.81344609,52.21422043,44.92718066,23.43636097,412.50
14741,KEN,200409,30.18063389,60.19481246,38.93539986,22.45275622,26.01243181,12.25740462,14.1497095,58.98853457,58.41510652,47.51225412,58.74574084,52.25376985,44.83459385,23.43708435,412.15
