rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
16832,LKA,200012,1.590198928,7.848966771,36.20548728,4.148090785,0,2.155391023,0,5.070058031,4.880793995,3.163607181,3.842276699,3.612561037,7.848966771,2.831239833,100.00
16833,LKA,200101,2.047438369,7.472441787,37.6020524,1.921127809,0,3.166118413,0,6.342486535,5.45630438,3.078627249,4.415424787,4.368528245,7.472441787,2.809791476,90.42
16834,LKA,200102,2.041136267,7.460916298,37.59497639,1.936028959,0.001817274,3.14265503,0,6.353875693,5.451763992,3.087514367,4.407631865,4.346165864,7.460916298,2.804931352,95.79
16835,LKA,200103,2.034834165,7.449390808,37.58790038,1.950930109,0.003634547,3.119191648,0,6.365264851,5.447223603,3.096401485,4.399838943,4.323803482,7.449390808,2.800071227,89.82
16836,LKA,200104,2.028532062,7.437865319,37.58082437,1.965831259,0.005451821,3.095728265,0,6.37665401,5.442683215,3.105288603,4.392046021,4.301441101,7.437865319,2.795211103,84.22
16837,LKA,200105,2.026123738,7.428603051,37.56352278,2.013200234,0.003634547,3.151115025,0,6.316483094,5.357587741,3.075764157,4.391946831,4.268614192,7.428259155,2.790448204,84.27
16838,LKA,200106,2.023715414,7.419340783,37.54622118,2.060569209,0.001817274,3.206501785,0,6.256312179,5.272492268,3.046239711,4.39184764,4.235787284,7.418652992,2.785685306,87.21
16839,LKA,200107,2.021307089,7.410078515,37.52891959,2.107938184,0,3.261888545,0,6.196141263,5.187396795,3.016715266,4.39174845,4.202960375,7.409046828,2.780922407,85.40
16840,LKA,200108,2.014358081,7.379598628,37.53933894,2.155311215,0,3.228604779,0,6.2069159,5.192089434,3.008268987,4.38036922,4.172116725,7.378910837,2.77024619,82.83
16841,LKA,200109,2.007409072,7.349118741,37.54975829,2.202684246,0,3.195321013,0,6.217690537,5.196782072,2.999822708,4.368989991,4.141273074,7.348774845,2.759569972,79.54
16842,LKA,200110,2.000460063,7.318638854,37.56017764,2.250057276,0,3.162037246,0,6.228465174,5.201474711,2.99137643,4.357610761,4.110429423,7.318638854,2.748893754,118.48
16843,LKA,200111,2.027260076,7.130150742,37.81617497,2.129472457,0.213348278,2.996217743,0.1532483,6.15708223,4.673812478,2.937790119,4.031541032,3.492936224,7.0590652,2.695385231,117.66
16844,LKA,200112,2.054060088,6.941662631,38.0721723,2.008887637,0.426696555,2.830398239,0.306496599,6.085699287,4.146150245,2.884203809,3.705471303,2.875443026,6.799491546,2.641876708,143.01
16845,LKA,200201,2.080860101,6.753174519,38.32816963,1.888302817,0.640044833,2.664578735,0.459744899,6.014316344,3.618488012,2.830617499,3.379401574,2.257949827,6.539917892,2.588368185,121.12
16846,LKA,200202,2.096820373,6.762844749,38.35134584,1.899537714,0.737735779,2.660621846,0.483913026,6.04627177,3.698101297,2.816890538,3.405258653,2.323669405,6.59244573,2.593646461,133.35
16847,LKA,200203,2.112780645,6.772514979,38.37452205,1.910772612,0.835426725,2.656664957,0.508081153,6.078227195,3.777714582,2.803163576,3.431115731,2.389388983,6.644973568,2.598924736,137.08
16848,LKA,200204,2.128740917,6.782185209,38.39769826,1.922007509,0.933117672,2.652708067,0.53224928,6.11018262,3.857327868,2.789436614,3.45697281,2.455108561,6.697501405,2.604203012,140.54
16849,LKA,200205,2.120241579,6.76420586,38.35459163,1.901183038,0.806419588,2.57954037,0.544896715,6.039240174,3.96551124,2.803697133,3.288117298,2.342123424,6.643534703,2.594399035,161.66
16850,LKA,200206,2.111742241,6.746226512,38.31148499,1.880358567,0.679721505,2.506372673,0.55754415,5.968297727,4.073694611,2.817957651,3.119261787,2.229138287,6.589568001,2.584595058,170.52
16851,LKA,200207,2.103242903,6.728247163,38.26837836,1.859534097,0.553023422,2.433204975,0.570191586,5.897355281,4.181877983,2.83221817,2.950406275,2.116153149,6.535601299,2.574791081,166.92
16852,LKA,200208,2.133080528,6.746880976,38.28852427,1.927607207,0.698377273,2.434277007,0.519265427,5.931079765,4.202668769,2.798777491,2.977156027,2.165339361,6.55064802,2.583288668,186.23
16853,LKA,200209,2.162918153,6.76551479,38.30867017,1.995680317,0.843731125,2.435349039,0.468339268,5.964804248,4.223459556,2.765336812,3.003905779,2.214525573,6.56569474,2.591786254,208.01
16854,LKA,200210,2.192755778,6.784148604,38.32881608,2.063753427,0.989084976,2.436421071,0.417413109,5.998528732,4.244250342,2.731896134,3.030655531,2.263711786,6.580741461,2.600283841,194.18
16855,LKA,200211,2.095786836,6.542100153,38.47266498,2.414315842,0.659389984,2.442929195,0.357543827,6.018353572,3.837570539,2.799304291,3.251700479,2.26519282,6.137974503,2.516223907,186.64
16856,LKA,200212,1.998817894,6.300051703,38.61651389,2.764878257,0.329694992,2.449437318,0.297674546,6.038178413,3.430890737,2.866712447,3.472745427,2.266673854,5.695207545,2.432163973,191.49
16857,LKA,200301,1.901848952,6.058003253,38.76036279,3.115440672,0,2.455945441,0.237805264,6.058003253,3.024210934,2.934120604,3.693790374,2.268154888,5.252440587,2.348104039,186.73
16858,LKA,200302,1.885748832,6.030844478,38.74214556,3.13702395,0,2.434639566,0.193435032,6.030844478,2.992099696,2.920798351,3.666320234,2.231354031,5.238952098,2.336488441,173.06
16859,LKA,200303,1.869648711,6.003685704,38.72392832,3.158607229,0,2.413333691,0.1490648,6.003685704,2.959988458,2.907476098,3.638850094,2.194553175,5.225463608,2.324872844,174.62
16860,LKA,200304,1.85354859,5.976526929,38.70571108,3.180190507,0,2.392027816,0.104694568,5.976526929,2.927877221,2.894153844,3.611379954,2.157752319,5.211975119,2.313257246,197.11
16861,LKA,200305,1.844921332,5.934803732,38.63160908,3.163626768,0,2.393340616,0.100928782,5.934803732,2.862095104,2.828549909,3.566971442,2.093339473,5.117902104,2.292772013,215.71
16862,LKA,200306,1.836294073,5.893080536,38.55750709,3.14706303,0,2.394653416,0.097162995,5.893080536,2.796312987,2.762945975,3.52256293,2.028926627,5.023829088,2.272286781,310.13
16863,LKA,200307,1.827666815,5.851357339,38.48340509,3.130499291,0,2.395966216,0.093397209,5.851357339,2.73053087,2.69734204,3.478154418,1.964513781,4.929756073,2.251801548,300.13
16864,LKA,200308,1.808220687,5.819005669,38.46917768,3.128042577,0,2.38707426,0.087594353,5.819005669,2.714510305,2.691294138,3.433860287,1.912977955,4.920297758,2.238532836,310.32
16865,LKA,200309,1.78877456,5.786653998,38.45495028,3.125585864,0,2.378182304,0.081791497,5.786653998,2.698489739,2.685246237,3.389566156,1.861442129,4.910839443,2.225264123,371.33
16866,LKA,200310,1.769328432,5.754302327,38.44072287,3.12312915,0,2.369290348,0.07598864,5.754302327,2.682469174,2.679198335,3.345272025,1.809906304,4.901381128,2.211995411,393.08
16867,LKA,200311,1.877527093,5.686947996,38.5753626,3.615681845,0,1.998459671,0.200596585,5.650716443,2.780502885,2.818525321,3.557641726,2.277447734,4.914883233,2.193579439,333.02
16868,LKA,200312,1.985725754,5.619593664,38.71000233,4.108234539,0,1.627628993,0.325204529,5.547130558,2.878536597,2.957852307,3.770011427,2.744989165,4.928385337,2.175163467,279.10
16869,LKA,200401,2.093924414,5.552239333,38.84464205,4.600787233,0,1.256798316,0.449812473,5.443544674,2.976570309,3.097179293,3.982381128,3.212530596,4.941887441,2.156747495,320.80
16870,LKA,200402,2.088714247,5.546924072,38.81199152,4.649990831,0,1.314591835,0.466462308,5.37079313,2.814882652,3.092124302,3.959234589,3.138148809,4.794150362,2.152875171,303.22
16871,LKA,200403,2.08350408,5.541608811,38.77934098,4.699194429,0,1.372385353,0.483112143,5.298041586,2.653194994,3.087069311,3.93608805,3.063767023,4.646413283,2.149002847,302.61
16872,LKA,200404,2.078293913,5.53629355,38.74669044,4.748398026,0,1.430178871,0.499761978,5.225290042,2.491507336,3.082014319,3.912941511,2.989385236,4.498676204,2.145130524,281.77
16873,LKA,200405,2.063134706,5.505458159,38.73511709,4.77313899,0,1.407182317,0.431571234,5.218310969,2.486063251,3.050716607,3.910965951,3.021688699,4.49955405,2.132552801,304.14
16874,LKA,200406,2.047975499,5.474622768,38.72354374,4.797879953,0,1.384185763,0.36338049,5.211331897,2.480619165,3.019418895,3.908990391,3.053992161,4.500431895,2.119975079,311.43
16875,LKA,200407,2.032816291,5.443787376,38.71197038,4.822620916,0,1.361189208,0.295189745,5.204352825,2.475175079,2.988121183,3.90701483,3.086295624,4.501309741,2.107397357,315.71
16876,LKA,200408,2.057712995,5.48616912,38.71530425,4.833204921,0,1.348301775,0.338272929,5.255175643,2.543468445,3.000578264,3.913370672,3.127419338,4.535976816,2.123989893,300.71
16877,LKA,200409,2.082609699,5.528550864,38.71863812,4.843788927,0,1.335414341,0.381356113,5.305998461,2.61176181,3.013035345,3.919726513,3.168543051,4.570643891,2.140582428,305.19
16878,LKA,200410,2.107506403,5.570932608,38.72197199,4.854372932,0,1.322526907,0.424439297,5.356821278,2.680055175,3.025492426,3.926082355,3.209666765,4.605310965,2.157174964,320.41
16879,LKA,200411,1.763938345,5.210317617,38.79567428,4.717647659,0,1.341206278,0.433604459,5.067576731,2.659589639,3.088048271,4.0109471,3.036647749,4.472051511,2.020846289,312.36
16880,LKA,200412,1.420370287,4.849702626,38.86937657,4.580922386,0,1.359885649,0.442769621,4.778332183,2.639124103,3.150604116,4.095811846,2.863628734,4.338792057,1.884517613,309.29
16881,LKA,200501,1.07680223,4.489087635,38.94307886,4.444197114,0,1.37856502,0.451934783,4.489087635,2.618658567,3.21315996,4.180676591,2.690609718,4.205532603,1.748188938,371.59
16882,LKA,200502,1.094720309,4.520593998,38.9793791,4.399481394,0,1.387870553,0.493209041,4.520593998,2.751228362,3.190252787,4.219913971,2.771279191,4.254947319,1.762122346,384.04
16883,LKA,200503,1.112638387,4.552100361,39.01567933,4.354765674,0,1.397176086,0.5344833,4.552100361,2.883798157,3.167345614,4.259151351,2.851948665,4.304362034,1.776055754,383.80
16884,LKA,200504,1.130556466,4.583606725,39.05197957,4.310049954,0,1.406481619,0.575757558,4.583606725,3.016367951,3.14443844,4.298388731,2.932618138,4.35377675,1.789989162,422.60
16885,LKA,200505,1.146747696,4.605590841,39.05868055,4.330055955,0,1.463824186,0.62992717,4.605590841,2.94792545,3.160390574,4.292969729,2.869656694,4.299739419,1.79888596,436.05
16886,LKA,200506,1.162938925,4.627574957,39.06538153,4.350061956,0,1.521166753,0.684096783,4.627574957,2.879482949,3.176342707,4.287550727,2.806695251,4.245702088,1.807782759,429.39
16887,LKA,200507,1.179130154,4.649559074,39.07208252,4.370067957,0,1.57850932,0.738266395,4.649559074,2.811040448,3.192294841,4.282131725,2.743733807,4.191664757,1.816679558,429.62
16888,LKA,200508,1.147342501,4.60695907,39.05056229,4.356299901,0,1.541634916,0.656217758,4.60695907,2.800884328,3.193359019,4.256944942,2.750738285,4.205505564,1.799061757,442.06
16889,LKA,200509,1.115554848,4.564359067,39.02904206,4.342531844,0,1.504760512,0.57416912,4.564359067,2.790728207,3.194423198,4.231758159,2.757742764,4.219346371,1.781443955,524.86
16890,LKA,200510,1.083767195,4.521759063,39.00752184,4.328763788,0,1.467886108,0.492120483,4.521759063,2.780572087,3.195487376,4.206571376,2.764747242,4.233187178,1.763826154,522.43
16891,LKA,200511,1.091025105,4.440107216,38.88925218,4.311443699,0,1.206081156,0.860688862,4.440107216,2.556615246,2.739306212,4.133472402,2.230409513,3.705967589,1.726917631,480.08
16892,LKA,200512,1.098283015,4.358455369,38.77098251,4.29412361,0,0.944276204,1.229257242,4.358455369,2.332658405,2.283125047,4.060373428,1.696071783,3.178748001,1.690009108,412.76
16893,LKA,200601,1.105540925,4.276803521,38.65271285,4.276803521,0,0.682471252,1.597825622,4.276803521,2.108701564,1.826943883,3.987274453,1.161734053,2.651528412,1.653100584,438.51
16894,LKA,200602,1.097761486,4.284733364,38.65170032,4.284733364,0.003369298,0.611478164,1.557021497,4.284733364,2.249585535,1.854225056,4.010156582,1.26331239,2.778961085,1.656122139,462.15
16895,LKA,200603,1.089982047,4.292663206,38.65068779,4.292663206,0.006738595,0.540485076,1.516217373,4.292663206,2.390469507,1.881506229,4.033038712,1.364890726,2.906393758,1.659143693,470.15
16896,LKA,200604,1.082202607,4.300593048,38.64967526,4.300593048,0.010107893,0.469491988,1.475413249,4.300593048,2.531353478,1.908787401,4.055920841,1.466469062,3.033826431,1.662165247,453.99
16897,LKA,200605,1.111296477,4.336909438,38.67586272,4.336909438,0.006738595,0.526083795,1.566901105,4.336909438,2.441162571,1.93274871,4.071859452,1.369241685,2.955200101,1.677356161,456.79
16898,LKA,200606,1.140390347,4.373225827,38.70205019,4.373225827,0.003369298,0.582675603,1.658388961,4.373225827,2.350971664,1.956710019,4.087798063,1.272014307,2.87657377,1.692547075,448.47
16899,LKA,200607,1.169484217,4.409542216,38.72823765,4.409542216,0,0.63926741,1.749876818,4.409542216,2.260780757,1.980671328,4.103736674,1.17478693,2.797947439,1.707737989,449.24
16900,LKA,200608,1.140757955,4.377343514,38.70690996,4.377343514,0,0.572316552,1.692453799,4.377343514,2.354121951,2.003112028,4.08570671,1.234648938,2.91483718,1.694348147,457.84
16901,LKA,200609,1.112031692,4.345144812,38.68558226,4.345144812,0,0.505365694,1.635030781,4.345144812,2.447463144,2.025552729,4.067676746,1.294510946,3.031726922,1.680958305,481.95
16902,LKA,200610,1.083305429,4.31294611,38.66425457,4.31294611,0,0.438414837,1.577607763,4.31294611,2.540804338,2.047993429,4.049646783,1.354372955,3.148616663,1.667568464,496.27
16903,LKA,200611,1.065170641,4.335978091,38.56468771,4.209234452,0,0.444032927,1.437628456,4.185976775,2.718720016,1.936430671,3.565697164,1.161428296,2.542986059,1.672110546,593.64
16904,LKA,200612,1.047035852,4.359010072,38.46512085,4.105522795,0,0.449651018,1.29764915,4.059007439,2.896635694,1.824867914,3.081747545,0.968483638,1.937355456,1.676652628,600.21
16905,LKA,200701,1.028901064,4.382042054,38.36555399,4.001811137,0,0.455269108,1.157669843,3.932038104,3.074551371,1.713305157,2.597797926,0.77553898,1.331724853,1.68119471,650.44
