rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
17633,MAR,200012,16.97378707,36.68772676,39.70386287,13.38953454,13.86552017,16.87048443,15.43905553,21.40555506,23.03127015,17.46927386,21.88190109,13.60348156,21.44095809,14.56298752,100.00
17634,MAR,200101,17.21764505,33.6594096,39.76094411,12.81217483,14.80373561,19.05223514,17.28144456,16.80567479,21.52085156,18.56019851,21.7102892,14.24406081,18.70469328,13.38329904,95.39
17635,MAR,200102,17.20081566,33.64632426,39.74754466,12.73703647,14.92711197,18.99973312,17.24017495,16.85105129,21.63534258,18.54993765,21.72255998,14.34697741,18.79391736,13.37359127,105.83
17636,MAR,200103,17.18398627,33.63323892,39.73414521,12.6618981,15.05048834,18.9472311,17.19890535,16.89642778,21.7498336,18.53967678,21.73483076,14.44989401,18.88314144,13.3638835,100.93
17637,MAR,200104,17.16715688,33.62015359,39.72074576,12.58675974,15.17386471,18.89472909,17.15763574,16.94180427,21.86432462,18.52941592,21.74710154,14.55281061,18.97236552,13.35417573,93.44
17638,MAR,200105,17.17778302,33.65917563,39.72644085,12.53299389,15.17661659,18.89191697,17.18602636,16.96045317,21.89930655,18.58958209,21.75092143,14.54251176,19.00614105,13.37159694,90.61
17639,MAR,200106,17.18840916,33.69819766,39.73213594,12.47922805,15.17936846,18.88910485,17.21441698,16.97910207,21.93428848,18.64974826,21.75474132,14.5322129,19.03991658,13.38901815,87.53
17640,MAR,200107,17.1990353,33.7372197,39.73783103,12.4254622,15.18212034,18.88629273,17.24280761,16.99775096,21.96927041,18.70991443,21.7585612,14.52191404,19.0736921,13.40643936,85.28
17641,MAR,200108,17.21991325,33.72838911,39.75480861,12.51688265,15.0849844,18.93993729,17.26470613,16.96145326,21.83027402,18.71814967,21.74388891,14.3991638,18.99542809,13.40865354,92.35
17642,MAR,200109,17.24079121,33.71955852,39.7717862,12.6083031,14.98784847,18.99358185,17.28660465,16.92515555,21.69127764,18.7263849,21.72921662,14.27641355,18.91716407,13.41086772,89.15
17643,MAR,200110,17.26166916,33.71072793,39.78876378,12.69972355,14.89071253,19.0472264,17.30850318,16.88885785,21.55228126,18.73462014,21.71454433,14.15366331,18.83890005,13.41308191,83.59
17644,MAR,200111,16.83820077,32.89368819,39.80752905,12.22837678,14.66396833,18.72345134,16.60436888,16.39171747,20.88423808,18.08192717,21.43692208,14.17825957,18.22113374,13.09385784,86.97
17645,MAR,200112,16.41473238,32.07664845,39.82629432,11.75703001,14.43722413,18.39967627,15.90023459,15.8945771,20.21619491,17.42923421,21.15929984,14.20285584,17.60336743,12.77463378,85.97
17646,MAR,200201,15.99126398,31.2596087,39.84505958,11.28568324,14.21047993,18.0759012,15.1961003,15.39743672,19.54815173,16.77654125,20.8816776,14.2274521,16.98560112,12.45540971,80.17
