rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
18701,MEX,200012,3.578685764,9.842699979,40.22741571,0.74921278,1.425016114,5.073314674,1.069508682,5.292137254,7.716496404,2.019384003,3.67612018,5.258769812,6.867090219,3.954875697,100.00
18702,MEX,200101,4.653542018,10.128601,39.42501555,1.12381917,2.13752417,5.431179158,1.604263022,7.791453444,9.680033068,2.56081369,5.514180271,7.888154718,7.604407082,3.993202521,115.08
18703,MEX,200102,4.651884522,10.10494083,39.36052012,1.107565368,2.082349602,5.398118559,1.585322509,7.748104105,9.644102035,2.490430062,5.507401479,7.778999218,7.549965729,3.977387788,107.22
18704,MEX,200103,4.650227026,10.08128066,39.29602468,1.091311566,2.027175034,5.36505796,1.566381995,7.704754767,9.608171002,2.420046435,5.500622688,7.669843718,7.495524376,3.961573055,103.77
18705,MEX,200104,4.64856953,10.05762049,39.23152924,1.075057765,1.972000466,5.331997362,1.547441482,7.661405428,9.572239968,2.349662807,5.493843897,7.560688218,7.441083023,3.945758322,113.69
18706,MEX,200105,4.611959325,10.01864795,39.29667005,0.977736247,2.008361614,5.334741192,1.533887744,7.810296128,9.518703701,2.331306461,5.483620616,7.614810253,7.451827288,3.936944256,123.13
18707,MEX,200106,4.57534912,9.979675421,39.36181086,0.880414729,2.044722762,5.337485023,1.520334005,7.959186829,9.465167433,2.312950116,5.473397335,7.668932288,7.462571553,3.92813019,125.02
18708,MEX,200107,4.538738915,9.940702888,39.42695167,0.783093211,2.08108391,5.340228853,1.506780267,8.108077529,9.411631165,2.29459377,5.463174054,7.723054323,7.473315817,3.919316124,120.87
18709,MEX,200108,4.533810969,9.938868077,39.44805245,0.783366999,2.122993703,5.29126334,1.481048822,8.119804701,9.488340865,2.306000551,5.503580272,7.732856052,7.55330254,3.920689117,117.73
18710,MEX,200109,4.528883023,9.937033265,39.46915323,0.783640788,2.164903497,5.242297827,1.455317377,8.131531873,9.565050565,2.317407333,5.54398649,7.742657781,7.633289263,3.922062111,99.36
18711,MEX,200110,4.523955077,9.935198453,39.490254,0.783914577,2.20681329,5.193332315,1.429585932,8.143259045,9.641760265,2.328814114,5.584392709,7.752459509,7.713275985,3.923435105,105.62
18712,MEX,200111,4.260117454,9.415244608,39.34331935,0.902227159,2.163052432,4.88102041,1.204419111,7.751122352,8.925320893,2.16185899,5.296976098,6.894570172,7.351185442,3.705797738,109.30
18713,MEX,200112,3.996279831,8.895290763,39.19638469,1.020539742,2.119291574,4.568708506,0.979252291,7.358985659,8.20888152,1.994903865,5.009559487,6.036680835,6.989094899,3.488160371,118.41
18714,MEX,200201,3.732442208,8.375336918,39.04945003,1.138852324,2.075530715,4.256396601,0.75408547,6.966848966,7.492442147,1.827948741,4.722142876,5.178791499,6.627004355,3.270523005,128.74
18715,MEX,200202,3.73178039,8.353090669,39.01653556,1.196823871,2.081615627,4.27275268,0.781503449,6.935093113,7.520550717,1.828813008,4.73376511,5.291817015,6.598460868,3.259101236,125.46
18716,MEX,200203,3.731118571,8.33084442,38.98362109,1.254795418,2.087700539,4.289108759,0.808921428,6.903337261,7.548659286,1.829677275,4.745387345,5.40484253,6.56991738,3.247679467,138.88
18717,MEX,200204,3.730456753,8.308598171,38.95070662,1.312766964,2.093785451,4.305464838,0.836339407,6.871581409,7.576767856,1.830541542,4.757009579,5.517868046,6.541373892,3.236257698,136.62
18718,MEX,200205,3.700246843,8.267503393,38.99952154,1.234099235,2.049035381,4.283658238,0.759347456,6.788448878,7.514635011,1.81970984,4.761389539,5.461248456,6.517599404,3.224246645,125.64
18719,MEX,200206,3.670036932,8.226408615,39.04833645,1.155431506,2.004285311,4.261851638,0.682355504,6.705316348,7.452502166,1.808878139,4.765769499,5.404628867,6.493824915,3.212235593,112.86
18720,MEX,200207,3.639827022,8.185313837,39.09715137,1.076763777,1.959535241,4.240045038,0.605363553,6.622183817,7.390369321,1.798046437,4.770149459,5.348009277,6.470050427,3.200224541,104.86
18721,MEX,200208,3.643935293,8.193485031,39.01234551,1.025890554,2.031791918,4.106973258,0.581788203,6.631667041,7.599097425,1.766747369,4.578052041,5.396334404,6.464777606,3.19645683,107.50
18722,MEX,200209,3.648043563,8.201656225,38.92753965,0.975017331,2.104048595,3.973901477,0.558212853,6.641150264,7.807825528,1.7354483,4.385954623,5.444659532,6.459504785,3.19268912,95.94
18723,MEX,200210,3.652151834,8.20982742,38.84273379,0.924144108,2.176305273,3.840829697,0.534637504,6.650633488,8.016553632,1.704149232,4.193857205,5.49298466,6.454231964,3.188921409,102.26
18724,MEX,200211,3.519143951,7.907016528,38.95202842,1.258370291,1.798682457,4.001942404,0.356425002,6.677788173,7.516222758,1.287675671,4.486622873,5.289381261,6.101948374,3.079281413,107.09
18725,MEX,200212,3.386136068,7.604205636,39.06132305,1.592596473,1.421059642,4.163055112,0.178212501,6.704942858,7.015891883,0.871202111,4.779388542,5.085777861,5.749664784,2.969641416,102.64
18726,MEX,200301,3.253128185,7.301394744,39.17061767,1.926822656,1.043436826,4.32416782,0,6.732097544,6.515561009,0.45472855,5.07215421,4.882174462,5.397381193,2.86000142,97.23
18727,MEX,200302,3.237306129,7.282979233,39.18031224,1.916950129,1.015652004,4.30092804,0,6.670623704,6.482656337,0.463778083,5.056996955,4.82283176,5.400171825,2.853490433,94.97
18728,MEX,200303,3.221484074,7.264563722,39.19000681,1.907077602,0.987867182,4.27768826,0,6.609149865,6.449751665,0.472827616,5.041839701,4.763489058,5.402962457,2.846979447,96.57
18729,MEX,200304,3.205662018,7.246148211,39.19970138,1.897205075,0.96008236,4.25444848,0,6.547676026,6.416846993,0.481877148,5.026682446,4.704146356,5.405753088,2.84046846,110.85
18730,MEX,200305,3.197936624,7.258659494,39.12865478,1.95700278,0.979796245,4.205246988,0,6.601827166,6.409363498,0.531563776,5.008055487,4.726862388,5.448995305,2.840198037,113.92
18731,MEX,200306,3.190211231,7.271170776,39.05760818,2.016800484,0.99951013,4.156045496,0,6.655978306,6.401880004,0.581250403,4.989428528,4.74957842,5.492237521,2.839927614,118.50
18732,MEX,200307,3.182485837,7.283682058,38.98656158,2.076598189,1.019224016,4.106844004,0,6.710129446,6.39439651,0.63093703,4.970801568,4.772294452,5.535479737,2.839657191,123.58
18733,MEX,200308,3.14328782,7.209794189,38.95986371,2.095217373,0.920385398,4.055232032,0,6.653147107,6.397284228,0.648305563,4.926717602,4.710699055,5.554392007,2.808965443,121.50
18734,MEX,200309,3.104089803,7.13590632,38.93316585,2.113836557,0.821546781,4.003620061,0,6.596164769,6.400171946,0.665674096,4.882633636,4.649103657,5.573304277,2.778273695,123.96
18735,MEX,200310,3.064891787,7.062018451,38.90646799,2.13245574,0.722708164,3.952008089,0,6.53918243,6.403059664,0.683042629,4.838549669,4.58750826,5.592216547,2.747581948,127.11
18736,MEX,200311,2.864420656,6.657842009,38.99397412,1.951543111,1.110144742,3.764050009,0,6.149795345,5.678053489,0.501306812,4.477944686,3.811705446,4.965660952,2.595449832,131.85
18737,MEX,200312,2.663949525,6.253665568,39.08148025,1.770630481,1.49758132,3.576091928,0,5.760408261,4.953047313,0.319570996,4.117339704,3.035902633,4.339105357,2.443317716,136.33
18738,MEX,200401,2.463478395,5.849489127,39.16898639,1.589717851,1.885017898,3.388133847,0,5.371021177,4.228041138,0.13783518,3.756734721,2.26009982,3.712549763,2.2911856,147.93
18739,MEX,200402,2.454682432,5.839464336,39.16597299,1.591990971,1.790547225,3.427605357,0,5.34281249,4.165273014,0.144317375,3.730415437,2.22195545,3.661590839,2.287083629,156.14
18740,MEX,200403,2.445886469,5.829439545,39.1629596,1.594264091,1.696076552,3.467076867,0,5.314603804,4.10250489,0.15079957,3.704096152,2.183811081,3.610631915,2.282981658,163.46
18741,MEX,200404,2.437090506,5.819414755,39.1599462,1.596537211,1.60160588,3.506548376,0,5.286395117,4.039736766,0.157281765,3.677776868,2.145666712,3.559672992,2.278879687,151.76
18742,MEX,200405,2.456927515,5.857547908,39.15461458,1.572439663,1.694141359,3.509479881,0,5.302805057,4.069970355,0.146457671,3.681314692,2.221664653,3.542686644,2.293496241,153.60
18743,MEX,200406,2.476764524,5.895681062,39.14928295,1.548342115,1.786676838,3.512411385,0,5.319214997,4.100203944,0.135633576,3.684852515,2.297662594,3.525700295,2.308112795,156.33
18744,MEX,200407,2.496601533,5.933814216,39.14395132,1.524244567,1.879212317,3.515342889,0,5.335624937,4.130437533,0.124809482,3.688390339,2.373660535,3.508713947,2.322729348,153.91
18745,MEX,200408,2.505897243,5.929185894,39.13373201,1.533599848,1.972003091,3.513964267,0,5.349290475,4.217837191,0.160206622,3.669089758,2.496837199,3.572390056,2.320312664,155.85
18746,MEX,200409,2.515192954,5.924557572,39.12351269,1.542955129,2.064793865,3.512585644,0,5.362956012,4.30523685,0.195603761,3.649789176,2.620013864,3.636066164,2.31789598,164.96
18747,MEX,200410,2.524488664,5.91992925,39.11329338,1.55231041,2.157584639,3.511207021,0,5.37662155,4.392636508,0.2310009,3.630488595,2.743190529,3.699742273,2.315479295,174.00
18748,MEX,200411,2.498808027,5.900344151,39.12299067,1.034873607,2.287262591,3.42260972,0.364786166,5.307296302,4.477317839,0.380295105,3.340710052,2.719295831,3.670797209,2.308387293,186.88
18749,MEX,200412,2.473127391,5.880759051,39.13268797,0.517436803,2.416940543,3.33401242,0.729572332,5.237971054,4.561999169,0.529589309,3.05093151,2.695401134,3.641852146,2.301295291,202.20
18750,MEX,200501,2.447446754,5.861173951,39.14238527,0,2.546618496,3.245415119,1.094358498,5.168645806,4.6466805,0.678883513,2.761152967,2.671506436,3.612907082,2.294203289,202.49
18751,MEX,200502,2.459971224,5.877306304,39.13392445,0,2.675696672,3.227159405,1.09694455,5.198277616,4.742504543,0.705246118,2.781957286,2.77007673,3.660433851,2.300017879,218.29
18752,MEX,200503,2.472495695,5.893438658,39.12546363,0,2.804774847,3.208903691,1.099530602,5.227909426,4.838328586,0.731608723,2.802761604,2.868647024,3.70796062,2.305832469,197.44
18753,MEX,200504,2.485020166,5.909571011,39.11700281,0,2.933853023,3.190647977,1.102116654,5.257541235,4.934152629,0.757971327,2.823565923,2.967217318,3.755487389,2.311647058,193.24
18754,MEX,200505,2.455345428,5.867573317,39.11074945,0,2.826362783,3.217894537,1.109728887,5.208252017,4.801362086,0.725575265,2.783362672,2.903380904,3.677660349,2.294857151,210.36
18755,MEX,200506,2.425670691,5.825575622,39.1044961,0,2.718872543,3.245141096,1.117341121,5.158962798,4.668571543,0.693179203,2.743159421,2.839544489,3.59983331,2.278067244,222.62
18756,MEX,200507,2.395995953,5.783577928,39.09824274,0,2.611382303,3.272387655,1.124953354,5.10967358,4.535781,0.660783141,2.70295617,2.775708074,3.52200627,2.261277337,243.33
18757,MEX,200508,2.39658482,5.763982477,39.06608401,0,2.680280971,3.249077111,1.080247143,5.093702554,4.532780279,0.631866595,2.698519907,2.817283079,3.516379079,2.25177484,240.14
18758,MEX,200509,2.397173688,5.744387025,39.03392529,0,2.749179639,3.225766566,1.035540931,5.077731529,4.529779558,0.602950049,2.694083643,2.858858084,3.510751889,2.242272343,271.71
18759,MEX,200510,2.397762555,5.724791574,39.00176656,0,2.818078307,3.202456022,0.990834719,5.061760503,4.526778837,0.574033503,2.68964738,2.900433089,3.505124698,2.232769846,265.59
18760,MEX,200511,2.126854102,5.296500395,38.99880144,0.244869596,2.581902568,2.98771519,1.185365676,4.845198041,4.155875839,0.749020359,2.260908083,3.259271337,3.427996267,2.065597071,287.74
18761,MEX,200512,1.855945649,4.868209216,38.99583632,0.489739193,2.34572683,2.772974357,1.379896632,4.62863558,3.784972841,0.924007214,1.832168787,3.618109584,3.350867836,1.898424296,301.51
18762,MEX,200601,1.585037195,4.439918037,38.9928712,0.734608789,2.109551092,2.558233525,1.574427588,4.412073118,3.414069844,1.09899407,1.40342949,3.976947832,3.273739405,1.731251521,326.57
18763,MEX,200602,1.568116417,4.421359674,39.00078696,0.781432084,2.016587071,2.540835568,1.546786903,4.39611404,3.36740359,1.083813006,1.38201292,3.873135754,3.273681399,1.724362129,321.98
18764,MEX,200603,1.551195638,4.402801311,39.00870273,0.828255379,1.923623049,2.523437612,1.519146218,4.380154962,3.320737336,1.068631942,1.360596351,3.769323676,3.273623394,1.717472737,322.86
18765,MEX,200604,1.534274859,4.384242948,39.0166185,0.875078674,1.830659028,2.506039655,1.491505533,4.364195884,3.274071082,1.053450878,1.339179781,3.665511599,3.273565389,1.710583345,340.21
18766,MEX,200605,1.546578501,4.411925514,39.02882556,0.84906623,1.84855632,2.510512667,1.501331298,4.363857964,3.295786686,1.074680085,1.396041792,3.68947121,3.258528152,1.721929471,302.86
18767,MEX,200606,1.558882143,4.43960808,39.04103263,0.823053785,1.866453613,2.514985679,1.511157063,4.363520044,3.317502289,1.095909292,1.452903803,3.713430822,3.243490916,1.733275597,310.58
18768,MEX,200607,1.571185785,4.467290645,39.0532397,0.797041341,1.884350905,2.519458691,1.520982828,4.363182124,3.339217893,1.117138499,1.509765815,3.737390433,3.228453679,1.744621724,331.91
18769,MEX,200608,1.549533871,4.423851771,39.02326249,0.905719713,1.761816772,2.517934413,1.495562883,4.310847648,3.286262232,1.114898787,1.45745049,3.691374557,3.213069746,1.726357332,343.55
18770,MEX,200609,1.527881958,4.380412897,38.99328528,1.014398085,1.63928264,2.516410135,1.470142938,4.258513173,3.233306572,1.112659075,1.405135164,3.64535868,3.197685812,1.708092941,360.34
18771,MEX,200610,1.506230045,4.336974023,38.96330808,1.123076457,1.516748507,2.514885857,1.444722993,4.206178697,3.180350911,1.110419362,1.352819839,3.599342803,3.182301878,1.68982855,385.02
18772,MEX,200611,1.488627048,4.269193351,38.88717335,1.075622988,1.268887724,2.442320402,1.478434153,3.823812627,2.854517479,1.12651792,1.097780751,2.951552946,2.818851819,1.660271828,402.27
18773,MEX,200612,1.471024051,4.201412679,38.81103863,1.028169518,1.021026941,2.369754947,1.512145314,3.441446558,2.528684047,1.142616478,0.842741663,2.303763088,2.455401761,1.630715107,426.46
