rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
21655,NGA,200205,36.96971353,65.55409222,40.03117964,25.72079039,38.8218462,25.58504716,31.19555479,60.19392914,61.83147102,48.65991924,42.05903618,26.28024986,36.17107457,26.24188442,136.338
21656,NGA,200206,37.01949703,65.64486396,39.92542093,26.13362506,38.50501601,25.59119557,31.26371972,60.32377875,61.93690344,48.77443433,41.97460947,26.15296928,35.97304718,26.20879626,149.455
21657,NGA,200207,37.06928053,65.73563569,39.81966222,26.54645973,38.18818582,25.59734397,31.33188465,60.45362836,62.04233586,48.88894942,41.89018275,26.02568869,35.7750198,26.17570809,140.016
21658,NGA,200208,37.09514088,65.72408955,39.95787468,26.10984448,38.85155152,25.45395229,31.11596927,60.37280848,61.90300726,48.61460649,41.93299383,26.15435334,35.93736566,26.26191742,148.935
21659,NGA,200209,37.12100123,65.71254341,40.09608714,25.67322922,39.51491723,25.31056061,30.90005389,60.2919886,61.76367866,48.34026356,41.9758049,26.28301799,36.09971152,26.34812675,141.205
21660,NGA,200210,37.14686158,65.70099728,40.23429959,25.23661397,40.17828293,25.16716894,30.68413852,60.21116872,61.62435006,48.06592063,42.01861598,26.41168265,36.26205738,26.43433608,135.000
21661,NGA,200211,36.8247384,65.07280202,40.3943222,25.49608358,39.82952282,24.90751818,30.37113422,59.93537773,60.95197502,47.81778943,41.77417095,26.72243153,35.3373152,26.2837068,141.954
21662,NGA,200212,36.50261522,64.44460675,40.5543448,25.75555319,39.48076272,24.64786742,30.05812993,59.65958675,60.27959998,47.56965823,41.52972593,27.0331804,34.41257302,26.13307752,146.938
21663,NGA,200301,36.18049205,63.81641149,40.7143674,26.01502281,39.13200261,24.38821667,29.74512564,59.38379576,59.60722494,47.32152703,41.28528091,27.34392928,33.48783084,25.98244824,168.638
21664,NGA,200302,36.22004708,63.88913051,40.770806,25.8244819,39.50004045,24.34976331,29.7902264,59.43644378,59.5721613,47.31570578,41.29468912,27.34982747,33.59060983,26.04819554,174.401
21665,NGA,200303,36.2596021,63.96184952,40.82724459,25.63394099,39.86807829,24.31130995,29.83532717,59.4890918,59.53709767,47.30988453,41.30409734,27.35572566,33.69338881,26.11394283,163.412
21666,NGA,200304,36.29915713,64.03456854,40.88368319,25.44340008,40.23611613,24.2728566,29.88042794,59.54173982,59.50203403,47.30406327,41.31350556,27.36162385,33.7961678,26.17969013,167.401
21667,NGA,200305,36.37683554,64.1123158,40.84557704,25.93292384,40.10372452,24.41952118,30.02779215,59.42965121,59.48561559,47.31222052,41.27608098,27.6957628,33.74396674,26.18698609,179.039
21668,NGA,200306,36.45451394,64.19006306,40.80747089,26.4224476,39.97133291,24.56618575,30.17515636,59.31756259,59.46919716,47.32037777,41.23865641,28.02990176,33.69176567,26.19428205,188.136
21669,NGA,200307,36.53219235,64.26781032,40.76936474,26.91197136,39.8389413,24.71285033,30.32252057,59.20547398,59.45277872,47.32853501,41.20123183,28.36404071,33.63956461,26.201578,178.521
21670,NGA,200308,36.49710867,64.21956373,40.74954626,27.01582568,39.638398,24.77670888,30.32452779,59.14772295,59.43392212,47.37541074,41.16948293,28.4912516,33.57280289,26.16919996,187.443
21671,NGA,200309,36.462025,64.17131715,40.72972778,27.11968001,39.43785469,24.84056744,30.326535,59.08997192,59.41506551,47.42228648,41.13773404,28.61846249,33.50604117,26.13682191,207.059
21672,NGA,200310,36.42694132,64.12307057,40.70990929,27.22353433,39.23731138,24.904426,30.32854222,59.03222088,59.39620891,47.46916221,41.10598514,28.74567338,33.43927945,26.10444386,231.569
21673,NGA,200311,36.40794579,63.77327605,40.35967676,28.11202468,39.46076255,25.1140607,30.2737681,59.40985194,59.8823636,47.86308943,41.50154077,30.2413199,33.20288599,25.74113826,219.073
21674,NGA,200312,36.38895026,63.42348153,40.00944422,29.00051502,39.68421371,25.3236954,30.21899399,59.787483,60.36851829,48.25701665,41.89709641,31.73696642,32.96649253,25.37783265,236.452
21675,NGA,200401,36.36995473,63.07368701,39.65921168,29.88900537,39.90766487,25.53333011,30.16421987,60.16511405,60.85467298,48.65094387,42.29265205,33.23261294,32.73009907,25.01452705,277.972
21676,NGA,200402,36.31995113,63.08948755,39.79998768,29.44281085,40.00212061,25.49967564,30.09996549,60.30486723,60.90208675,48.66467931,42.32508303,33.23132497,32.79918563,25.10965276,313.185
21677,NGA,200403,36.26994753,63.10528809,39.94076368,28.99661634,40.09657634,25.46602117,30.0357111,60.4446204,60.94950053,48.67841475,42.35751401,33.23003701,32.8682722,25.20477847,284.275
21678,NGA,200404,36.21994393,63.12108863,40.08153968,28.55042182,40.19103208,25.4323667,29.97145672,60.58437357,60.9969143,48.69215018,42.389945,33.22874905,32.93735877,25.29990418,345.002
21679,NGA,200405,36.25129846,63.10856196,39.91838893,28.79153513,40.02607207,25.47749706,30.057411,60.52202437,61.05702123,48.76026078,42.40297608,33.00385954,32.90501024,25.19196208,387.600
21680,NGA,200406,36.28265299,63.09603529,39.75523818,29.03264844,39.86111206,25.52262742,30.14336529,60.45967517,61.11712816,48.82837137,42.41600716,32.77897004,32.87266172,25.08401998,403.896
21681,NGA,200407,36.31400752,63.08350862,39.59208743,29.27376176,39.69615206,25.56775778,30.22931958,60.39732597,61.17723509,48.89648197,42.42903824,32.55408053,32.8403132,24.97607789,375.603
21682,NGA,200408,36.29895153,63.02859539,39.47871582,29.32947906,39.64578596,25.52004431,30.25608087,60.42102435,61.28159985,49.01234975,42.39814588,32.30390473,32.92376981,24.88300457,325.031
21683,NGA,200409,36.28389553,62.97368216,39.36534422,29.38519637,39.59541987,25.47233083,30.28284216,60.44472272,61.3859646,49.12821753,42.36725351,32.05372892,33.00722643,24.78993126,314.554
21684,NGA,200410,36.26883954,62.91876893,39.25197261,29.44091368,39.54505377,25.42461735,30.30960345,60.46842109,61.49032936,49.24408532,42.33636114,31.80355311,33.09068304,24.69685795,321.391
21685,NGA,200411,36.15060281,62.90294377,40.21716134,29.46935644,39.04986529,25.04929822,30.09319843,60.18635247,60.35676474,48.21185257,42.07880647,31.73721757,32.43959688,25.2974729,316.557
21686,NGA,200412,36.03236607,62.88711861,41.18235006,29.49779921,38.5546768,24.67397909,29.8767934,59.90428384,59.22320012,47.17961983,41.8212518,31.67088203,31.78851072,25.89808784,314.834
21687,NGA,200501,35.91412934,62.87129345,42.14753878,29.52624197,38.05948831,24.29865997,29.66038837,59.62221522,58.08963549,46.14738708,41.56369713,31.60454649,31.13742456,26.49870279,292.536
21688,NGA,200502,35.90189065,62.84622833,42.15614145,29.50995194,38.09022387,24.26776279,29.66396879,59.61568912,58.08867505,46.10811403,41.53921479,31.58345693,31.13738652,26.4935406,277.845
21689,NGA,200503,35.88965196,62.8211632,42.16474411,29.4936619,38.12095942,24.23686562,29.66754921,59.60916303,58.0877146,46.06884098,41.51473245,31.56236736,31.13734848,26.4883784,257.180
21690,NGA,200504,35.87741327,62.79609808,42.17334678,29.47737187,38.15169497,24.20596844,29.67112962,59.60263694,58.08675415,46.02956794,41.49025012,31.5412778,31.13731044,26.48321621,283.339
21691,NGA,200505,35.94941383,62.90601326,42.36810184,29.25081838,38.62717208,24.22125777,29.72126381,59.54315426,57.95609855,45.81472798,41.56760696,31.87681344,31.22408661,26.65251189,281.121
21692,NGA,200506,36.0214144,63.01592845,42.5628569,29.02426489,39.10264918,24.23654709,29.771398,59.48367157,57.82544294,45.59988802,41.64496381,32.21234907,31.31086278,26.82180758,273.300
21693,NGA,200507,36.09341496,63.12584363,42.75761195,28.7977114,39.57812628,24.25183642,29.82153218,59.42418889,57.69478733,45.38504806,41.72232065,32.5478847,31.39763896,26.99110326,286.216
21694,NGA,200508,35.95200862,62.95762655,42.72123584,28.42635694,39.33209254,24.12158204,29.63731757,59.38148071,57.6547314,45.34439967,41.57585064,32.2927294,31.28267875,26.8963985,319.910
21695,NGA,200509,35.81060229,62.78940947,42.68485973,28.05500247,39.08605879,23.99132767,29.45310295,59.33877254,57.61467548,45.30375127,41.42938064,32.03757411,31.16771855,26.80169374,356.006
21696,NGA,200510,35.66919595,62.62119239,42.64848362,27.68364801,38.84002505,23.8610733,29.26888834,59.29606436,57.57461955,45.26310288,41.28291063,31.78241881,31.05275835,26.70698898,387.373
21697,NGA,200511,35.30892647,62.17975793,43.18948011,28.53251154,38.17851197,23.48261553,28.83986005,59.42331621,56.69485088,44.79532624,41.21933465,32.14818302,30.71536279,26.85033789,363.597
21698,NGA,200512,34.94865699,61.73832348,43.73047659,29.38137507,37.5169989,23.10415776,28.41083177,59.55056807,55.81508222,44.32754961,41.15575868,32.51394724,30.37796723,26.99368681,361.401
21699,NGA,200601,34.5883875,61.29688902,44.27147308,30.23023859,36.85548582,22.72569999,27.98180348,59.67781992,54.93531355,43.85977297,41.09218271,32.87971145,30.04057167,27.13703572,369.124
21700,NGA,200602,34.69987849,61.4172551,44.18028119,30.94277382,36.71808307,22.89187535,28.0790154,59.71734125,55.02462803,44.02690959,41.21479205,33.14996237,30.03918915,27.13409648,362.680
21701,NGA,200603,34.81136947,61.53762118,44.0890893,31.65530905,36.58068031,23.0580507,28.17622732,59.75686258,55.11394251,44.19404621,41.33740139,33.42021328,30.03780664,27.13115723,359.070
21702,NGA,200604,34.92286045,61.65798726,43.99789742,32.36784429,36.44327756,23.22422605,28.27343924,59.79638391,55.20325698,44.36118283,41.46001073,33.6904642,30.03642412,27.12821799,372.245
21703,NGA,200605,34.93609806,61.72622555,44.04358683,32.2006979,36.67142932,23.16491605,28.30716778,60.01261766,55.22536474,44.38285735,41.49064667,33.53153577,30.02941385,27.1865061,398.004
21704,NGA,200606,34.94933567,61.79446383,44.08927625,32.03355151,36.89958109,23.10560604,28.34089632,60.22885141,55.2474725,44.40453188,41.52128261,33.37260735,30.02240358,27.24479422,417.984
21705,NGA,200607,34.96257328,61.86270212,44.13496566,31.86640513,37.12773285,23.04629603,28.37462486,60.44508516,55.26958025,44.42620641,41.55191856,33.21367892,30.01539331,27.30308234,483.735
21706,NGA,200608,35.01590166,61.93724839,44.20220679,31.83933036,37.35132918,23.07283063,28.41539771,60.40358138,55.20405455,44.38352348,41.56008517,33.40944226,30.08127116,27.37773087,601.019
21707,NGA,200609,35.06923005,62.01179465,44.26944792,31.81225559,37.5749255,23.09936523,28.45617056,60.36207761,55.13852885,44.34084056,41.56825179,33.60520559,30.14714902,27.45237939,568.282
21708,NGA,200610,35.12255843,62.08634092,44.33668905,31.78518081,37.79852183,23.12589983,28.4969434,60.32057383,55.07300315,44.29815763,41.57641841,33.80096893,30.21302687,27.52702792,565.011
21709,NGA,200611,34.65938047,61.11520966,45.53141247,29.98204839,37.31363699,22.95474717,28.2944455,59.20868573,53.90498645,43.73450593,41.06959849,33.35124634,29.63692738,27.80341353,497.417
21710,NGA,200612,34.19620251,60.1440784,46.72613589,28.17891597,36.82875216,22.78359451,28.09194761,58.09679763,52.73696974,43.17085422,40.56277858,32.90152375,29.06082788,28.07979914,536.323
21711,NGA,200701,33.73302454,59.17294715,47.92085931,26.37578354,36.34386732,22.61244185,27.88944971,56.98490953,51.56895304,42.60720251,40.05595867,32.45180116,28.48472838,28.35618475,636.195
21712,NGA,200702,33.76551384,59.141581,47.84361908,26.48732525,36.4604929,22.61738883,27.92982036,56.91797909,51.57621911,42.60529869,39.99759752,32.33391713,28.49924997,28.29552119,699.475
21713,NGA,200703,33.79800314,59.11021484,47.76637886,26.59886697,36.57711848,22.6223358,27.97019101,56.85104864,51.58348518,42.60339487,39.93923638,32.2160331,28.51377155,28.23485762,721.988
