rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
22439,PAK,200012,31.28798808,59.27170393,47.91984574,3.706223983,33.00509265,21.68322346,41.17935528,40.71416822,32.33328496,10.68513861,7.466893018,17.67683934,29.08086025,28.43671291,100.00
22440,PAK,200101,31.05728128,60.50267322,49.29290267,5.559335974,31.69412507,20.40205417,38.83589014,43.02587453,33.96883155,8.13790921,6.958613342,18.43216381,28.23081515,29.82352382,96.21
22441,PAK,200102,31.04625274,60.47999371,49.26056811,5.585911612,31.59087747,20.41497165,38.81788718,42.97658395,33.85773165,8.143406224,6.933397226,18.37257612,28.14213708,29.79280316,91.69
22442,PAK,200103,31.0352242,60.4573142,49.22823355,5.612487251,31.48762987,20.42788913,38.79988421,42.92729337,33.74663176,8.148903237,6.90818111,18.31298843,28.05345901,29.7620825,84.42
22443,PAK,200104,31.02419567,60.43463469,49.19589899,5.639062889,31.38438226,20.44080662,38.78188125,42.87800279,33.63553186,8.154400251,6.882964994,18.25340073,27.96478095,29.73136184,87.45
22444,PAK,200105,31.01423322,60.4123283,49.17806881,5.657998444,31.48880712,20.37891358,38.71862586,42.91379078,33.66111694,8.124163851,6.880472983,18.28688987,28.0070674,29.70962434,84.38
22445,PAK,200106,31.00427076,60.39002192,49.16023863,5.676933999,31.59323198,20.31702055,38.65537048,42.94957877,33.68670202,8.093927451,6.877980973,18.32037901,28.04935386,29.68788684,80.87
22446,PAK,200107,30.99430831,60.36771553,49.14240845,5.695869553,31.69765684,20.25512751,38.5921151,42.98536676,33.7122871,8.063691051,6.875488963,18.35386815,28.09164032,29.66614934,70.91
22447,PAK,200108,31.00448681,60.38098513,49.1751592,5.663827555,31.67254889,20.28880746,38.62097592,42.98071864,33.73234756,8.088513121,6.893504694,18.32486239,28.10517781,29.69245425,72.95
22448,PAK,200109,31.01466531,60.39425473,49.20790995,5.631785557,31.64744095,20.32248741,38.64983675,42.97607051,33.75240802,8.11333519,6.911520425,18.29585663,28.1187153,29.71875917,62.08
22449,PAK,200110,31.02484381,60.40752433,49.2406607,5.59974356,31.62233301,20.35616736,38.67869757,42.97142239,33.77246848,8.13815726,6.929536156,18.26685087,28.13225279,29.74506409,85.35
22450,PAK,200111,30.78756709,59.99861683,49.43239369,6.001254716,30.83181325,20.33528944,38.11931821,43.46751294,34.12290227,8.198221624,7.255949465,19.26211748,27.66833513,29.65718446,81.52
22451,PAK,200112,30.55029037,59.58970933,49.62412669,6.402765872,30.0412935,20.31441151,37.55993884,43.96360349,34.47333605,8.258285989,7.582362775,20.25738408,27.20441747,29.56930483,74.33
22452,PAK,200201,30.31301365,59.18080183,49.81585968,6.804277028,29.25077375,20.29353359,37.00055948,44.45969404,34.82376983,8.318350354,7.908776084,21.25265069,26.74049982,29.4814252,97.90
22453,PAK,200202,30.30572749,59.15717879,49.81465374,6.85540753,29.28700009,20.28414237,36.97402999,44.44598888,34.86115549,8.265015449,7.900207215,21.31411959,26.73244099,29.46894435,111.16
22454,PAK,200203,30.29844133,59.13355575,49.81344779,6.906538033,29.32322642,20.27475114,36.9475005,44.43228372,34.89854115,8.211680543,7.891638346,21.37558848,26.72438216,29.45646349,115.69
22455,PAK,200204,30.29115517,59.10993271,49.81224185,6.957668535,29.35945276,20.26535991,36.92097101,44.41857856,34.93592681,8.158345638,7.883069476,21.43705738,26.71632332,29.44398264,114.70
22456,PAK,200205,30.29167152,59.09994022,49.83355831,6.930460438,29.40535855,20.24673089,36.91098067,44.4199582,34.97095298,8.182454538,7.876770826,21.42791269,26.74188073,29.45159891,96.64
22457,PAK,200206,30.29218788,59.08994773,49.85487476,6.90325234,29.45126435,20.22810187,36.90099032,44.42133784,35.00597914,8.206563439,7.870472176,21.418768,26.76743814,29.45921518,104.03
22458,PAK,200207,30.29270423,59.07995524,49.87619122,6.876044243,29.49717014,20.20947286,36.89099998,44.42271748,35.0410053,8.23067234,7.864173526,21.40962331,26.79299556,29.46683145,108.27
22459,PAK,200208,30.25256802,59.04657605,49.75289691,6.782584007,29.40267838,20.08995714,36.86336181,44.32625466,35.17152186,8.216248781,7.644720478,21.38980321,26.68763417,29.37746442,127.10
22460,PAK,200209,30.21243181,59.01319686,49.6296026,6.68912377,29.30818662,19.97044142,36.83572363,44.22979183,35.30203842,8.201825222,7.425267431,21.36998311,26.58227278,29.28809739,126.68
22461,PAK,200210,30.1722956,58.97981767,49.50630829,6.595663534,29.21369486,19.8509257,36.80808546,44.133329,35.43255498,8.187401664,7.205814383,21.35016301,26.4769114,29.19873037,145.05
22462,PAK,200211,29.92053319,58.40383138,49.5926724,6.551229002,29.05862017,19.65737811,36.64875688,44.00814454,34.88216163,7.609781264,7.395770828,21.60713937,26.288264,28.96302587,147.37
22463,PAK,200212,29.66877078,57.82784508,49.67903651,6.506794469,28.90354547,19.46383052,36.48942829,43.88296007,34.33176829,7.032160863,7.585727273,21.86411572,26.0996166,28.72732138,186.21
22464,PAK,200301,29.41700837,57.25185878,49.76540062,6.462359937,28.74847078,19.27028294,36.33009971,43.75777561,33.78137494,6.454540463,7.775683718,22.12109207,25.9109692,28.49161688,170.69
22465,PAK,200302,29.4164587,57.28194957,49.79409142,6.329200962,28.79124064,19.25510564,36.37555632,43.80166093,33.85747883,6.523632862,7.810367419,22.11368055,26.00267228,28.5230436,162.36
22466,PAK,200303,29.41590903,57.31204035,49.82278223,6.196041987,28.8340105,19.23992833,36.42101293,43.84554626,33.93358272,6.592725261,7.84505112,22.10626903,26.09437536,28.55447032,185.19
22467,PAK,200304,29.41535937,57.34213114,49.85147303,6.062883013,28.87678035,19.22475103,36.46646953,43.88943158,34.00968662,6.661817659,7.879734822,22.09885751,26.18607844,28.58589704,188.76
22468,PAK,200305,29.4347501,57.38563606,49.88178789,6.013644324,28.86252635,19.25180481,36.52045223,43.92865624,34.00970719,6.697670341,7.901912499,22.04098465,26.22751047,28.62500764,197.12
22469,PAK,200306,29.45414084,57.42914098,49.91210275,5.964405636,28.84827235,19.2788586,36.57443493,43.9678809,34.00972776,6.733523022,7.924090177,21.98311178,26.26894249,28.66411823,211.77
22470,PAK,200307,29.47353158,57.4726459,49.94241761,5.915166948,28.83401834,19.30591238,36.62841762,44.00710556,34.00974833,6.769375704,7.946267855,21.92523892,26.31037452,28.70322882,240.14
22471,PAK,200308,29.46399704,57.43882734,49.92688946,5.920656161,28.67424715,19.34827028,36.65709019,43.91866403,33.91033816,6.829111287,7.889183299,21.85607527,26.25468361,28.67743033,267.57
22472,PAK,200309,29.45446251,57.40500878,49.91136131,5.926145375,28.51447596,19.39062818,36.68576275,43.83022249,33.810928,6.88884687,7.832098744,21.78691162,26.19899269,28.65163184,241.00
22473,PAK,200310,29.44492798,57.37119022,49.89583316,5.931634589,28.35470477,19.43298608,36.71443531,43.74178096,33.71151783,6.948582453,7.775014188,21.71774797,26.14330177,28.62583335,230.54
22474,PAK,200311,29.350852,56.81883006,50.21278468,5.023770089,29.68048195,18.99079015,36.30524778,42.80579853,33.25147538,6.477216005,7.776590831,21.89859006,25.80066473,28.52681537,244.55
22475,PAK,200312,29.25677603,56.26646989,50.52973621,4.115905589,31.00625912,18.54859421,35.89606024,41.8698161,32.79143293,6.005849557,7.778167474,22.07943216,25.45802769,28.42779739,261.87
22476,PAK,200401,29.16270006,55.71410973,50.84668774,3.208041089,32.33203629,18.10639828,35.4868727,40.93383367,32.33139049,5.534483108,7.779744116,22.26027425,25.11539065,28.3287794,275.24
22477,PAK,200402,29.14810041,55.72351903,50.82746875,3.11105629,32.45368987,18.0484514,35.46665634,40.97592877,32.46715288,5.546175694,7.782910223,22.37472221,25.20674714,28.3228506,274.80
22478,PAK,200403,29.13350076,55.73292832,50.80824976,3.01407149,32.57534344,17.99050452,35.44643998,41.01802387,32.60291527,5.557868279,7.786076329,22.48917017,25.29810363,28.3169218,283.44
22479,PAK,200404,29.11890111,55.74233761,50.78903076,2.917086691,32.69699701,17.93255764,35.42622363,41.06011897,32.73867767,5.569560865,7.789242435,22.60361812,25.38946012,28.310993,289.67
22480,PAK,200405,29.1308481,55.78884364,50.82234344,2.840234093,32.71505192,17.9696592,35.48513712,41.07847492,32.82956667,5.616346532,7.825051023,22.66523931,25.45169819,28.3532287,283.31
22481,PAK,200406,29.14279509,55.83534966,50.85565612,2.763381496,32.73310683,18.00676076,35.54405061,41.09683088,32.92045568,5.6631322,7.860859611,22.7268605,25.51393626,28.39546441,272.23
22482,PAK,200407,29.15474208,55.88185569,50.8889688,2.686528898,32.75116174,18.04386231,35.60296411,41.11518684,33.01134469,5.709917867,7.896668199,22.78848169,25.57617433,28.43770011,271.91
22483,PAK,200408,29.16654252,55.89124022,50.91868333,2.735621126,32.7669764,18.00062951,35.59327723,41.14837777,32.99436576,5.637855704,7.853594095,22.70384892,25.52887474,28.45908919,268.48
22484,PAK,200409,29.17834297,55.90062476,50.94839785,2.784713355,32.78279107,17.95739671,35.58359035,41.18156871,32.97738683,5.56579354,7.810519992,22.61921615,25.48157514,28.48047828,263.37
22485,PAK,200410,29.19014341,55.91000929,50.97811237,2.833805583,32.79860573,17.9141639,35.57390347,41.21475965,32.96040791,5.493731376,7.767445889,22.53458338,25.43427555,28.50186736,256.73
22486,PAK,200411,29.132197,55.82560657,51.33718937,3.207679862,32.70717046,18.05929832,35.60349441,40.98268161,32.99178133,5.746098382,8.229670899,23.01731543,25.32568629,28.65869122,277.91
22487,PAK,200412,29.07425059,55.74120386,51.69626636,3.58155414,32.61573519,18.20443273,35.63308535,40.75060357,33.02315475,5.998465387,8.691895909,23.50004748,25.21709703,28.81551508,305.18
22488,PAK,200501,29.01630418,55.65680115,52.05534336,3.955428419,32.52429992,18.34956714,35.66267629,40.51852553,33.05452817,6.250832393,9.154120919,23.98277953,25.10850776,28.97233894,336.83
22489,PAK,200502,29.04308684,55.67611494,52.043828,4.151718271,32.48518465,18.40329813,35.71221167,40.49785544,33.07564357,6.25421434,9.180663665,24.07102571,25.10917723,28.97597705,410.37
22490,PAK,200503,29.0698695,55.69542874,52.03231265,4.348008123,32.44606939,18.45702913,35.76174705,40.47718536,33.09675897,6.257596287,9.207206411,24.1592719,25.1098467,28.97961517,389.39
