rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
22706,PER,200012,9.239644064,23.57204899,43.58581778,3.019298884,7.47549763,6.115709316,4.952976548,18.77062369,20.49239263,10.82018964,13.93797388,16.65462293,16.29811337,10.43153485,100.00
22707,PER,200101,12.9515992,29.10155026,45.00967617,4.528948326,10.25007553,6.267638352,7.429464822,24.15731068,25.90644678,15.38979495,19.90669592,19.73167833,19.48699624,13.09851353,111.84
22708,PER,200102,12.98008647,29.13100689,45.01040524,4.583511704,10.28846931,6.26552796,7.450239224,24.22837588,25.90783035,15.37089752,19.91814334,19.70140176,19.49368443,13.11198468,112.28
22709,PER,200103,13.00857375,29.16046353,45.0111343,4.638075081,10.32686308,6.263417568,7.471013625,24.29944109,25.90921392,15.35200009,19.92959075,19.6711252,19.50037261,13.12545583,112.04
22710,PER,200104,13.03706103,29.18992016,45.01186337,4.692638458,10.36525686,6.261307176,7.491788027,24.3705063,25.91059749,15.33310266,19.94103817,19.64084863,19.5070608,13.13892698,102.86
22711,PER,200105,13.01306842,29.15078281,45.00317438,4.669732331,10.34480011,6.244286063,7.435788167,24.31531797,25.84947441,15.33276971,19.88829337,19.58364494,19.4925802,13.11878442,110.56
22712,PER,200106,12.98907581,29.11164545,44.99448538,4.646826203,10.32434336,6.227264951,7.379788308,24.26012964,25.78835133,15.33243675,19.83554857,19.52644125,19.4780996,13.09864186,118.55
22713,PER,200107,12.9650832,29.0725081,44.98579638,4.623920075,10.30388662,6.210243839,7.323788449,24.2049413,25.72722825,15.3321038,19.78280376,19.46923755,19.463619,13.07849929,115.02
22714,PER,200108,12.94229028,29.03365236,45.00903809,4.598317886,10.29503393,6.1789544,7.294970629,24.21756226,25.65775199,15.33705319,19.78248075,19.3636165,19.46969602,13.06774959,121.58
22715,PER,200109,12.91949736,28.99479662,45.0322798,4.572715697,10.28618125,6.147664961,7.266152809,24.23018322,25.58827572,15.34200257,19.78215774,19.25799544,19.47577304,13.05699988,118.73
22716,PER,200110,12.89670444,28.95594089,45.05552151,4.547113508,10.27732857,6.116375522,7.237334989,24.24280418,25.51879946,15.34695195,19.78183473,19.15237439,19.48185005,13.04625017,112.83
22717,PER,200111,12.75955752,28.43509004,44.80767215,4.518193612,10.17065623,6.341607658,7.29192386,24.01561079,25.23111406,15.44573392,19.61780104,19.75115571,19.24819861,12.74368377,114.08
22718,PER,200112,12.62241061,27.91423919,44.55982278,4.489273716,10.0639839,6.566839794,7.346512732,23.78841741,24.94342865,15.5445159,19.45376736,20.34993703,19.01454716,12.44111736,119.92
22719,PER,200201,12.4852637,27.39338834,44.31197342,4.460353821,9.957311561,6.79207193,7.401101604,23.56122403,24.65574324,15.64329787,19.28973367,20.94871835,18.78089571,12.13855096,130.44
22720,PER,200202,12.4810587,27.39016702,44.35986277,4.34193575,10.03509318,6.774197025,7.393550643,23.63556682,24.6589504,15.6075442,19.33047327,20.90581472,18.80020554,12.15023742,138.20
22721,PER,200203,12.4768537,27.3869457,44.40775211,4.22351768,10.1128748,6.75632212,7.385999682,23.70990962,24.66215755,15.57179054,19.37121287,20.86291109,18.81951536,12.16192387,143.50
22722,PER,200204,12.4726487,27.38372438,44.45564146,4.10509961,10.19065642,6.738447215,7.378448721,23.78425241,24.66536471,15.53603687,19.41195247,20.82000747,18.83882519,12.17361033,142.76
22723,PER,200205,12.47697833,27.35621161,44.46343758,4.111148401,10.12324417,6.645025772,7.350843935,23.79068306,24.75065063,15.49757376,19.24109205,20.66888843,18.81846046,12.16350779,150.41
22724,PER,200206,12.48130796,27.32869885,44.47123371,4.117197191,10.05583192,6.551604329,7.32323915,23.79711371,24.83593656,15.45911065,19.07023162,20.51776939,18.79809574,12.15340524,135.28
22725,PER,200207,12.48563758,27.30118608,44.47902983,4.123245981,9.988419665,6.458182886,7.295634365,23.80354436,24.92122248,15.42064755,18.8993712,20.36665036,18.77773101,12.1433027,123.22
22726,PER,200208,12.52377334,27.37370276,44.48238999,4.125522362,10.09598419,6.465319656,7.319882773,23.90499317,25.00360352,15.41665482,18.95863217,20.44129893,18.82080606,12.17648209,135.19
22727,PER,200209,12.5619091,27.44621944,44.48575015,4.127798743,10.20354871,6.472456426,7.344131181,24.00644199,25.08598457,15.41266209,19.01789314,20.51594749,18.86388111,12.20966148,127.42
22728,PER,200210,12.60004485,27.51873611,44.48911032,4.130075123,10.31111324,6.479593196,7.368379589,24.10789081,25.16836561,15.40866937,19.07715412,20.59059606,18.90695616,12.24284087,134.33
22729,PER,200211,11.88751168,26.36602122,44.09476036,3.596637099,9.625876883,6.282719568,6.732982248,23.12684254,23.95453255,15.2938884,18.17057355,20.00976888,18.2076145,11.63512533,145.64
22730,PER,200212,11.17497852,25.21330632,43.7004104,3.063199075,8.940640525,6.085845939,6.097584906,22.14579427,22.74069949,15.17910743,17.26399298,19.4289417,17.50827285,11.0274098,156.50
22731,PER,200301,10.46244535,24.06059143,43.30606044,2.52976105,8.255404168,5.888972311,5.462187565,21.16474599,21.52686643,15.06432646,16.35741241,18.84811451,16.8089312,10.41969427,166.19
22732,PER,200302,10.44372152,24.05012086,43.26683079,2.549332511,8.18254092,5.890114561,5.447147893,21.1445132,21.54662656,15.13495693,16.32072605,18.8967279,16.87336468,10.40573331,163.79
22733,PER,200303,10.42499768,24.03965028,43.22760113,2.568903972,8.109677671,5.891256811,5.432108221,21.1242804,21.56638668,15.20558739,16.28403968,18.94534128,16.93779817,10.39177235,160.57
22734,PER,200304,10.40627385,24.02917971,43.18837148,2.588475432,8.036814423,5.892399061,5.417068549,21.1040476,21.58614681,15.27621786,16.24735332,18.99395467,17.00223165,10.37781139,170.52
22735,PER,200305,10.39935176,24.03799776,43.16007222,2.606071557,8.14128351,5.823047018,5.393709078,21.17383888,21.6728198,15.26195234,16.24144568,19.08735287,17.10280908,10.3748122,180.87
