rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
22973,PHL,200012,10.97626131,20.67588405,51.24586592,6.963405019,17.41554544,1.501093208,11.306654,5.995941997,11.16889218,7.578297641,12.94445316,2.627594065,11.52202211,10.47690322,100.00
22974,PHL,200101,8.647413223,16.13516831,52.55218646,7.328597915,12.60687913,2.251639813,7.907156015,3.959798697,6.235789034,3.795002372,8.662848539,2.702570561,9.234797631,8.479383736,118.72
22975,PHL,200102,8.628707024,16.11386363,52.5589062,7.17633507,12.58321855,2.266364326,7.873887136,3.968725577,6.22023107,3.763134318,8.713318257,2.660160449,9.191975953,8.469267605,112.64
22976,PHL,200103,8.610000824,16.09255894,52.56562594,7.024072226,12.55955797,2.281088839,7.840618257,3.977652457,6.204673107,3.731266264,8.763787974,2.617750336,9.149154274,8.459151474,98.71
22977,PHL,200104,8.591294625,16.07125426,52.57234568,6.871809381,12.53589739,2.295813352,7.807349379,3.986579337,6.189115143,3.699398211,8.814257692,2.575340224,9.106332596,8.449035344,95.00
22978,PHL,200105,8.596200417,16.05960441,52.56347793,6.922073997,12.56860521,2.285290648,7.765558457,3.979072097,6.183780047,3.666859644,8.803239104,2.605371199,9.122196469,8.441488687,96.85
22979,PHL,200106,8.60110621,16.04795457,52.55461017,6.972338613,12.60131302,2.274767943,7.723767534,3.971564857,6.178444951,3.634321077,8.792220516,2.635402173,9.138060342,8.433942031,95.98
22980,PHL,200107,8.606012003,16.03630472,52.54574242,7.022603229,12.63402083,2.264245239,7.681976612,3.964057617,6.173109855,3.601782509,8.781201928,2.665433148,9.153924215,8.426395375,91.76
22981,PHL,200108,8.584181763,16.00136758,52.57199593,6.964461168,12.60790947,2.245528315,7.701854635,3.988466074,6.161010119,3.612812092,8.762766636,2.590171512,9.176603418,8.412219967,87.40
22982,PHL,200109,8.562351523,15.96643043,52.59824943,6.906319106,12.5817981,2.226811391,7.721732658,4.012874531,6.148910383,3.623841675,8.744331345,2.514909875,9.199282621,8.398044559,80.25
22983,PHL,200110,8.540521282,15.93149328,52.62450294,6.848177045,12.55568673,2.208094467,7.74161068,4.037282988,6.136810647,3.634871259,8.725896053,2.439648239,9.221961825,8.383869151,70.18
22984,PHL,200111,8.429926789,15.79975882,52.32856045,6.24121768,12.8658409,2.409818273,7.24394199,4.070246412,6.311113394,3.802861554,8.8304206,2.523424326,9.262469908,8.268566063,77.67
22985,PHL,200112,8.319332295,15.66802436,52.03261796,5.634258315,13.17599508,2.611542079,6.7462733,4.103209835,6.48541614,3.97085185,8.934945148,2.607200414,9.302977991,8.153262975,80.58
22986,PHL,200201,8.208737801,15.5362899,51.73667547,5.02729895,13.48614926,2.813265885,6.24860461,4.136173258,6.659718887,4.138842146,9.039469695,2.690976501,9.343486075,8.037959887,94.16
22987,PHL,200202,8.19136354,15.52280958,51.76224701,4.97645703,13.51375162,2.791468567,6.24014283,4.168521347,6.620427293,4.08804916,9.056286852,2.703692536,9.326105811,8.034948144,96.55
22988,PHL,200203,8.173989278,15.50932926,51.78781855,4.92561511,13.54135398,2.769671249,6.231681049,4.200869436,6.581135699,4.037256174,9.073104009,2.716408572,9.308725547,8.031936401,97.13
22989,PHL,200204,8.156615016,15.49584893,51.8133901,4.874773189,13.56895634,2.747873931,6.223219268,4.233217524,6.541844106,3.986463188,9.089921165,2.729124607,9.291345283,8.028924657,88.99
22990,PHL,200205,8.119712193,15.42670536,51.83537608,4.803618483,13.51329301,2.71112036,6.214751937,4.257587311,6.464147775,3.929765294,9.042341828,2.645592726,9.248801155,7.996460335,84.82
22991,PHL,200206,8.08280937,15.35756178,51.85736205,4.732463776,13.45762968,2.674366789,6.206284606,4.281957097,6.386451444,3.873067401,8.994762491,2.562060845,9.206257028,7.963996012,73.66
22992,PHL,200207,8.045906546,15.28841821,51.87934803,4.66130907,13.40196635,2.637613217,6.197817274,4.306326884,6.308755113,3.816369507,8.947183154,2.478528963,9.163712901,7.931531689,71.39
22993,PHL,200208,8.045113945,15.29535187,51.79189652,4.646413982,13.40860919,2.517168289,6.152927112,4.264829842,6.456680887,3.787619407,8.765862736,2.449180817,9.126148983,7.921740685,68.82
22994,PHL,200209,8.044321344,15.30228553,51.70444501,4.631518894,13.41525204,2.396723361,6.10803695,4.223332799,6.604606662,3.758869308,8.584542318,2.41983267,9.088585066,7.91194968,69.80
22995,PHL,200210,8.043528743,15.30921919,51.6169935,4.616623806,13.42189488,2.276278433,6.063146788,4.181835757,6.752532436,3.730119208,8.4032219,2.390484524,9.051021148,7.902158675,61.77
22996,PHL,200211,7.633995244,14.54174912,51.76443909,4.112722193,12.87633707,2.259763986,5.413921692,3.380029406,6.364468919,3.428490735,8.06222727,2.392189996,8.756608251,7.525191667,59.85
22997,PHL,200212,7.224461746,13.77427905,51.91188469,3.608820581,12.33077926,2.243249539,4.764696595,2.578223055,5.976405402,3.126862262,7.721232641,2.393895469,8.462195354,7.148224658,56.84
22998,PHL,200301,6.814928248,13.00680899,52.05933028,3.104918969,11.78522145,2.226735093,4.115471498,1.776416704,5.588341885,2.825233788,7.380238011,2.395600941,8.167782457,6.771257649,59.31
22999,PHL,200302,6.795525611,12.97764173,52.0502653,3.041811619,11.82764069,2.175454236,4.0254149,1.788930989,5.614800635,2.829354995,7.368698327,2.396338405,8.22594545,6.754902241,55.50
23000,PHL,200303,6.776122975,12.94847448,52.04120033,2.97870427,11.87005994,2.124173379,3.935358302,1.801445275,5.641259386,2.833476201,7.357158642,2.397075868,8.284108444,6.738546834,56.88
23001,PHL,200304,6.756720338,12.91930723,52.03213535,2.91559692,11.91247919,2.072892522,3.845301703,1.81395956,5.667718136,2.837597408,7.345618958,2.397813332,8.342271438,6.722191426,60.83
23002,PHL,200305,6.785752563,12.96519918,52.02455926,3.005929298,11.84527101,2.126872014,3.90387914,1.804162119,5.673855278,2.899920299,7.357759473,2.377280934,8.358015811,6.745080779,60.14
23003,PHL,200306,6.814784788,13.01109114,52.01698317,3.096261676,11.77806283,2.180851507,3.962456576,1.794364677,5.67999242,2.96224319,7.369899987,2.356748536,8.373760185,6.767970133,70.01
23004,PHL,200307,6.843817013,13.05698309,52.00940707,3.186594054,11.71085465,2.234831,4.021034012,1.784567236,5.686129562,3.024566081,7.382040501,2.336216138,8.389504558,6.790859486,69.92
23005,PHL,200308,6.815613527,13.0001411,51.94208017,3.108961098,11.57578439,2.209444968,4.011656232,1.681021472,5.620843137,2.972019202,7.32647711,2.195178187,8.314043836,6.75262025,66.21
23006,PHL,200309,6.78741004,12.9432991,51.87475327,3.031328142,11.44071413,2.184058936,4.002278453,1.577475709,5.555556712,2.919472323,7.27091372,2.054140235,8.238583113,6.714381014,72.77
23007,PHL,200310,6.759206553,12.88645711,51.80742636,2.953695186,11.30564388,2.158672904,3.992900673,1.473929945,5.490270287,2.866925444,7.215350329,1.913102283,8.163122391,6.676141778,77.76
23008,PHL,200311,6.714444308,12.76974383,52.08730943,2.07881509,10.91317526,2.140937764,4.116886695,1.442239128,6.094790541,3.173650855,7.187245144,2.440729793,8.428519782,6.65076266,72.09
23009,PHL,200312,6.669682062,12.65303055,52.36719251,1.203934994,10.52070664,2.123202624,4.240872716,1.410548312,6.699310795,3.480376265,7.15913996,2.968357303,8.693917173,6.625383542,80.45
23010,PHL,200401,6.624919816,12.53631726,52.64707558,0.329054899,10.12823802,2.105467485,4.364858737,1.378857495,7.303831049,3.787101676,7.131034775,3.495984813,8.959314564,6.600004424,83.93
23011,PHL,200402,6.639485424,12.59167378,52.68895382,0.356221074,10.23447043,2.128487164,4.408350266,1.49182771,7.378423938,3.883367907,7.145195443,3.635548753,9.048036049,6.634467547,80.95
