rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
25033,SEN,201611,31.8049783,57.72635288,55.07936785,25.8094166,24.17755461,30.80197209,47.44497783,53.50445474,37.64129815,22.44899462,35.31881283,24.66295982,9.971004321,31.79924476,1000.00
25034,SEN,201612,30.830455,56.36022839,54.93536514,26.61405178,18.26084082,32.47020498,46.74724282,51.99103532,36.6681758,20.53945377,34.49180232,27.53593282,8.786040546,30.96563177,1035.73
25035,SEN,201701,29.8559317,54.99410389,54.79136243,27.41868696,12.34412703,34.13843786,46.04950781,50.47761591,35.69505345,18.62991291,33.6647918,30.40890583,7.60107677,30.13201878,1024.07
25036,SEN,201702,29.85742845,55.06838808,54.85749192,27.33575525,12.33162731,34.15464653,46.09591429,50.59144932,35.63995051,18.69856225,33.72164004,30.51603237,7.578453915,30.20923479,1049.90
25037,SEN,201703,29.8589252,55.14267228,54.92362141,27.25282354,12.31912758,34.17085521,46.14232077,50.70528273,35.58484758,18.76721159,33.77848827,30.6231589,7.555831059,30.28645081,1050.26
25038,SEN,201704,29.86042195,55.21695647,54.98975091,27.16989183,12.30662786,34.18706388,46.18872724,50.81911613,35.52974464,18.83586093,33.83533651,30.73028544,7.533208203,30.36366682,1026.54
25039,SEN,201705,29.92978875,55.27653541,55.01773884,27.06893328,12.41460452,34.22656498,46.10573032,50.97067112,35.5760046,18.72740595,33.89441193,30.71583234,7.564663932,30.41193324,1154.29
25040,SEN,201706,29.99915555,55.33611435,55.04572676,26.96797472,12.52258119,34.26606608,46.02273339,51.12222611,35.62226456,18.61895097,33.95348735,30.70137924,7.59611966,30.46019966,1146.87
25041,SEN,201707,30.06852235,55.39569329,55.07371469,26.86701616,12.63055785,34.30556718,45.93973646,51.2737811,35.66852453,18.51049599,34.01256277,30.68692614,7.627575388,30.50846607,1161.08
25042,SEN,201708,30.05654113,55.3808472,55.08373466,26.93207726,12.7291306,34.2595256,45.96164839,51.34992578,35.67143336,18.51977344,33.97684141,30.68067608,7.652949327,30.50583595,1180.55
25043,SEN,201709,30.04455991,55.36600111,55.09375463,26.99713835,12.82770336,34.21348402,45.98356032,51.42607047,35.67434219,18.52905089,33.94112005,30.67442603,7.678323265,30.50320582,1161.51
25044,SEN,201710,30.03257869,55.35115502,55.1037746,27.06219944,12.92627611,34.16744245,46.00547225,51.50221515,35.67725103,18.53832833,33.90539869,30.66817597,7.703697204,30.5005757,1122.60
25045,SEN,201711,29.53498384,54.5701914,54.59681448,27.1919997,12.21402928,33.29826039,45.76534889,50.96531844,34.89230479,18.86645865,33.47314165,29.89790578,7.1321742,29.80150451,1144.01
25046,SEN,201712,29.03738899,53.78922778,54.08985435,27.32179996,11.50178245,32.42907834,45.52522553,50.42842174,34.10735855,19.19458896,33.04088462,29.12763559,6.560651195,29.10243331,1182.30
25047,SEN,201801,28.53979414,53.00826416,53.58289423,27.45160021,10.78953563,31.55989629,45.28510217,49.89152504,33.32241232,19.52271928,32.60862758,28.35736539,5.989128191,28.40336212,1174.63
25048,SEN,201802,28.68088136,53.1823319,53.71071279,27.32658067,11.21734027,31.62248425,45.23729858,50.19825387,33.38431648,19.57905104,32.80988799,28.6012383,6.174078689,28.56505453,1098.66
25049,SEN,201803,28.82196858,53.35639964,53.83853136,27.20156112,11.64514492,31.68507221,45.18949498,50.5049827,33.44622065,19.6353828,33.0111484,28.84511121,6.359029187,28.72674693,1190.29
25050,SEN,201804,28.9630558,53.53046738,53.96634992,27.07654157,12.07294956,31.74766018,45.14169138,50.81171153,33.50812481,19.69171457,33.21240881,29.08898411,6.543979685,28.88843934,1190.60
25051,SEN,201805,28.95983859,53.57043288,53.92516155,27.10495897,12.13221503,31.78465098,45.13767026,50.85768718,33.65745763,19.78699874,33.29086417,29.18365699,6.624893666,28.88790955,1158.37
25052,SEN,201806,28.95662137,53.61039837,53.88397318,27.13337636,12.1914805,31.82164179,45.13364915,50.90366283,33.80679044,19.88228291,33.36931953,29.27832988,6.705807647,28.88737975,1158.62
25053,SEN,201807,28.95340416,53.65036386,53.8427848,27.16179375,12.25074597,31.85863259,45.12962804,50.94963848,33.95612326,19.97756708,33.44777489,29.37300276,6.786721628,28.88684996,1119.44
25054,SEN,201808,29.01733151,53.6905675,53.79284237,27.49885747,12.20015115,31.94004277,45.27293195,50.83915132,34.02245813,20.04621495,33.46242924,29.43077165,6.811176112,28.88164218,1102.56
25055,SEN,201809,29.08125885,53.73077113,53.74289993,27.8359212,12.14955633,32.02145295,45.41623586,50.72866415,34.088793,20.11486281,33.47708358,29.48854054,6.835630596,28.8764344,1039.16
25056,SEN,201810,29.1451862,53.77097477,53.69295749,28.17298492,12.09896151,32.10286314,45.55953978,50.61817699,34.15512787,20.18351068,33.49173793,29.54630943,6.86008508,28.87122662,957.99
25057,SEN,201811,28.67528382,53.17683076,54.07793798,27.18017689,11.44731136,32.29959103,45.66466803,50.20956831,33.48627152,19.75546632,32.6030634,29.27424424,6.883168893,28.75235888,906.93
25058,SEN,201812,28.20538143,52.58268674,54.46291848,26.18736886,10.7956612,32.49631893,45.76979628,49.80095964,32.81741517,19.32742197,31.71438888,29.00217905,6.906252706,28.63349114,813.92
25059,SEN,201901,27.73547905,51.98854273,54.84789898,25.19456083,10.14401104,32.69304683,45.87492454,49.39235096,32.14855881,18.89937761,30.82571435,28.73011386,6.929336519,28.51462339,852.73
25060,SEN,201902,27.60965688,51.86165278,54.81257819,25.13827042,9.824202754,32.63506241,45.78029771,49.30026699,32.1071122,18.84252533,30.73339829,28.7010428,6.802300226,28.42679862,1028.64
25061,SEN,201903,27.4838347,51.73476283,54.77725741,25.08198,9.504394464,32.57707799,45.68567088,49.20818301,32.06566559,18.78567305,30.64108222,28.67197173,6.675263933,28.33897384,979.35
25062,SEN,201904,27.35801252,51.60787288,54.74193662,25.02568959,9.184586174,32.51909357,45.59104405,49.11609903,32.02421898,18.72882077,30.54876616,28.64290067,6.54822764,28.25114907,962.51
25063,SEN,201905,27.33096786,51.58236132,54.67947984,25.19771951,8.932334697,32.55491651,45.67828681,49.05428236,31.93947792,18.73416001,30.49968017,28.61079237,6.443901105,28.20499873,915.05
25064,SEN,201906,27.3039232,51.55684976,54.61702306,25.36974942,8.680083219,32.59073946,45.76552958,48.99246568,31.85473686,18.73949924,30.45059419,28.57868407,6.33957457,28.15884839,907.89
25065,SEN,201907,27.27687853,51.5313382,54.55456628,25.54177934,8.427831742,32.6265624,45.85277235,48.930649,31.7699958,18.74483848,30.4015082,28.54657576,6.235248035,28.11269805,914.27
