rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
25999,SRB,200805,0,0,40.26664361,0,0,0,0,0,0,0,0,0,0,0,"1,000.000"
26000,SRB,200806,0,0,40.30340775,0,0,0,0,0,0,0,0,0,0,0,"1,059.785"
26001,SRB,200807,0,0,40.34017188,0,0,0,0,0,0,0,0,0,0,0,907.750
26002,SRB,200808,0,0,40.32692199,0,0,0,0,0,0,0,0,0,0,0,777.806
26003,SRB,200809,0,0,40.3136721,0,0,0,0,0,0,0,0,0,0,0,544.958
26004,SRB,200810,0,0,40.30042221,0,0,0,0,0,0,0,0,0,0,0,257.908
26005,SRB,200811,0.122061475,0.189550502,40.48362132,0.189550502,0.189550502,0.061191755,0.058128411,0.189550502,0.189550502,0.04303538,0.189550502,0.189550502,0,0.077431417,203.538
26006,SRB,200812,0.24412295,0.379101003,40.66682043,0.379101003,0.379101003,0.12238351,0.116256822,0.379101003,0.379101003,0.08607076,0.379101003,0.379101003,0,0.154862834,270.227
26007,SRB,200901,0.366184425,0.568651505,40.85001954,0.568651505,0.568651505,0.183575265,0.174385232,0.568651505,0.568651505,0.12910614,0.568651505,0.568651505,0,0.232294251,240.747
26008,SRB,200902,0.381865704,0.559366252,40.83321066,0.559366252,0.559366252,0.195877941,0.116256822,0.496502559,0.559366252,0.103580338,0.559366252,0.559366252,0.001764587,0.228410321,148.112
26009,SRB,200903,0.397546983,0.550080999,40.81640178,0.550080999,0.550080999,0.208180618,0.058128411,0.424353614,0.550080999,0.078054536,0.550080999,0.550080999,0.003529173,0.224526392,141.448
26010,SRB,200904,0.413228263,0.540795746,40.79959291,0.540795746,0.540795746,0.220483295,0,0.352204668,0.540795746,0.052528734,0.540795746,0.540795746,0.00529376,0.220642463,168.988
26011,SRB,200905,0.275485508,0.360530497,40.87129513,0.360530497,0.360530497,0.146988863,0,0.234803112,0.360530497,0.035019156,0.360530497,0.360530497,0.003529173,0.147094975,257.134
26012,SRB,200906,0.137742754,0.180265249,40.94299734,0.180265249,0.180265249,0.073494432,0,0.117401556,0.180265249,0.017509578,0.180265249,0.180265249,0.001764587,0.073547488,234.767
26013,SRB,200907,0,0,41.01469956,0,0,0,0,0,0,0,0,0,0,0,241.791
26014,SRB,200908,0.066592285,0,40.99848443,0,0,0,0,0,0,0,0,0,0,0,295.841
26015,SRB,200909,0.133184571,0,40.9822693,0,0,0,0,0,0,0,0,0,0,0,359.562
26016,SRB,200910,0.199776856,0,40.96605417,0,0,0,0,0,0,0,0,0,0,0,344.518
26017,SRB,200911,0.387639475,0.364591547,41.15733909,0.364591547,0.364591547,0.299129329,0.257841502,0.364591547,0.364591547,0.08636348,0.364591547,0.364591547,0.08964511,0.151450997,299.985
26018,SRB,200912,0.575502093,0.729183094,41.34862402,0.729183094,0.729183094,0.598258659,0.515683004,0.729183094,0.729183094,0.172726959,0.729183094,0.729183094,0.179290219,0.302901993,269.006
26019,SRB,201001,0.763364712,1.093774641,41.53990894,1.093774641,1.093774641,0.897387988,0.773524506,1.093774641,1.093774641,0.259090439,1.093774641,1.093774641,0.268935329,0.45435299,270.277
26020,SRB,201002,0.508909808,0.729183094,40.81518896,0.729183094,0.729183094,0.598258659,0.515683004,0.729183094,0.729183094,0.172726959,0.729183094,0.729183094,0.179290219,0.302901993,282.050
26021,SRB,201003,0.254454904,0.364591547,40.09046898,0.364591547,0.364591547,0.299129329,0.257841502,0.364591547,0.364591547,0.08636348,0.364591547,0.364591547,0.08964511,0.151450997,288.877
26022,SRB,201004,0,0,39.365749,0,0,0,0,0,0,0,0,0,0,0,316.555
26023,SRB,201005,0,0,39.35322225,0,0,0,0,0,0,0,0,0,0,0,247.095
