rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
27262,SVN,200205,0.722096286,1.467277578,37.75490588,1.467277578,0,1.403126236,0,1.315987453,1.467277578,0.440359501,0.76543888,0.773806919,1.467277578,0.554015774,177.537
27263,SVN,200206,0.704935987,1.421157989,37.7044876,1.421157989,0,1.292855304,0,1.345512926,1.421157989,0.416761266,0.561825625,0.715976723,1.421157989,0.535886843,194.079
27264,SVN,200207,0.687775688,1.3750384,37.65406932,1.3750384,0,1.182584373,0,1.3750384,1.3750384,0.393163031,0.35821237,0.658146527,1.3750384,0.517757912,182.162
27265,SVN,200208,0.721676578,1.441461643,37.7018031,1.441461643,0,1.203636176,0,1.436326473,1.441461643,0.438079933,0.378756987,0.675527454,1.441461643,0.543520443,193.050
27266,SVN,200209,0.755577468,1.507884885,37.74953688,1.507884885,0,1.224687979,0,1.497614547,1.507884885,0.482996835,0.399301603,0.692908381,1.507884885,0.569282974,185.221
27267,SVN,200210,0.789478357,1.574308128,37.79727067,1.574308128,0,1.245739783,0,1.55890262,1.574308128,0.527913737,0.41984622,0.710289308,1.574308128,0.595045504,185.331
27268,SVN,200211,0.76456974,1.482282153,38.34075613,1.332749253,0.161582232,1.260951376,0.432743401,1.472011815,1.29816198,0.351942491,0.654716756,0.906269607,1.482282153,0.56731789,185.565
27269,SVN,200212,0.739661123,1.390256178,38.88424158,1.091190379,0.323164463,1.27616297,0.865486802,1.385121009,1.022015832,0.175971246,0.889587292,1.102249905,1.390256178,0.539590275,190.773
27270,SVN,200301,0.714752506,1.298230203,39.42772704,0.849631504,0.484746695,1.291374564,1.298230203,1.298230203,0.745869684,0,1.124457828,1.298230203,1.298230203,0.511862661,188.879
27271,SVN,200302,0.701164313,1.276106945,39.40681392,0.798639083,0.648380921,1.22320283,1.276106945,1.276106945,0.833223688,0,1.116805179,1.276106945,1.276106945,0.502882342,186.885
27272,SVN,200303,0.687576119,1.253983686,39.3859008,0.747646662,0.812015147,1.155031095,1.253983686,1.253983686,0.920577691,0,1.109152531,1.253983686,1.253983686,0.493902024,190.708
27273,SVN,200304,0.673987925,1.231860427,39.36498767,0.69665424,0.975649373,1.086859361,1.231860427,1.231860427,1.007931694,0,1.101499883,1.231860427,1.231860427,0.484921705,197.236
27274,SVN,200305,0.673289493,1.21852769,39.38490129,0.700007759,0.83781911,1.121860312,1.21852769,1.21852769,0.808134827,0,1.124993335,1.21852769,1.21852769,0.479910618,208.219
27275,SVN,200306,0.672591061,1.205194952,39.40481491,0.703361277,0.699988847,1.156861263,1.205194952,1.205194952,0.60833796,0,1.148486788,1.205194952,1.205194952,0.47489953,192.986
27276,SVN,200307,0.671892629,1.191862214,39.42472853,0.706714795,0.562158585,1.191862214,1.191862214,1.191862214,0.408541093,0,1.171980241,1.191862214,1.191862214,0.469888442,195.640
27277,SVN,200308,0.616156059,1.103822831,39.35528225,0.575706797,0.53863067,1.103822831,1.103822831,1.103822831,0.513597057,0,1.06616738,1.103822831,1.103822831,0.434534871,191.161
27278,SVN,200309,0.560419488,1.015783447,39.28583596,0.444698798,0.515102755,1.015783447,1.015783447,1.015783447,0.618653022,0,0.960354518,1.015783447,1.015783447,0.399181299,223.513
27279,SVN,200310,0.504682918,0.927744063,39.21638968,0.3136908,0.49157484,0.927744063,0.927744063,0.927744063,0.723708986,0,0.854541657,0.927744063,0.927744063,0.363827727,227.976
27280,SVN,200311,0.503354399,0.846705858,39.10498573,0.362084443,0.53893385,0.79733636,0.83642643,0.846705858,0.585513243,0.007488601,0.797904254,0.834274063,0.794978864,0.331284765,245.888
27281,SVN,200312,0.50202588,0.765667653,38.99358178,0.410478087,0.58629286,0.666928658,0.745108797,0.765667653,0.4473175,0.014977202,0.741266852,0.740804062,0.662213665,0.298741802,263.841
27282,SVN,200401,0.50069736,0.684629449,38.88217783,0.458871731,0.63365187,0.536520955,0.653791164,0.684629449,0.309121757,0.022465803,0.684629449,0.647334062,0.529448466,0.26619884,274.303
