rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
28847,THA,200012,2.453764219,2.27028528,37.02100824,0.419294211,2.27028528,2.27028528,2.27028528,0.755882661,1.628491449,1.209583895,1.343336118,0.582979397,0.701738964,0.851927393,100.000
28848,THA,200101,1.357459344,0.628941316,36.67236431,0.628941316,0.628941316,0.628941316,0.628941316,0,0.207833056,0.628941316,0,0.126867421,0.628941316,0.230647651,130.877
28849,THA,200102,1.338517208,0.600944383,36.66198301,0.600944383,0.600944383,0.600944383,0.600944383,0,0.281999002,0.600944383,0,0.203000144,0.600944383,0.22032394,126.017
28850,THA,200103,1.319575072,0.57294745,36.65160171,0.57294745,0.57294745,0.57294745,0.57294745,0,0.356164948,0.57294745,0,0.279132867,0.57294745,0.21000023,104.631
28851,THA,200104,1.300632936,0.544950517,36.64122041,0.544950517,0.544950517,0.544950517,0.544950517,0,0.430330894,0.544950517,0,0.35526559,0.544950517,0.19967652,107.400
28852,THA,200105,1.292145062,0.55990873,36.70343655,0.55990873,0.55990873,0.55990873,0.55990873,0.009332068,0.425659664,0.55990873,0,0.299945646,0.55990873,0.205524358,108.355
28853,THA,200106,1.283657188,0.574866943,36.76565268,0.574866943,0.574866943,0.574866943,0.574866943,0.018664136,0.420988434,0.574866943,0,0.244625702,0.574866943,0.211372197,110.809
28854,THA,200107,1.275169314,0.589825156,36.82786882,0.589825156,0.589825156,0.589825156,0.589825156,0.027996204,0.416317204,0.589825156,0,0.189305758,0.589825156,0.217220035,99.414
28855,THA,200108,1.292801518,0.603739671,36.84688704,0.603739671,0.603739671,0.603739671,0.603739671,0.045338989,0.377419876,0.603739671,0.017876748,0.133772959,0.603739671,0.222464567,119.067
28856,THA,200109,1.310433723,0.617654185,36.86590525,0.617654185,0.617654185,0.617654185,0.617654185,0.062681774,0.338522549,0.617654185,0.035753495,0.078240161,0.617654185,0.227709099,97.513
28857,THA,200110,1.328065928,0.6315687,36.88492347,0.6315687,0.6315687,0.6315687,0.6315687,0.080024558,0.299625222,0.6315687,0.053630243,0.022707362,0.6315687,0.232953632,93.576
28858,THA,200111,1.1505957,0.48800437,37.34196418,0.48800437,0.48800437,0.48800437,0.48800437,0.080801363,0.266708718,0.48800437,0.035753495,0.082096811,0.475279978,0.180918122,107.220
28859,THA,200112,0.973125473,0.344440039,37.79900489,0.344440039,0.344440039,0.344440039,0.344440039,0.081578167,0.233792213,0.344440039,0.017876748,0.14148626,0.318991257,0.128882612,105.015
28860,THA,200201,0.795655245,0.200875709,38.2560456,0.200875709,0.200875709,0.200875709,0.200875709,0.082354971,0.200875709,0.200875709,0,0.200875709,0.162702535,0.076847103,124.901
28861,THA,200202,0.797406339,0.209539705,38.2479758,0.209539705,0.209539705,0.209539705,0.209539705,0.105770648,0.209539705,0.209539705,0,0.209539705,0.184090922,0.080143297,135.427
28862,THA,200203,0.799157433,0.2182037,38.23990601,0.2182037,0.2182037,0.2182037,0.2182037,0.129186325,0.2182037,0.2182037,0,0.2182037,0.205479309,0.083439492,135.053
28863,THA,200204,0.800908527,0.226867696,38.23183621,0.226867696,0.226867696,0.226867696,0.226867696,0.152602002,0.226867696,0.226867696,0,0.226867696,0.226867696,0.086735686,135.074
28864,THA,200205,0.797751223,0.212736533,38.21071006,0.212736533,0.212736533,0.212736533,0.212736533,0.16322607,0.212736533,0.212736533,0,0.212736533,0.212736533,0.08129411,152.419
