rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
30277,TTO,200811,1.204639482,4.001899661,35.17040321,0.648993441,4.001899661,0.698618428,0.943991612,0.662454714,0.616301643,1.984840954,1.088357987,1.582287187,0.780191402,1.407770635,991.037
30278,TTO,200812,1.10775265,3.95330796,34.875715,0.478099488,3.95330796,0.522646533,0.632907068,0.906282485,0.947489514,2.216876612,1.306851876,2.238382009,1.062404197,1.379030805,973.141
30279,TTO,200901,1.010865818,3.904716259,34.5810268,0.307205534,3.904716259,0.346674638,0.321822525,1.150110256,1.278677384,2.44891227,1.525345765,2.89447683,1.344616991,1.350290976,"1,008.357"
30280,TTO,200902,1.011500188,3.904405629,34.55105858,0.29016398,3.904405629,0.298270064,0.305576065,1.206853435,1.273182397,2.4191217,1.544745716,2.8139079,1.366532792,1.349013663,"1,006.391"
30281,TTO,200903,1.012134559,3.904095,34.52109037,0.273122425,3.904095,0.249865491,0.289329605,1.263596614,1.26768741,2.389331131,1.564145667,2.73333897,1.388448593,1.347736349,"1,001.017"
30282,TTO,200904,1.012768929,3.903784371,34.49112215,0.256080871,3.903784371,0.201460917,0.273083145,1.320339794,1.262192423,2.359540561,1.583545618,2.652770039,1.410364394,1.346459036,988.219
30283,TTO,200905,0.976158449,3.855520946,34.47619566,0.170720581,3.855520946,0.134307278,0.18205543,1.303294202,1.219050864,2.312431442,1.567851762,2.552386212,1.395474236,1.329251353,971.524
30284,TTO,200906,0.939547969,3.807257521,34.46126917,0.08536029,3.807257521,0.067153639,0.091027715,1.286248611,1.175909304,2.265322323,1.552157906,2.452002385,1.380584078,1.31204367,970.351
30285,TTO,200907,0.902937489,3.758994096,34.44634268,0,3.758994096,0,0,1.26920302,1.132767744,2.218213204,1.536464049,2.351618557,1.36569392,1.294835988,963.318
30286,TTO,200908,0.933310221,3.76378354,34.44943382,0.195109784,3.76378354,0.062247657,9.44634E-05,1.222310282,1.163129174,2.275155322,1.568395276,2.553181087,1.37236355,1.296602416,967.755
30287,TTO,200909,0.963682952,3.768572984,34.45252495,0.390219568,3.768572984,0.124495314,0.000188927,1.175417543,1.193490604,2.332097439,1.600326503,2.754743618,1.37903318,1.298368844,967.109
30288,TTO,200910,0.994055683,3.773362427,34.45561609,0.585329352,3.773362427,0.186742971,0.00028339,1.128524805,1.223852034,2.389039556,1.63225773,2.956306148,1.38570281,1.300135272,951.246
30289,TTO,200911,0.750402933,3.440362658,34.46597367,0.458477557,3.440362658,0.25301681,0.000188927,0.884462325,0.95999194,1.79896216,1.225758062,2.307969962,1.245031352,1.185685507,857.987
30290,TTO,200912,0.506750183,3.107362889,34.47633125,0.331625763,3.107362889,0.319290649,9.44634E-05,0.640399845,0.696131847,1.208884764,0.819258395,1.659633777,1.104359894,1.071235741,875.191
30291,TTO,201001,0.263097434,2.77436312,34.48668883,0.204773969,2.77436312,0.385564488,0,0.396337366,0.432271754,0.618807368,0.412758728,1.011297591,0.963688436,0.956785976,876.561
30292,TTO,201002,0.275430463,2.549694994,35.34202368,0.136515979,2.433792729,0.625072879,0,0.331434973,0.456158232,0.412538245,0.470865309,1.374317975,0.642458957,0.897270479,878.699
30293,TTO,201003,0.287763493,2.325026868,36.19735854,0.06825799,2.093222338,0.86458127,0,0.26653258,0.48004471,0.206269123,0.52897189,1.737338359,0.321229479,0.837754982,876.741
30294,TTO,201004,0.300096522,2.100358742,37.05269339,0,1.752651947,1.104089661,0,0.201630187,0.503931189,0,0.587078471,2.100358742,0,0.778239485,877.756
30295,TTO,201005,0.363514037,2.163953984,37.00018627,0,1.633341632,1.233401417,0,0.273773515,0.621819955,0,0.630091914,2.163953984,0,0.800600221,885.908
30296,TTO,201006,0.426931552,2.227549226,36.94767914,0,1.514031317,1.362713172,0,0.345916843,0.739708722,0,0.673105357,2.227549226,0,0.822960957,884.500
30297,TTO,201007,0.490349067,2.291144468,36.89517201,0,1.394721001,1.492024928,0,0.418060172,0.857597489,0,0.7161188,2.291144468,0,0.845321692,882.936
30298,TTO,201008,0.441979663,2.262975362,36.95213619,0,1.43416963,1.349623404,0,0.542559824,0.752393741,0,0.679119433,2.262975362,0,0.836185645,841.121
30299,TTO,201009,0.39361026,2.234806255,37.00910038,0,1.473618259,1.207221879,0,0.667059477,0.647189992,0,0.642120066,2.234806255,0,0.827049598,825.643
30300,TTO,201010,0.345240856,2.206637149,37.06606457,0,1.513066887,1.064820354,0,0.791559129,0.541986243,0,0.605120699,2.206637149,0,0.81791355,791.916
30301,TTO,201011,0.270870728,2.144580256,36.64185021,0.021060586,1.631263157,0.931134717,0,0.527706086,0.671890755,0.267337372,0.423093301,2.144580256,0.019992185,0.786340394,802.223
30302,TTO,201012,0.1965006,2.082523363,36.21763586,0.042121172,1.749459426,0.79744908,0,0.263853043,0.801795267,0.534674743,0.241065903,2.082523363,0.039984371,0.754767237,809.297
30303,TTO,201101,0.122130472,2.02046647,35.79342151,0.063181759,1.867655696,0.663763443,0,0,0.931699779,0.802012115,0.059038506,2.02046647,0.059976556,0.72319408,887.451
30304,TTO,201102,0.126044131,2.032047914,35.8308857,0.042121172,1.930174064,0.600773559,0,0.036200406,0.905975259,0.769336642,0.105697681,2.032047914,0.088897518,0.728109443,900.969
30305,TTO,201103,0.129957791,2.043629357,35.86834989,0.021060586,1.992692432,0.537783675,0,0.072400813,0.880250739,0.73666117,0.152356857,2.043629357,0.117818479,0.733024806,886.857
30306,TTO,201104,0.13387145,2.055210801,35.90581409,0,2.055210801,0.474793791,0,0.108601219,0.854526219,0.703985698,0.199016032,2.055210801,0.146739441,0.737940169,901.799
30307,TTO,201105,0.301885299,2.204139724,35.92709786,0.043703704,2.204139724,0.560188758,0.073168678,0.33357137,0.881276275,0.862722971,0.50228914,2.204139724,0.462236826,0.791946831,970.151
30308,TTO,201106,0.469899147,2.353068646,35.94838164,0.087407407,2.353068646,0.645583725,0.146337356,0.55854152,0.90802633,1.021460244,0.805562247,2.353068646,0.777734212,0.845953493,"1,018.439"
30309,TTO,201107,0.637912996,2.501997569,35.96966541,0.131111111,2.501997569,0.730978691,0.219506034,0.783511671,0.934776385,1.180197516,1.108835355,2.501997569,1.093231597,0.899960154,"1,019.019"
30310,TTO,201108,0.607668907,2.50626217,35.97021508,0.115243183,2.50626217,0.727536681,0.160500301,0.707071353,0.959143396,1.114927345,0.983027322,2.50626217,1.021385258,0.90150794,978.822
30311,TTO,201109,0.577424818,2.510526771,35.97076476,0.099375255,2.510526771,0.724094671,0.101494569,0.630631034,0.983510408,1.049657173,0.85721929,2.510526771,0.949538919,0.903055726,983.711
30312,TTO,201110,0.54718073,2.514791372,35.97131444,0.083507328,2.514791372,0.720652661,0.042488837,0.554190716,1.007877419,0.984387001,0.731411258,2.514791372,0.877692579,0.904603512,"1,017.072"
30313,TTO,201111,0.427939895,1.917802827,36.55890344,0.273500389,1.917802827,0.630791884,0.049310692,0.518494806,0.725454674,0.834827514,0.657044243,1.917802827,0.773605907,0.694112006,"1,046.009"
30314,TTO,201112,0.30869906,1.320814283,37.14649244,0.46349345,1.320814283,0.540931107,0.056132546,0.482798897,0.443031929,0.685268027,0.582677228,1.320814283,0.669519234,0.4836205,"1,053.129"
30315,TTO,201201,0.189458225,0.723825739,37.73408144,0.653486511,0.723825739,0.45107033,0.062954401,0.447102988,0.160609183,0.53570854,0.508310212,0.723825739,0.565432561,0.273128994,988.564
30316,TTO,201202,0.143498213,0.673822282,37.7546711,0.583378229,0.59750614,0.490754296,0.041969601,0.382380099,0.150252265,0.530407908,0.428169185,0.673822282,0.542211816,0.254378795,"1,014.100"
30317,TTO,201203,0.097538201,0.623818825,37.77526077,0.513269947,0.471186542,0.530438261,0.0209848,0.317657211,0.139895346,0.525107276,0.348028159,0.623818825,0.518991071,0.235628597,"1,033.923"
30318,TTO,201204,0.05157819,0.573815369,37.79585044,0.443161665,0.344866943,0.570122227,0,0.252934323,0.129538427,0.519806644,0.267887132,0.573815369,0.495770326,0.216878399,"1,048.100"
30319,TTO,201205,0.03438546,0.498165529,37.76946843,0.337036957,0.289557675,0.495703434,0,0.200935454,0.128153983,0.462159712,0.178591421,0.498165529,0.405491993,0.188194388,"1,056.620"
30320,TTO,201206,0.01719273,0.422515689,37.74308642,0.23091225,0.234248407,0.421284641,0,0.148936584,0.126769539,0.40451278,0.089295711,0.422515689,0.31521366,0.159510377,"1,061.092"
30321,TTO,201207,0,0.346865848,37.7167044,0.124787542,0.178939139,0.346865848,0,0.096937715,0.125385095,0.346865848,0,0.346865848,0.224935328,0.130826367,"1,066.379"
