rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
30490,TUN,200405,1.220771209,3.050795599,37.21283189,2.176430502,1.276750451,1.162527405,1.073631195,1.308072904,2.098665749,1.263028349,1.475456641,1.790336569,1.848164088,1.135319425,477.330
30491,TUN,200406,1.241515203,3.085015102,37.25957031,2.173484317,1.396986211,1.191634247,1.1249029,1.344812937,2.113814151,1.244921927,1.545682365,1.889619542,1.887620116,1.149495358,476.084
30492,TUN,200407,1.262259198,3.119234605,37.30630873,2.170538131,1.51722197,1.220741089,1.176174605,1.381552971,2.128962552,1.226815505,1.615908089,1.988902514,1.927076144,1.163671292,483.311
30493,TUN,200408,1.283157006,3.143609185,37.29227216,2.144237404,1.624068765,1.183600934,1.179841962,1.441095723,2.192380852,1.228015102,1.622710275,1.978029694,1.959888466,1.17231645,487.898
30494,TUN,200409,1.304054814,3.167983765,37.27823559,2.117936676,1.730915559,1.14646078,1.18350932,1.500638475,2.255799151,1.229214699,1.62951246,1.967156874,1.992700788,1.180961609,484.076
30495,TUN,200410,1.324952623,3.192358345,37.26419902,2.091635949,1.837762354,1.109320625,1.187176677,1.560181227,2.319217451,1.230414297,1.636314646,1.956284053,2.02551311,1.189606767,494.588
30496,TUN,200411,0.883301749,2.128238897,37.12236058,1.394423966,1.225174903,0.739547084,0.791451118,1.040120818,1.546144967,0.820276198,1.090876431,1.304189369,1.350342073,0.793071178,505.916
30497,TUN,200412,0.441650874,1.064119448,36.98052214,0.697211983,0.612587451,0.369773542,0.395725559,0.520060409,0.773072484,0.410138099,0.545438215,0.652094684,0.675171037,0.396535589,522.879
30498,TUN,200501,0,0,36.83868371,0,0,0,0,0,0,0,0,0,0,0,522.646
30499,TUN,200502,0,0,36.83141601,0,0,0,0,0,0,0,0,0,0,0,526.876
30500,TUN,200503,0,0,36.82414832,0,0,0,0,0,0,0,0,0,0,0,577.460
30501,TUN,200504,0,0,36.81688063,0,0,0,0,0,0,0,0,0,0,0,676.300
30502,TUN,200505,0,0.002028953,36.83202461,0.002028953,0.002028953,0.002028953,0,0,0.002028953,0,0.002028953,0.002028953,0,0.000747919,656.349
30503,TUN,200506,0,0.004057905,36.84716859,0.004057905,0.004057905,0.004057905,0,0,0.004057905,0,0.004057905,0.004057905,0,0.001495838,636.482
30504,TUN,200507,0,0.006086858,36.86231257,0.006086858,0.006086858,0.006086858,0,0,0.006086858,0,0.006086858,0.006086858,0,0.002243757,629.109
30505,TUN,200508,0,0.017932123,36.8849358,0.017932123,0.017932123,0.017932123,0.003144102,0.013874218,0.017932123,0,0.017932123,0.017932123,0.013874218,0.006619612,633.025
30506,TUN,200509,0,0.029777388,36.90755904,0.029777388,0.029777388,0.029777388,0.006288203,0.027748435,0.029777388,0,0.029777388,0.029777388,0.027748435,0.010995467,614.984
30507,TUN,200510,0,0.041622653,36.93018227,0.041622653,0.041622653,0.041622653,0.009432305,0.041622653,0.041622653,0,0.041622653,0.041622653,0.041622653,0.015371321,624.003
30508,TUN,200511,0,0.027748435,36.73556757,0.027748435,0.027748435,0.027748435,0.006288203,0.027748435,0.027748435,0,0.027748435,0.027748435,0.027748435,0.010247548,633.682
30509,TUN,200512,0,0.013874218,36.54095288,0.013874218,0.013874218,0.013874218,0.003144102,0.013874218,0.013874218,0,0.013874218,0.013874218,0.013874218,0.005123774,651.001
30510,TUN,200601,0,0,36.34633818,0,0,0,0,0,0,0,0,0,0,0,685.821
30511,TUN,200602,0,0,36.33640849,0,0,0,0,0,0,0,0,0,0,0,720.665
30512,TUN,200603,0,0,36.3264788,0,0,0,0,0,0,0,0,0,0,0,785.240
30513,TUN,200604,0,0,36.31654911,0,0,0,0,0,0,0,0,0,0,0,855.902
30514,TUN,200605,0,0,36.30257991,0,0,0,0,0,0,0,0,0,0,0,887.125
30515,TUN,200606,0,0,36.28861071,0,0,0,0,0,0,0,0,0,0,0,804.841
30516,TUN,200607,0,0,36.27464151,0,0,0,0,0,0,0,0,0,0,0,785.309
30517,TUN,200608,0,0,36.27737735,0,0,0,0,0,0,0,0,0,0,0,816.582
30518,TUN,200609,0,0,36.2801132,0,0,0,0,0,0,0,0,0,0,0,845.685
30519,TUN,200610,0,0,36.28284904,0,0,0,0,0,0,0,0,0,0,0,887.020
30520,TUN,200611,0.228012213,0.506132211,36.39500787,0.506132211,0.345507241,0.319779213,3.8135E-05,0.194171348,0.506132211,0,0.302349936,0.020906711,0,0.185342202,907.644
30521,TUN,200612,0.456024426,1.012264421,36.5071667,1.012264421,0.691014483,0.639558426,7.627E-05,0.388342697,1.012264421,0,0.604699871,0.041813421,0,0.370684404,918.457
30522,TUN,200701,0.684036639,1.518396632,36.61932553,1.518396632,1.036521724,0.959337639,0.000114405,0.582514045,1.518396632,0,0.907049807,0.062720132,0,0.556026605,"1,015.822"
30523,TUN,200702,0.682515047,1.514020299,36.63347061,1.514020299,1.051945472,0.958011168,7.627E-05,0.565372833,1.514020299,0,0.911602142,0.041813421,0,0.554636943,965.431
30524,TUN,200703,0.680993456,1.509643967,36.6476157,1.509643967,1.06736922,0.956684696,3.8135E-05,0.548231621,1.509643967,0,0.916154477,0.020906711,0,0.553247281,956.251
30525,TUN,200704,0.679471864,1.505267635,36.66176078,1.505267635,1.082792968,0.955358225,0,0.531090409,1.505267635,0,0.920706813,0,0,0.551857619,970.776
30526,TUN,200705,0.691498759,1.497131794,36.6541224,1.497131794,0.964668318,1.002079728,0,0.467293223,1.497131794,0,0.889165157,0,0,0.548761763,945.888
30527,TUN,200706,0.703525655,1.488995953,36.64648402,1.488995953,0.846543667,1.048801232,0,0.403496037,1.488995953,0,0.857623502,0,0,0.545665907,905.269
30528,TUN,200707,0.715552551,1.480860112,36.63884564,1.480860112,0.728419016,1.095522735,0,0.33969885,1.480860112,0,0.826081847,0,0,0.542570051,887.245
30529,TUN,200708,0.698281568,1.481723133,36.63606411,1.481723133,0.793759822,1.056134635,0.001268901,0.37698271,1.481723133,0,0.833008196,0.033673729,0,0.542844989,912.071
30530,TUN,200709,0.681010586,1.482586154,36.63328259,1.482586154,0.859100627,1.016746534,0.002537802,0.414266569,1.482586154,0,0.839934544,0.067347458,0,0.543119927,928.540
30531,TUN,200710,0.663739604,1.483449174,36.63050106,1.483449174,0.924441432,0.977358433,0.003806703,0.451550429,1.483449174,0,0.846860893,0.101021187,0,0.543394865,984.350
30532,TUN,200711,0.989688228,1.812845696,37.25245029,1.812845696,1.284274356,0.908531782,0.261277165,0.60614488,1.812845696,0.42059482,0.998773624,0.179080578,0.5354165,0.6794268,"1,000.000"
30533,TUN,200712,1.315636853,2.142242217,37.87439952,2.142242217,1.644107279,0.83970513,0.518747626,0.760739331,2.142242217,0.841189641,1.150686356,0.257139969,1.070833001,0.815458734,"1,001.110"
30534,TUN,200801,1.641585478,2.471638739,38.49634876,2.471638739,2.003940203,0.770878479,0.776218088,0.915333783,2.471638739,1.261784461,1.302599087,0.335199361,1.606249501,0.951490669,998.114
30535,TUN,200802,1.636872349,2.461178793,38.49776739,2.461178793,1.920247151,0.789770293,0.774302977,0.952621133,2.461178793,1.238105133,1.336560711,0.346368475,1.582051414,0.94749859,"1,043.353"
30536,TUN,200803,1.63215922,2.450718848,38.49918602,2.450718848,1.836554099,0.808662108,0.772387866,0.989908484,2.450718848,1.214425805,1.370522336,0.35753759,1.557853327,0.943506511,"1,152.152"
30537,TUN,200804,1.627446091,2.440258902,38.50060465,2.440258902,1.752861047,0.827553922,0.770472756,1.027195834,2.440258902,1.190746477,1.40448396,0.368706704,1.53365524,0.939514432,"1,179.201"
30538,TUN,200805,1.646961891,2.466265356,38.50630544,2.466265356,1.780668411,0.857193138,0.823452097,1.03941453,2.466265356,1.17293967,1.434987783,0.38864001,1.496293798,0.949670636,"1,061.508"
30539,TUN,200806,1.666477691,2.49227181,38.51200624,2.49227181,1.808475774,0.886832354,0.876431439,1.051633225,2.49227181,1.155132863,1.465491605,0.408573316,1.458932355,0.95982684,"1,129.111"
30540,TUN,200807,1.68599349,2.518278263,38.51770703,2.518278263,1.836283138,0.91647157,0.929410781,1.063851921,2.518278263,1.137326055,1.495995428,0.428506621,1.421570913,0.969983044,"1,115.603"
30541,TUN,200808,1.651865973,2.464079621,38.47765625,2.464079621,1.821357218,0.878287973,0.807235296,1.016435568,2.464079621,1.15444661,1.477159556,0.400944278,1.460978318,0.9481635,"1,148.769"
30542,TUN,200809,1.617738455,2.409880979,38.43760547,2.409880979,1.806431297,0.840104376,0.685059811,0.969019215,2.409880979,1.171567164,1.458323683,0.373381935,1.500385723,0.926343957,"1,157.331"
30543,TUN,200810,1.583610937,2.355682337,38.39755469,2.355682337,1.791505376,0.801920779,0.562884326,0.921602861,2.355682337,1.188687718,1.439487811,0.345819592,1.539793128,0.904524414,955.147
30544,TUN,200811,1.797131362,2.691607984,38.54986935,2.416462475,2.31549001,0.915166412,0.382708317,1.45565283,2.691607984,1.394511575,2.057084951,0.593859425,1.880796496,1.038634689,945.748
30545,TUN,200812,2.010651788,3.027533631,38.70218401,2.477242614,2.839474644,1.028412046,0.202532309,1.989702799,3.027533631,1.600335433,2.674682092,0.841899259,2.221799865,1.172744965,944.032
30546,TUN,200901,2.224172213,3.363459278,38.85449867,2.538022752,3.363459278,1.141657679,0.022356301,2.523752767,3.363459278,1.80615929,3.292279232,1.089939092,2.562803233,1.306855241,902.686
