rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
30716,TUR,200012,6.155271565,14.12648566,45.53013597,3.109858523,6.07630183,4.630657523,5.254457607,3.783522958,10.19509299,5.565110863,4.190220684,4.667631771,6.830261654,6.61996931,100.000
30717,TUR,200101,4.466933576,10.11553172,43.18454455,1.173980242,6.291903656,3.538864688,5.012380312,1.97555872,8.748624383,2.135511286,2.822170431,2.435245328,3.608669528,4.368346301,115.358
30718,TUR,200102,4.492342474,10.12126965,43.17518628,1.27688122,6.346689265,3.51309644,5.024910784,2.003546398,8.837031638,2.198796806,2.856503458,2.488838883,3.664914444,4.369875952,67.780
30719,TUR,200103,4.517751373,10.12700759,43.165828,1.379782199,6.401474874,3.487328192,5.037441256,2.031534075,8.925438893,2.262082326,2.890836485,2.542432439,3.721159361,4.371405604,55.526
30720,TUR,200104,4.543160271,10.13274553,43.15646972,1.482683177,6.456260483,3.461559944,5.049971728,2.059521752,9.013846147,2.325367845,2.925169512,2.596025995,3.777404277,4.372935256,80.420
30721,TUR,200105,4.526592332,10.12780239,43.11425206,1.486521352,6.274725825,3.497861791,5.10578212,2.036001911,8.999840815,2.35321164,2.933777741,2.615364472,3.678657651,4.366530424,70.589
30722,TUR,200106,4.510024394,10.12285925,43.07203439,1.490359527,6.093191168,3.534163638,5.161592512,2.01248207,8.985835482,2.381055434,2.94238597,2.63470295,3.579911025,4.360125592,66.453
30723,TUR,200107,4.493456455,10.11791611,43.02981673,1.494197702,5.91165651,3.570465484,5.217402905,1.988962229,8.97183015,2.408899229,2.950994199,2.654041427,3.481164399,4.35372076,56.266
30724,TUR,200108,4.470289407,10.08079972,42.99254147,1.472364022,5.86787326,3.568543997,5.189430482,1.95750724,8.964867953,2.409931928,2.931438743,2.695962646,3.476746765,4.334019669,54.026
30725,TUR,200109,4.447122359,10.04368332,42.9552662,1.450530342,5.824090009,3.566622509,5.16145806,1.926052252,8.957905757,2.410964626,2.911883286,2.737883865,3.472329131,4.314318577,37.130
