rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
31582,UKR,200605,2.268784551,4.427233932,35.43782047,2.258929342,1.18597442,1.242520559,1.494483117,1.758671909,2.693877624,1.635205264,2.427000477,2.745315812,1.1443094,1.568907005,980.482
31583,UKR,200606,2.304879201,4.48942179,35.43122149,2.338650449,1.194364336,1.255571225,1.512740627,1.809552219,2.658999359,1.661964838,2.461332992,2.706732894,1.108585981,1.590648771,977.551
31584,UKR,200607,2.34097385,4.551609648,35.42462251,2.418371556,1.202754252,1.268621891,1.530998137,1.86043253,2.624121094,1.688724412,2.495665506,2.668149976,1.072862562,1.612390536,952.542
31585,UKR,200608,2.396591158,4.642006818,35.44901487,2.595009127,1.327858426,1.30562268,1.580301401,2.011274665,2.653384639,1.757792239,2.56440782,2.800320925,1.115896717,1.645589787,"1,022.574"
31586,UKR,200609,2.452208465,4.732403988,35.47340723,2.771646699,1.452962599,1.34262347,1.629604666,2.162116801,2.682648185,1.826860066,2.633150135,2.932491874,1.158930873,1.678789039,951.518
31587,UKR,200610,2.507825773,4.822801158,35.4977996,2.94828427,1.578066773,1.379624259,1.67890793,2.312958936,2.71191173,1.895927894,2.701892449,3.064662823,1.201965028,1.71198829,895.986
31588,UKR,200611,2.364711028,4.813621539,35.40026454,2.717817451,1.586551585,1.186903471,1.848061807,2.067324754,2.520869497,1.518054066,2.218309604,2.782949188,0.801310019,1.704052665,896.258
31589,UKR,200612,2.221596283,4.80444192,35.30272948,2.487350632,1.595036397,0.994182684,2.017215684,1.821690572,2.329827263,1.140180239,1.73472676,2.501235554,0.400655009,1.696117041,973.984
31590,UKR,200701,2.078481538,4.795262301,35.20519442,2.256883813,1.603521209,0.801461897,2.186369561,1.57605639,2.13878503,0.762306412,1.251143916,2.21952192,0,1.688181416,"1,116.769"
31591,UKR,200702,2.070599065,4.798320503,35.22835034,2.157713977,1.6416573,0.783913767,2.164210632,1.619124284,2.169412506,0.766352381,1.26429619,2.196941053,0,1.690370573,"1,078.928"
31592,UKR,200703,2.062716591,4.801378704,35.25150626,2.05854414,1.679793391,0.766365637,2.142051702,1.662192179,2.200039983,0.770398351,1.277448464,2.174360185,0,1.692559731,"1,124.789"
31593,UKR,200704,2.054834118,4.804436905,35.27466218,1.959374303,1.717929481,0.748817507,2.119892773,1.705260074,2.230667459,0.774444321,1.290600738,2.151779318,0,1.694748888,"1,160.906"
31594,UKR,200705,2.090856451,4.845152222,35.26841853,2.071827416,1.720970181,0.795135401,2.172565131,1.709276935,2.308077839,0.811600616,1.336922395,2.238438512,0.054185714,1.70880348,"1,166.758"
31595,UKR,200706,2.126878784,4.88586754,35.26217488,2.18428053,1.72401088,0.841453296,2.22523749,1.713293797,2.385488219,0.848756911,1.383244052,2.325097706,0.108371429,1.722858072,"1,107.103"
31596,UKR,200707,2.162901117,4.926582858,35.25593124,2.296733643,1.727051579,0.88777119,2.277909848,1.717310658,2.462898599,0.885913206,1.429565708,2.411756901,0.162557143,1.736912665,"1,160.853"
31597,UKR,200708,2.170400988,4.938624158,35.23585346,2.336732376,1.623069201,0.920329651,2.34487274,1.732412936,2.463995893,0.906349587,1.443643824,2.410639414,0.12207144,1.740161536,"1,023.411"
31598,UKR,200709,2.177900858,4.950665459,35.21577568,2.376731109,1.519086823,0.952888111,2.411835633,1.747515214,2.465093187,0.926785969,1.45772194,2.409521927,0.081585737,1.743410408,995.984
31599,UKR,200710,2.185400728,4.96270676,35.19569791,2.416729842,1.415104445,0.985446572,2.478798525,1.762617491,2.46619048,0.94722235,1.471800057,2.40840444,0.041100034,1.746659279,"1,087.663"
31600,UKR,200711,1.710864717,4.012705097,35.28899752,1.611153228,1.51280448,0.656964381,1.657822937,1.460377742,1.734320232,0.631481567,1.080767358,1.722753461,0.045462248,1.414270707,"1,000.000"
31601,UKR,200712,1.236328706,3.062703435,35.38229713,0.805576614,1.610504515,0.328482191,0.836847349,1.158137993,1.002449984,0.315740783,0.689734659,1.037102482,0.049824461,1.081882134,"1,060.077"
31602,UKR,200801,0.761792694,2.112701773,35.47559674,0,1.708204551,0,0.015871761,0.855898244,0.270579736,0,0.298701961,0.351451503,0.054186675,0.749493561,985.347
31603,UKR,200802,0.78318952,2.110209886,35.47242175,0.143511414,1.735101424,0.001563182,0.069527181,0.842240853,0.281985749,0,0.297252376,0.438543864,0.084499172,0.748542709,"1,003.041"
31604,UKR,200803,0.804586345,2.107717999,35.46924677,0.287022828,1.761998298,0.003126365,0.123182601,0.828583462,0.293391762,0,0.29580279,0.525636225,0.11481167,0.747591856,901.465
31605,UKR,200804,0.82598317,2.105226112,35.46607178,0.430534242,1.788895171,0.004689547,0.17683802,0.814926071,0.304797775,0,0.294353205,0.612728586,0.145124167,0.746641004,828.075
31606,UKR,200805,0.806921821,2.119380413,35.48347134,0.312790457,1.786224987,0.003126365,0.2077258,0.879328128,0.37598674,0,0.294386544,0.613768287,0.159165493,0.752034667,887.238
31607,UKR,200806,0.787860472,2.133534713,35.50087089,0.195046672,1.783554803,0.001563182,0.23861358,0.943730186,0.447175704,0,0.294419883,0.614807988,0.173206818,0.757428329,796.989
31608,UKR,200807,0.768799123,2.147689013,35.51827045,0.077302887,1.780884619,0,0.26950136,1.008132243,0.518364669,0,0.294453223,0.615847689,0.187248144,0.762821992,654.600
31609,UKR,200808,0.812491681,2.215071773,35.51009287,0.111523421,1.901544461,0.010554756,0.274188305,1.131325146,0.597291402,0,0.388370177,0.656219911,0.315251461,0.786563023,552.854
31610,UKR,200809,0.856184238,2.282454533,35.50191529,0.145743955,2.022204302,0.021109512,0.278875251,1.254518048,0.676218134,0,0.482287131,0.696592133,0.443254778,0.810304054,342.595
31611,UKR,200810,0.899876795,2.349837292,35.49373771,0.17996449,2.142864144,0.031664268,0.283562196,1.377710951,0.755144867,0,0.576204085,0.736964355,0.571258095,0.834045085,221.334
31612,UKR,200811,1.079435259,2.430092391,36.02458575,0.672685754,2.126164572,0.434849241,0.315715391,1.20792967,1.24764305,0.429361934,0.811501352,1.354843767,1.03942733,0.876282783,182.085
31613,UKR,200812,1.258993723,2.51034749,36.55543379,1.165407018,2.109465,0.838034215,0.347868585,1.038148389,1.740141234,0.858723868,1.046798619,1.972723178,1.507596565,0.91852048,171.146
31614,UKR,200901,1.438552187,2.590602589,37.08628184,1.658128282,2.092765428,1.241219189,0.38002178,0.868367108,2.232639417,1.288085801,1.282095886,2.590602589,1.975765801,0.960758178,155.481
31615,UKR,200902,1.437423126,2.601550466,37.06341967,1.638472831,2.129036263,1.249224922,0.324406781,0.876102741,2.239473228,1.250673575,1.277585659,2.601550466,1.916782333,0.964218561,122.457
31616,UKR,200903,1.436294065,2.612498343,37.0405575,1.61881738,2.165307099,1.257230654,0.268791783,0.883838373,2.246307039,1.213261349,1.273075433,2.612498343,1.857798864,0.967678945,130.965
31617,UKR,200904,1.435165004,2.623446219,37.01769532,1.599161928,2.201577934,1.265236387,0.213176784,0.891574006,2.25314085,1.175849123,1.268565206,2.623446219,1.798815396,0.971139328,165.612
31618,UKR,200905,1.423739356,2.605401855,37.01763077,1.592880239,2.198254317,1.253816149,0.168427008,0.846682843,2.235440024,1.196644012,1.255196589,2.605401855,1.766580501,0.964458062,225.806
31619,UKR,200906,1.412313707,2.58735749,37.01756622,1.586598549,2.1949307,1.242395912,0.123677232,0.801791679,2.217739198,1.217438901,1.241827973,2.58735749,1.734345605,0.957776796,214.545
31620,UKR,200907,1.400888058,2.569313126,37.01750166,1.58031686,2.191607084,1.230975674,0.078927456,0.756900516,2.200038372,1.23823379,1.228459356,2.569313126,1.702110709,0.951095529,208.569
31621,UKR,200908,1.387281597,2.546733229,37.0140898,1.465031085,2.217765182,1.174535232,0.100035427,0.723095034,2.167444833,1.202649501,1.194158114,2.546733229,1.681552108,0.942651665,195.510
31622,UKR,200909,1.373675135,2.524153333,37.01067794,1.34974531,2.24392328,1.118094789,0.121143399,0.689289551,2.134851294,1.167065213,1.159856871,2.524153333,1.660993508,0.934207801,209.545
31623,UKR,200910,1.360068674,2.501573436,37.00726608,1.234459535,2.270081378,1.061654347,0.142251371,0.655484069,2.102257756,1.131480924,1.125555628,2.501573436,1.640434907,0.925763938,258.592
31624,UKR,200911,1.281753951,2.407572868,36.85710734,0.883476776,1.933377187,0.935562605,0.370119457,0.501804259,1.976767196,1.065208997,0.883779662,2.317023183,1.315483748,0.887644016,236.163
31625,UKR,200912,1.203439229,2.3135723,36.7069486,0.532494017,1.596672997,0.809470862,0.597987542,0.348124449,1.851276637,0.99893707,0.642003696,2.13247293,0.99053259,0.849524095,220.862
31626,UKR,201001,1.125124506,2.219571732,36.55678986,0.181511258,1.259968806,0.68337912,0.825855628,0.194444638,1.725786078,0.932665143,0.400227731,1.947922677,0.665581431,0.811404174,239.376
31627,UKR,201002,0.831292682,1.77572218,36.41541883,0.121007505,0.839979204,0.751593772,0.797289303,0.346617799,1.150524052,0.917784454,0.266818487,1.59462281,0.739728646,0.647891619,264.034
31628,UKR,201003,0.537460859,1.331872628,36.2740478,0.060503753,0.419989602,0.819808424,0.768722977,0.498790959,0.575262026,0.902903765,0.133409244,1.241322943,0.813875861,0.484379063,328.179
31629,UKR,201004,0.243629035,0.888023076,36.13267677,0,0,0.888023076,0.740156652,0.65096412,0,0.888023076,0,0.888023076,0.888023076,0.320866508,358.704
31630,UKR,201005,0.563282274,1.172090287,36.23335388,0,0.135675471,1.102613293,1.073512671,1.014050983,0.213695418,1.172090287,0.580074903,1.152882632,1.172090287,0.425259603,260.917
31631,UKR,201006,0.882935514,1.456157498,36.334031,0,0.271350943,1.317203511,1.40686869,1.377137846,0.427390836,1.456157498,1.160149806,1.417742187,1.456157498,0.529652698,278.335
31632,UKR,201007,1.202588754,1.740224709,36.43470811,0,0.407026414,1.531793728,1.740224709,1.740224709,0.641086254,1.740224709,1.740224709,1.682601743,1.740224709,0.634045793,296.357
31633,UKR,201008,1.72912164,2.301399377,36.53019564,0.368591578,0.535101215,1.857487565,2.301399377,2.301399377,1.020493755,2.179695148,2.301399377,1.782262473,2.301399377,0.841777398,262.052
31634,UKR,201009,2.255654527,2.862574045,36.62568316,0.737183155,0.663176016,2.183181402,2.862574045,2.862574045,1.399901257,2.619165587,2.862574045,1.881923203,2.862574045,1.049509004,261.213
31635,UKR,201010,2.782187414,3.423748713,36.72117068,1.105774733,0.791250817,2.508875238,3.423748713,3.423748713,1.779308758,3.058636026,3.423748713,1.981583933,3.423748713,1.257240609,253.040
31636,UKR,201011,1.85479161,2.282499142,36.29331879,0.737183155,0.527500545,1.672583492,2.282499142,2.282499142,1.186205839,2.039090684,2.282499142,1.321055956,2.282499142,0.838160406,275.635
31637,UKR,201012,0.927395805,1.141249571,35.8654669,0.368591578,0.263750272,0.836291746,1.141249571,1.141249571,0.593102919,1.019545342,1.141249571,0.660527978,1.141249571,0.419080203,329.512
31638,UKR,201101,0,0,35.437615,0,0,0,0,0,0,0,0,0,0,0,357.453
31639,UKR,201102,0.076295524,0.04618843,35.47336631,0.04618843,0,0.04618843,0.034262617,0.04618843,0.04618843,0.04618843,0.04618843,0.04618843,0.04618843,0.016417617,420.106
31640,UKR,201103,0.152591048,0.092376861,35.50911761,0.092376861,0,0.092376861,0.068525233,0.092376861,0.092376861,0.092376861,0.092376861,0.092376861,0.092376861,0.032835234,400.243
31641,UKR,201104,0.228886572,0.138565291,35.54486892,0.138565291,0,0.138565291,0.10278785,0.138565291,0.138565291,0.138565291,0.138565291,0.138565291,0.138565291,0.049252851,404.773
31642,UKR,201105,0.282448604,0.190605777,35.55481326,0.190605777,0,0.190605777,0.166754149,0.190605777,0.176854214,0.190605777,0.190605777,0.165645457,0.173167294,0.067779878,371.074
31643,UKR,201106,0.336010637,0.242646262,35.56475761,0.242646262,0,0.242646262,0.230720448,0.242646262,0.215143136,0.242646262,0.242646262,0.192725622,0.207769296,0.086306905,346.419
31644,UKR,201107,0.38957267,0.294686748,35.57470196,0.294686748,0,0.294686748,0.294686748,0.294686748,0.253432059,0.294686748,0.294686748,0.219805787,0.242371299,0.104833932,353.337
31645,UKR,201108,0.259715113,0.196457832,35.46363735,0.196457832,0,0.196457832,0.196457832,0.196457832,0.168954706,0.196457832,0.196457832,0.146537192,0.161580866,0.069889288,289.123
31646,UKR,201109,0.129857557,0.098228916,35.35257274,0.098228916,0,0.098228916,0.098228916,0.098228916,0.084477353,0.098228916,0.098228916,0.073268596,0.080790433,0.034944644,206.447
31647,UKR,201110,0,0,35.24150813,0,0,0,0,0,0,0,0,0,0,0,197.218
31648,UKR,201111,0.19397834,0.180803521,35.2253453,0.180803521,0,0.180803521,0,0.180803521,0.180803521,0.180803521,0.048779998,0.180803521,0,0.063630219,218.664
31649,UKR,201112,0.387956681,0.361607042,35.20918246,0.361607042,0,0.361607042,0,0.361607042,0.361607042,0.361607042,0.097559996,0.361607042,0,0.127260437,178.610
31650,UKR,201201,0.581935021,0.542410563,35.19301963,0.542410563,0,0.542410563,0,0.542410563,0.542410563,0.542410563,0.146339994,0.542410563,0,0.190890656,183.064
31651,UKR,201202,0.527856351,0.512688757,35.12760806,0.512688757,0,0.512688757,0,0.512688757,0.512688757,0.512688757,0.097559996,0.512688757,0,0.18013418,177.122
31652,UKR,201203,0.473777681,0.482966951,35.0621965,0.482966951,0,0.482966951,0,0.482966951,0.482966951,0.482966951,0.048779998,0.482966951,0,0.169377704,165.339
31653,UKR,201204,0.419699011,0.453245145,34.99678493,0.453245145,0,0.453245145,0,0.453245145,0.453245145,0.453245145,0,0.453245145,0,0.158621229,164.401
31654,UKR,201205,0.279799341,0.30216343,34.90755481,0.30216343,0,0.30216343,0,0.30216343,0.30216343,0.30216343,0,0.30216343,0,0.105747486,118.565
31655,UKR,201206,0.13989967,0.151081715,34.81832468,0.151081715,0,0.151081715,0,0.151081715,0.151081715,0.151081715,0,0.151081715,0,0.052873743,105.886
31656,UKR,201207,0,0,34.72909456,0,0,0,0,0,0,0,0,0,0,0,111.600
31657,UKR,201208,0,0.102263604,34.67294735,0.102263604,0,0.102263604,0,0.102263604,0.102263604,0,0,0.102263604,0,0.035342969,109.247
31658,UKR,201209,0,0.204527207,34.61680013,0.204527207,0,0.204527207,0,0.204527207,0.204527207,0,0,0.204527207,0,0.070685938,105.200
31659,UKR,201210,0,0.306790811,34.56065292,0.306790811,0,0.306790811,0,0.306790811,0.306790811,0,0,0.306790811,0,0.106028907,96.752
31660,UKR,201211,0.069736519,0.226126278,34.82073073,0.226126278,0.021599071,0.226126278,0,0.226126278,0.226126278,0.021599071,0.021599071,0.226126278,0.021599071,0.078319241,87.682
31661,UKR,201212,0.139473038,0.145461746,35.08080855,0.145461746,0.043198142,0.145461746,0,0.145461746,0.145461746,0.043198142,0.043198142,0.145461746,0.043198142,0.050609575,90.742
31662,UKR,201301,0.209209558,0.064797213,35.34088636,0.064797213,0.064797213,0.064797213,0,0.064797213,0.064797213,0.064797213,0.064797213,0.064797213,0.064797213,0.02289991,96.420
31663,UKR,201302,0.224982829,0.043198142,35.40898424,0.043198142,0.043198142,0.043198142,0,0.043198142,0.043198142,0.043198142,0.043198142,0.043198142,0.043198142,0.015266606,114.049
31664,UKR,201303,0.2407561,0.021599071,35.47708212,0.021599071,0.021599071,0.021599071,0,0.021599071,0.021599071,0.021599071,0.021599071,0.021599071,0.021599071,0.007633303,93.639
31665,UKR,201304,0.25652937,0,35.54518,0,0,0,0,0,0,0,0,0,0,0,84.925
31666,UKR,201305,0.17101958,0,35.59689624,0,0,0,0,0,0,0,0,0,0,0,87.199
31667,UKR,201306,0.08550979,0,35.64861247,0,0,0,0,0,0,0,0,0,0,0,83.363
31668,UKR,201307,0,0,35.7003287,0,0,0,0,0,0,0,0,0,0,0,80.054
31669,UKR,201308,0,0,35.59220239,0,0,0,0,0,0,0,0,0,0,0,74.973
31670,UKR,201309,0,0,35.48407608,0,0,0,0,0,0,0,0,0,0,0,71.889
31671,UKR,201310,0,0,35.37594977,0,0,0,0,0,0,0,0,0,0,0,70.702
31672,UKR,201311,0,0.085555196,35.31114743,0.085555196,0,0.085555196,0,0.085555196,0.085555196,0.032080186,0,0.085555196,0,0.030099638,71.230
31673,UKR,201312,0,0.171110393,35.24634509,0.171110393,0,0.171110393,0,0.171110393,0.171110393,0.064160372,0,0.171110393,0,0.060199276,76.575
31674,UKR,201401,0,0.256665589,35.18154275,0.256665589,0,0.256665589,0,0.256665589,0.256665589,0.096240559,0,0.256665589,0,0.090298914,75.880
31675,UKR,201402,0,0.171110393,34.97747499,0.171110393,0,0.171110393,0,0.171110393,0.171110393,0.064160372,0,0.171110393,0,0.060199276,89.795
31676,UKR,201403,0,0.085555196,34.77340724,0.085555196,0,0.085555196,0,0.085555196,0.085555196,0.032080186,0,0.085555196,0,0.030099638,72.661
31677,UKR,201404,0,0,34.56933948,0,0,0,0,0,0,0,0,0,0,0,80.028
31678,UKR,201405,0,0.018731901,34.70742003,0.018731901,0,0.018731901,0,0,0.018731901,0,0,0.018731901,0,0.00655309,90.918
31679,UKR,201406,0,0.037463803,34.84550057,0.037463803,0,0.037463803,0,0,0.037463803,0,0,0.037463803,0,0.01310618,91.851
31680,UKR,201407,0,0.056195704,34.98358111,0.056195704,0,0.056195704,0,0,0.056195704,0,0,0.056195704,0,0.01965927,107.764
31681,UKR,201408,0,0.037463803,34.95201997,0.037463803,0,0.037463803,0,0,0.037463803,0,0,0.037463803,0,0.01310618,93.232
31682,UKR,201409,0,0.018731901,34.92045882,0.018731901,0,0.018731901,0,0,0.018731901,0,0,0.018731901,0,0.00655309,93.980
31683,UKR,201410,0,0,34.88889768,0,0,0,0,0,0,0,0,0,0,0,95.496
31684,UKR,201411,0.227993545,0.682833484,34.83330528,0.682833484,0.060160619,0.34941391,0,0.682833484,0.682833484,0.466892672,0.605839544,0.682833484,0.534490864,0.237094265,69.591
31685,UKR,201412,0.45598709,1.365666968,34.77771287,1.365666968,0.120321238,0.698827819,0,1.365666968,1.365666968,0.933785343,1.211679089,1.365666968,1.068981727,0.47418853,69.691
31686,UKR,201501,0.683980636,2.048500451,34.72212047,2.048500451,0.180481858,1.048241729,0,2.048500451,2.048500451,1.400678015,1.817518633,2.048500451,1.603472591,0.711282794,74.853
31687,UKR,201502,1.597631964,3.016456184,35.15268051,3.016456184,1.592111064,1.202245494,1.160633654,3.016456184,3.016456184,2.082683009,2.862468306,3.016456184,2.719770944,1.068700466,54.783
31688,UKR,201503,2.511283292,3.984411917,35.58324055,3.984411917,3.003740271,1.356249259,2.321267308,3.984411917,3.984411917,2.764688003,3.907417978,3.984411917,3.836069297,1.426118138,57.211
31689,UKR,201504,3.42493462,4.95236765,36.01380059,4.95236765,4.415369477,1.510253024,3.481900962,4.95236765,4.95236765,3.446692997,4.95236765,4.95236765,4.95236765,1.78353581,63.708
31690,UKR,201505,3.408073557,4.875853554,36.07950706,4.744499486,4.517854772,1.335847297,3.413676275,4.875853554,4.875853554,3.356835725,4.875853554,4.875853554,4.875853554,1.759083378,63.369
31691,UKR,201506,3.391212495,4.799339458,36.14521353,4.536631322,4.620340067,1.16144157,3.345451588,4.799339458,4.799339458,3.266978453,4.799339458,4.799339458,4.799339458,1.734630946,67.185
31692,UKR,201507,3.374351432,4.722825362,36.21092,4.328763158,4.722825362,0.987035842,3.277226902,4.722825362,4.722825362,3.17712118,4.722825362,4.722825362,4.722825362,1.710178513,63.887
