rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
32389,VNM,200611,5.635502193,12.93485674,45.63338782,3.677065044,5.903365762,5.770837513,3.289853389,2.739762522,8.989718926,10.72319406,5.040718323,6.829243677,7.045093089,5.90307356,581.91
32390,VNM,200612,5.478001015,12.60892139,45.56278786,4.454993166,5.092799861,5.873767484,2.887474328,3.215859279,9.274697417,10.60343494,4.833144311,7.671118876,6.41150406,5.745436325,861.28
32391,VNM,200701,5.320499838,12.28298604,45.4921879,5.232921287,4.28223396,5.976697456,2.485095268,3.691956036,9.559675908,10.48367582,4.6255703,8.512994074,5.777915032,5.58779909,1280.53
32392,VNM,200702,5.30536863,12.23792556,45.43892505,5.274743694,4.092609193,5.985883408,2.465909906,3.608359229,9.442268756,10.40378921,4.588423905,8.36637621,5.63025978,5.560829823,1290.41
32393,VNM,200703,5.290237421,12.19286507,45.38566221,5.316566101,3.902984427,5.995069361,2.446724545,3.524762422,9.324861605,10.3239026,4.551277509,8.219758345,5.482604529,5.533860557,1100.94
32394,VNM,200704,5.275106213,12.14780459,45.33239936,5.358388508,3.713359661,6.004255313,2.427539183,3.441165614,9.207454453,10.24401599,4.514131114,8.073140481,5.334949278,5.506891291,930.56
32395,VNM,200705,5.277416552,12.15349612,45.31205656,5.428752039,3.726434179,6.017356203,2.42934159,3.437905213,9.281427034,10.24167321,4.545139567,8.209759344,5.387069853,5.50699672,1124.43
32396,VNM,200706,5.279726891,12.15918764,45.29171377,5.49911557,3.739508697,6.030457094,2.431143996,3.434644812,9.355399615,10.23933043,4.576148021,8.346378207,5.439190429,5.507102149,1008.71
32397,VNM,200707,5.282037229,12.16487917,45.27137097,5.569479101,3.752583214,6.043557984,2.432946403,3.431384411,9.429372196,10.23698765,4.607156474,8.48299707,5.491311004,5.507207578,866.30
32398,VNM,200708,5.275865909,12.16077288,45.29481752,5.489176051,3.767786582,6.025143912,2.436191126,3.425154862,9.437096297,10.22118716,4.609186182,8.435157013,5.498250916,5.508197961,842.15
32399,VNM,200709,5.269694589,12.15666659,45.31826407,5.408873001,3.782989949,6.006729839,2.439435849,3.418925314,9.444820398,10.20538667,4.61121589,8.387316956,5.505190829,5.509188344,1021.12
32400,VNM,200710,5.263523269,12.1525603,45.34171062,5.328569951,3.798193317,5.988315767,2.442680572,3.412695765,9.452544499,10.18958618,4.613245598,8.339476899,5.512130741,5.510178726,1082.64
32401,VNM,200711,5.147535083,11.75549606,45.25351589,5.606078817,3.701755259,6.022241995,1.92116501,3.532590437,9.532720141,9.86197592,4.685514013,8.73334909,5.204477059,5.320475657,1000.00
32402,VNM,200712,5.031546897,11.35843182,45.16532116,5.883587683,3.605317202,6.056168223,1.399649448,3.65248511,9.612895782,9.534365662,4.757782428,9.127221282,4.896823376,5.130772588,985.57
32403,VNM,200801,4.915558711,10.96136757,45.07712643,6.161096549,3.508879144,6.09009445,0.878133886,3.772379782,9.693071424,9.206755404,4.830050843,9.521093473,4.589169693,4.941069518,906.92
32404,VNM,200802,4.960123677,10.9749917,45.12481362,6.416715416,3.438299641,6.128172938,0.949234323,3.829137659,9.55048262,9.042591384,4.837335985,9.414624044,4.449733846,4.952457543,692.83
32405,VNM,200803,5.004688642,10.98861583,45.17250081,6.672334283,3.367720138,6.166251426,1.02033476,3.885895535,9.407893817,8.878427363,4.844621126,9.308154615,4.310297998,4.963845567,549.16
32406,VNM,200804,5.049253608,11.00223995,45.22018799,6.927953149,3.297140635,6.204329914,1.091435197,3.942653412,9.265305013,8.714263343,4.851906268,9.201685186,4.17086215,4.975233591,571.09
32407,VNM,200805,5.003432248,10.91740807,45.25595039,6.791805753,3.289212173,6.185686115,1.038510038,3.952716202,9.148863034,8.560386649,4.812841933,9.150209105,4.029453923,4.940716105,435.32
32408,VNM,200806,4.957610888,10.83257619,45.29171278,6.655658357,3.281283712,6.167042316,0.985584879,3.962778992,9.032421056,8.406509955,4.773777598,9.098733025,3.888045697,4.90619862,423.17
32409,VNM,200807,4.911789528,10.74774431,45.32747517,6.519510961,3.27335525,6.148398517,0.93265972,3.972841782,8.915979077,8.252633261,4.734713263,9.047256945,3.74663747,4.871681134,529.15
32410,VNM,200808,4.876103531,10.72803006,45.32847202,6.373668166,3.269831771,6.114493288,0.86898253,3.997088989,8.871869878,8.197766829,4.697842273,9.05357508,3.715363875,4.862851712,655.06
