rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
33119,ZAF,200012,2.043266491,5.14892354,36.72122417,3.16429349,1.024359593,2.354468509,0.162571035,3.985373315,1.283239139,1.760132494,1.024760678,0.075968003,1.702494982,1.911462271,100.000
33120,ZAF,200101,3.064899736,5.881737643,38.13457822,2.904792568,1.53653939,3.531702763,0.243856553,4.136412305,1.924858709,1.386194835,1.537141017,0.113952004,1.260038042,2.242975842,105.965
33121,ZAF,200102,3.08304204,5.908048251,38.12320988,2.866653565,1.615308621,3.570242636,0.221487415,4.029870037,2.014808064,1.473996736,1.580169356,0.198439698,1.320033825,2.252331653,106.397
33122,ZAF,200103,3.101184344,5.934358859,38.11184155,2.828514561,1.694077853,3.608782509,0.199118276,3.923327769,2.104757419,1.561798636,1.623197695,0.282927392,1.380029607,2.261687463,92.005
33123,ZAF,200104,3.119326649,5.960669467,38.10047322,2.790375558,1.772847084,3.647322381,0.176749137,3.816785501,2.194706774,1.649600537,1.666226034,0.367415086,1.440025389,2.271043274,102.800
33124,ZAF,200105,3.121302359,5.952893663,38.09826841,2.85778275,1.783848936,3.638797571,0.190192779,3.848227333,2.18400891,1.612791134,1.670032861,0.357694151,1.44433869,2.267949749,108.753
33125,ZAF,200106,3.123278069,5.945117858,38.09606361,2.925189941,1.794850789,3.630272762,0.20363642,3.879669164,2.173311046,1.57598173,1.673839689,0.347973215,1.448651991,2.264856223,104.844
33126,ZAF,200107,3.125253779,5.937342053,38.0938588,2.992597133,1.805852642,3.621747952,0.217080061,3.911110995,2.162613182,1.539172327,1.677646517,0.33825228,1.452965292,2.261762698,92.475
33127,ZAF,200108,3.118822376,5.933755597,38.09257357,3.002823389,1.756445293,3.596350676,0.228508396,3.904978015,2.139127868,1.577609968,1.697942927,0.26406258,1.445145488,2.260320309,96.883
33128,ZAF,200109,3.112390973,5.93016914,38.09128835,3.013049646,1.707037944,3.5709534,0.23993673,3.898845035,2.115642554,1.616047608,1.718239338,0.18987288,1.437325684,2.258877919,82.162
33129,ZAF,200110,3.10595957,5.926582683,38.09000312,3.023275903,1.657630596,3.545556124,0.251365065,3.892712055,2.092157241,1.654485249,1.738535748,0.11568318,1.42950588,2.257435529,83.766
33130,ZAF,200111,3.492398817,6.421720061,38.61906429,3.623179826,2.207828672,3.619001553,0.526924615,4.292495163,2.923319423,1.950715931,2.403214548,1.187197831,1.814664497,2.485247358,86.007
33131,ZAF,200112,3.878838064,6.916857438,39.14812546,4.22308375,2.758026749,3.692446983,0.802484165,4.692278272,3.754481605,2.246946613,3.067893348,2.258712482,2.199823114,2.713059187,82.794
33132,ZAF,200201,4.265277311,7.411994816,39.67718662,4.822987673,3.308224825,3.765892412,1.078043716,5.09206138,4.585643787,2.543177295,3.732572148,3.330227134,2.584981731,2.940871016,86.447
33133,ZAF,200202,4.303596853,7.495623449,39.76932059,4.792967217,3.474023055,3.813249688,1.11434739,5.215665802,4.672148038,2.590411704,3.785449487,3.449720198,2.661429386,2.981112621,91.078
33134,ZAF,200203,4.341916396,7.579252082,39.86145456,4.76294676,3.639821286,3.860606963,1.150651064,5.339270225,4.758652289,2.637646114,3.838326826,3.569213262,2.737877042,3.021354226,92.903
33135,ZAF,200204,4.380235938,7.662880716,39.95358853,4.732926303,3.805619516,3.907964239,1.186954738,5.462874647,4.84515654,2.684880524,3.891204165,3.688706327,2.814324698,3.061595831,101.287
33136,ZAF,200205,4.375836423,7.619325617,39.9132765,4.800195325,3.755034284,3.796811457,1.15617057,5.44936902,4.964751732,2.686889513,3.663568539,3.556115422,2.829237572,3.041157617,111.478
33137,ZAF,200206,4.371436908,7.575770518,39.87296447,4.867464347,3.704449052,3.685658675,1.125386402,5.435863392,5.084346925,2.688898502,3.435932914,3.423524518,2.844150447,3.020719403,100.188
33138,ZAF,200207,4.367037393,7.532215419,39.83265244,4.934733368,3.65386382,3.574505892,1.094602233,5.422357765,5.203942118,2.690907492,3.208297288,3.290933614,2.859063321,3.000281189,84.459
33139,ZAF,200208,4.401441502,7.608364902,39.84613184,4.864403957,3.761691042,3.604181725,1.124037412,5.489175325,5.307949682,2.710677552,3.237805523,3.379411701,2.902245443,3.031659639,87.366
33140,ZAF,200209,4.435845611,7.684514386,39.85961123,4.794074545,3.869518265,3.633857558,1.15347259,5.555992886,5.411957247,2.730447613,3.267313758,3.467889789,2.945427565,3.063038088,87.504
33141,ZAF,200210,4.470249721,7.76066387,39.87309063,4.723745133,3.977345487,3.66353339,1.182907769,5.622810446,5.515964811,2.750217674,3.296821994,3.556367876,2.988609687,3.094416538,91.388
33142,ZAF,200211,4.332441907,7.655205796,39.59563468,4.376757229,3.799217424,3.833389498,1.331967747,5.797829272,5.400436545,2.459821425,3.332494035,3.864625779,3.029936933,3.031712521,100.206
33143,ZAF,200212,4.194634094,7.549747723,39.31817874,4.029769325,3.62108936,4.003245605,1.481027726,5.972848099,5.284908278,2.169425176,3.368166077,4.172883681,3.07126418,2.969008503,105.971
33144,ZAF,200301,4.05682628,7.44428965,39.04072279,3.682781421,3.442961297,4.173101712,1.630087705,6.147866925,5.169380012,1.879028927,3.403838118,4.481141583,3.112591426,2.906304486,102.226
33145,ZAF,200302,4.046658789,7.428944167,39.0162633,3.79070603,3.401565228,4.158980423,1.572093534,6.194554756,5.159170868,1.879193408,3.437351592,4.54092009,3.114841768,2.898503924,103.219
33146,ZAF,200303,4.036491299,7.413598684,38.99180382,3.898630638,3.360169158,4.144859133,1.514099363,6.241242586,5.148961724,1.879357889,3.470865065,4.600698597,3.11709211,2.890703362,98.152
33147,ZAF,200304,4.026323808,7.398253201,38.96734433,4.006555247,3.318773089,4.130737843,1.456105192,6.287930417,5.13875258,1.87952237,3.504378538,4.660477104,3.119342452,2.882902799,103.913
33148,ZAF,200305,4.029213343,7.393345456,38.93724536,3.986042149,3.328448169,4.10960686,1.417160399,6.295233539,5.053784149,1.887713429,3.479763428,4.542264947,3.074123877,2.878768015,107.176
33149,ZAF,200306,4.032102878,7.388437712,38.90714639,3.965529051,3.338123249,4.088475877,1.378215607,6.302536662,4.968815717,1.895904488,3.455148318,4.424052791,3.028905302,2.874633231,111.507
33150,ZAF,200307,4.034992412,7.383529968,38.87704742,3.945015952,3.34779833,4.067344893,1.339270814,6.309839784,4.883847286,1.904095548,3.430533208,4.305840634,2.983686727,2.870498447,118.989
33151,ZAF,200308,3.937253356,7.206438952,38.74467691,3.815802618,3.104237565,3.979608129,1.269927307,6.05307493,4.744655009,1.846617169,3.301960359,4.098111522,2.9199037,2.792580321,126.728
33152,ZAF,200309,3.839514301,7.029347936,38.6123064,3.686589283,2.860676801,3.891871364,1.200583801,5.796310076,4.605462731,1.789138791,3.173387509,3.89038241,2.856120672,2.714662195,128.382
33153,ZAF,200310,3.741775245,6.852256921,38.47993588,3.557375948,2.617116036,3.8041346,1.131240294,5.539545222,4.466270454,1.731660412,3.044814659,3.682653298,2.792337645,2.63674407,141.673
33154,ZAF,200311,3.159199763,6.051299492,38.52943805,2.795309624,2.157412204,3.402776221,0.815599599,4.626681815,4.179906484,1.623698598,2.385002599,3.433321332,2.505140965,2.330738706,152.190
33155,ZAF,200312,2.576624282,5.250342063,38.57894021,2.0332433,1.697708372,3.001417843,0.499958905,3.713818408,3.893542513,1.515736784,1.725190538,3.183989366,2.217944286,2.024733343,154.573
33156,ZAF,200401,1.9940488,4.449384635,38.62844237,1.271176976,1.23800454,2.600059464,0.184318211,2.800955001,3.607178543,1.407774971,1.065378478,2.934657399,1.930747607,1.71872798,153.458
33157,ZAF,200402,2.044368334,4.540050437,38.64680736,1.173921292,1.470766637,2.595009721,0.157781918,2.828250433,3.650873016,1.421782323,1.098173582,3.035226257,1.979301721,1.754617848,162.503
33158,ZAF,200403,2.094687868,4.630716238,38.66517235,1.076665608,1.703528734,2.589959977,0.131245625,2.855545865,3.694567488,1.435789675,1.130968686,3.135795114,2.027855835,1.790507716,168.698
33159,ZAF,200404,2.145007403,4.72138204,38.68353734,0.979409924,1.936290831,2.584910234,0.104709333,2.882841297,3.738261961,1.449797027,1.163763789,3.236363972,2.076409949,1.826397585,146.352
33160,ZAF,200405,2.122238746,4.673473964,38.68245245,1.015961416,1.779639567,2.629161182,0.158328633,2.838668238,3.742314763,1.438175459,1.172509766,3.222652464,2.032985266,1.807815383,157.070
33161,ZAF,200406,2.099470089,4.625565887,38.68136755,1.052512908,1.622988303,2.673412131,0.211947933,2.794495179,3.746367565,1.426553891,1.181255742,3.208940957,1.989560583,1.789233181,158.957
33162,ZAF,200407,2.076701433,4.577657811,38.68028265,1.0890644,1.466337038,2.717663079,0.265567233,2.750322121,3.750420368,1.414932324,1.190001719,3.195229449,1.9461359,1.77065098,160.619
33163,ZAF,200408,2.121781204,4.664530134,38.70671462,1.066594849,1.67613406,2.686848128,0.216190353,2.798222226,3.812375618,1.401181585,1.218406245,3.278936763,1.989439069,1.805532291,166.539
33164,ZAF,200409,2.166860975,4.751402458,38.73314658,1.044125297,1.885931081,2.656033177,0.166813473,2.846122332,3.874330867,1.387430847,1.246810771,3.362644077,2.032742237,1.840413603,180.407
33165,ZAF,200410,2.211940746,4.838274782,38.75957855,1.021655746,2.095728103,2.625218226,0.117436593,2.894022438,3.936286117,1.373680108,1.275215297,3.446351391,2.076045406,1.875294915,188.200
33166,ZAF,200411,2.651995222,5.309084119,39.09981268,1.369791461,3.083988052,2.879706087,0.587081591,3.510770194,4.089266134,1.860097865,2.325088813,3.722211606,2.621336938,2.079045654,214.508
33167,ZAF,200412,3.092049698,5.779893456,39.44004681,1.717927175,4.072248001,3.134193948,1.056726589,4.127517951,4.24224615,2.346515621,3.374962329,3.99807182,3.16662847,2.282796393,223.992
