rw,ctry,Month,MPI,H,A,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,MPI_HA,Stock Returns
33773,ZWE,201011,16.68681489,39.09613625,43.90070063,15.34643198,13.09892753,2.598140111,8.298355102,38.2656709,34.36856471,23.90334611,35.51588381,24.76913555,28.3579765,17.15916184,1000.00
33774,ZWE,201012,16.57207887,38.35415065,44.19153458,14.74511127,14.57113899,1.398020791,8.442519861,37.10845262,31.9651802,22.63184171,34.79239023,23.97161335,27.39808892,16.94928775,1031.56
33775,ZWE,201101,16.2304796,38.16519658,43.97197319,14.92592242,13.75821493,1.543174677,7.954788888,37.08585406,32.56493442,22.88164848,34.33323421,23.82306112,27.44486308,16.78281975,1135.69
33776,ZWE,201102,15.88888032,37.97624251,43.75241179,15.10673357,12.94529086,1.688328564,7.467057915,37.06325551,33.16468865,23.13145526,33.87407819,23.6745089,27.49163724,16.61635175,1123.07
33777,ZWE,201103,15.54728104,37.78728844,43.5328504,15.28754472,12.1323668,1.833482451,6.979326942,37.04065695,33.76444287,23.38126204,33.41492217,23.52595668,27.53841139,16.44988374,1090.69
33778,ZWE,201104,15.64395364,37.87683409,43.53050244,15.42335657,12.1819576,1.861111373,7.173150358,37.20700282,33.81972305,23.4668978,33.57483094,23.47533196,27.68138355,16.48797198,1209.82
33779,ZWE,201105,15.74062624,37.96637974,43.52815449,15.55916843,12.2315484,1.888740296,7.366973775,37.37334868,33.87500323,23.55253357,33.7347397,23.42470724,27.8243557,16.52606022,1210.51
33780,ZWE,201106,15.83729885,38.05592539,43.52580653,15.69498028,12.28113921,1.916369218,7.560797191,37.53969454,33.93028342,23.63816933,33.89464847,23.37408253,27.96732785,16.56414846,1193.77
33781,ZWE,201107,15.69975668,37.9207915,43.50700543,15.53799024,12.18609666,1.862054407,7.252387999,37.33936983,33.83225479,23.53323005,33.67647082,23.41073136,27.79299311,16.49825163,1151.45
33782,ZWE,201108,15.56221452,37.7856576,43.48820433,15.3810002,12.09105412,1.807739596,6.943978808,37.13904512,33.73422616,23.42829076,33.45829316,23.44738019,27.61865836,16.4323548,1132.15
33783,ZWE,201109,15.42467235,37.65052371,43.46940323,15.22401016,11.99601157,1.753424784,6.635569617,36.93872041,33.63619753,23.32335147,33.24011551,23.48402903,27.44432362,16.36645797,1053.68
33784,ZWE,201110,15.89051079,37.9258009,43.73732912,16.5888174,12.95823238,1.852914627,6.843065353,36.99425783,32.61901708,22.89929393,33.79908659,23.17964548,27.21604034,16.58920744,1009.51
33785,ZWE,201111,16.35634923,38.20107809,44.00525502,17.95362464,13.92045319,1.95240447,7.050561089,37.04979524,31.60183662,22.47523639,34.35805766,22.87526193,26.98775706,16.81195691,1040.01
33786,ZWE,201112,16.82218767,38.47635528,44.27318091,19.31843187,14.88267399,2.051894313,7.258056825,37.10533266,30.58465617,22.05117886,34.91702874,22.57087838,26.75947378,17.03470638,1044.91
33787,ZWE,201201,16.69692722,38.66102266,44.1870014,19.60426623,14.21143214,2.376114277,6.937365413,37.43671515,31.58375095,22.70076722,34.73253397,23.16918936,26.9539684,17.08282833,1002.32
33788,ZWE,201202,16.57166676,38.84569004,44.10082189,19.89010059,13.54019029,2.70033424,6.616674001,37.76809764,32.58284572,23.35035558,34.54803921,23.76750033,27.14846303,17.13095029,1049.22
33789,ZWE,201203,16.44640631,39.03035742,44.01464238,20.17593495,12.86894843,3.024554204,6.295982589,38.09948012,33.5819405,23.99994393,34.36354444,24.3658113,27.34295765,17.17907224,1012.38
33790,ZWE,201204,16.38340042,38.95909578,43.98372487,20.15470467,12.77868014,3.009996459,6.176801977,37.9854389,33.45523508,23.95494459,34.22731134,24.35808622,27.19455615,17.13570556,1011.34
33791,ZWE,201205,16.32039453,38.88783415,43.95280736,20.1334744,12.68841185,2.995438715,6.057621365,37.87139767,33.32852967,23.90994524,34.09107824,24.35036114,27.04615465,17.09233889,1054.82
33792,ZWE,201206,16.25738864,38.81657251,43.92188984,20.11224413,12.59814356,2.98088097,5.938440753,37.75735644,33.20182425,23.86494589,33.95484515,24.34263605,26.89775315,17.04897222,1055.99
33793,ZWE,201207,16.22922328,38.79442255,43.90751628,20.06167256,12.61310971,2.984408282,5.917697662,37.74005307,33.1986279,23.91247459,33.96564042,24.41397523,26.91544937,17.03367376,1066.90
33794,ZWE,201208,16.20105791,38.77227259,43.89314272,20.01110098,12.62807587,2.987935594,5.896954572,37.7227497,33.19543156,23.96000329,33.9764357,24.4853144,26.93314559,17.01837531,1068.35
33795,ZWE,201209,16.17289255,38.75012263,43.87876915,19.96052941,12.64304203,2.991462906,5.876211482,37.70544633,33.19223522,24.00753199,33.98723098,24.55665357,26.95084181,17.00307685,1159.17
33796,ZWE,201210,15.63992622,37.1454186,43.78847451,18.40364548,11.62688843,2.407273086,5.957379397,35.8784927,30.78274857,23.05966447,32.87219431,22.57976399,25.20624415,16.26831008,1314.53
33797,ZWE,201211,15.1069599,35.54071457,43.69817986,16.84676154,10.61073483,1.823083266,6.038547312,34.05153907,28.37326192,22.11179696,31.75715764,20.6028744,23.4616465,15.5335433,1349.59
33798,ZWE,201212,14.57399357,33.93601055,43.60788522,15.28987761,9.594581237,1.238893447,6.119715227,32.22458543,25.96377527,21.16392945,30.64212097,18.62598482,21.71704884,14.79877653,1405.41
33799,ZWE,201301,14.41754635,33.70918635,43.55667427,15.27595332,9.558273139,1.099457795,5.836798789,32.05153078,25.79483441,20.90290562,30.33831671,18.41880088,21.58472001,14.68283282,1765.30
33800,ZWE,201302,14.26109912,33.48236216,43.50546333,15.26202903,9.521965042,0.960022144,5.553882351,31.87847613,25.62589355,20.64188179,30.03451245,18.21161694,21.45239119,14.56688911,1718.57
33801,ZWE,201303,14.10465189,33.25553797,43.45425238,15.24810475,9.485656945,0.820586493,5.270965913,31.70542148,25.45695269,20.38085796,29.73070819,18.00443299,21.32006236,14.4509454,1761.07
33802,ZWE,201304,14.22901482,33.39596967,43.5077677,15.29047689,9.510004083,0.89730833,5.564643677,31.85662281,25.5840818,20.48160138,29.93899802,17.9447751,21.48944633,14.52999121,1808.50
33803,ZWE,201305,14.35337775,33.53640138,43.56128301,15.33284903,9.534351221,0.974030168,5.858321442,32.00782415,25.71121091,20.58234481,30.14728786,17.8851172,21.65883029,14.60903702,2076.94
33804,ZWE,201306,14.47774069,33.67683308,43.61479833,15.37522118,9.558698359,1.050752006,6.151999207,32.15902549,25.83834003,20.68308823,30.3555777,17.8254593,21.82821426,14.68808283,2001.12
33805,ZWE,201307,14.34107899,33.53872462,43.60642506,15.25938266,9.476852722,1.013483342,5.85864886,31.93347071,25.7162089,20.5817888,30.14238045,17.90246863,21.65594365,14.62506194,2121.55
33806,ZWE,201308,14.20441729,33.40061616,43.59805178,15.14354414,9.395007084,0.976214677,5.565298514,31.70791594,25.59407777,20.48048938,29.92918319,17.97947796,21.48367304,14.56204106,1548.51
33807,ZWE,201309,14.06775559,33.2625077,43.58967851,15.02770562,9.313161447,0.938946013,5.271948168,31.48236116,25.47194664,20.37918996,29.71598594,18.05648729,21.31140243,14.49902017,1810.43
33808,ZWE,201310,13.91888218,32.86325127,43.65794177,14.18084455,9.109248649,1.245238316,6.034148797,31.16788948,25.30970108,20.9530858,29.80843009,18.23955336,20.73315322,14.34687401,1903.70
33809,ZWE,201311,13.77000878,32.46399485,43.72620503,13.33398349,8.905335851,1.551530619,6.796349427,30.8534178,25.14745553,21.52698165,29.90087423,18.42261943,20.15490401,14.19472786,2072.58
33810,ZWE,201312,13.62113537,32.06473843,43.79446828,12.48712243,8.701423052,1.857822923,7.558550056,30.53894612,24.98520998,22.10087749,29.99331838,18.6056855,19.5766548,14.0425817,1962.45
33811,ZWE,201401,13.51054946,31.99516183,43.77777956,12.37537418,8.617811526,1.840003397,7.282161716,30.37671806,25.00162525,22.07918402,29.77535612,18.88169752,19.38189423,14.00679464,1733.66
33812,ZWE,201402,13.39996355,31.92558524,43.76109084,12.26362593,8.534199999,1.822183871,7.005773376,30.21449001,25.01804052,22.05749055,29.55739385,19.15770953,19.18713366,13.97100758,1811.34
33813,ZWE,201403,13.28937764,31.85600864,43.74440212,12.15187769,8.450588473,1.804364345,6.729385036,30.05226195,25.03445579,22.03579708,29.33943159,19.43372155,18.99237309,13.93522052,1711.97
33814,ZWE,201404,13.30088491,31.8518738,43.75475158,12.16940835,8.452037761,1.805960116,6.803624186,30.05343695,25.02158251,22.0062885,29.32900963,19.35334561,19.02049862,13.9367074,1711.00
33815,ZWE,201405,13.31239218,31.84773895,43.76510103,12.18693902,8.45348705,1.807555886,6.877863335,30.05461196,25.00870924,21.97677992,29.31858766,19.27296967,19.04862414,13.93819427,1766.72
33816,ZWE,201406,13.32389945,31.8436041,43.77545049,12.20446968,8.454936338,1.809151656,6.952102485,30.05578696,24.99583596,21.94727133,29.3081657,19.19259372,19.07674967,13.93968115,1922.51
33817,ZWE,201407,13.70148089,32.24902436,43.88434721,12.37353685,8.856502801,1.947007681,7.592671993,30.63155932,25.30785347,22.34309559,29.95739603,19.20795317,19.60390162,14.1531568,1939.99
33818,ZWE,201408,14.07906233,32.65444461,43.99324394,12.54260401,9.258069263,2.084863705,8.233241502,31.20733168,25.61987099,22.73891984,30.60662636,19.22331261,20.13105358,14.36663245,2069.11
33819,ZWE,201409,14.45664377,33.05986487,44.10214066,12.71167118,9.659635726,2.222719729,8.873811011,31.78310404,25.93188851,23.1347441,31.25585668,19.23867206,20.65820553,14.58010811,2011.19
33820,ZWE,201410,13.90831536,32.08592334,43.75030002,11.57409785,9.774494186,2.255256105,7.984151671,31.23474945,25.70615788,22.76065711,30.64261242,19.49190489,19.90644031,14.04454117,1787.81
33821,ZWE,201411,13.35998696,31.11198182,43.39845937,10.43652452,9.889352646,2.287792481,7.09449233,30.68639487,25.48042726,22.38657012,30.02936817,19.74513772,19.15467509,13.50897423,1777.58
33822,ZWE,201412,12.81165855,30.13804029,43.04661873,9.298951189,10.00421111,2.320328857,6.20483299,30.13804029,25.25469664,22.01248314,29.41612391,19.99837055,18.40290987,12.9734073,1599.38
33823,ZWE,201501,12.66045283,29.99660569,43.07608732,9.091065601,9.904649372,2.31790201,5.905721822,29.99660569,25.13392966,21.95400811,29.19809663,20.06084864,18.23857641,12.9212807,1618.80
33824,ZWE,201502,12.50924712,29.85517109,43.10555591,8.883180013,9.805087638,2.315475164,5.606610653,29.85517109,25.01316268,21.89553309,28.98006935,20.12332673,18.07424296,12.86915411,1673.58
33825,ZWE,201503,12.3580414,29.7137365,43.13502451,8.675294424,9.705525904,2.313048318,5.307499485,29.7137365,24.8923957,21.83705806,28.76204208,20.18580482,17.9099095,12.81702752,1551.93
33826,ZWE,201504,12.56849259,29.91338352,43.24936861,8.876017618,9.930789416,2.373216693,5.733805569,29.91338352,25.08221566,22.00406966,29.11167886,20.05378388,18.28035269,12.93780607,1543.91
33827,ZWE,201505,12.77894379,30.11303055,43.36371271,9.076740812,10.15605293,2.433385067,6.160111654,30.11303055,25.27203562,22.17108126,29.46131564,19.92176294,18.65079587,13.05858463,1512.93
33828,ZWE,201506,12.98939498,30.31267758,43.47805681,9.277464006,10.38131644,2.493553441,6.586417738,30.31267758,25.46185558,22.33809286,29.81095242,19.78974201,19.02123905,13.17936318,1449.51
